,season,school_url,school_name,games_played,win_pct,ncaa_tournament,pace,eff_fg_pct,srs_off,srs_def,sos,team_ppg,opp_ppg,off_rating,def_rating,rank
1747,2016,https://www.sports-reference.com//cbb/schools/american/2016.html,American,31,0.387,0,62.0,0.49,-17.98,3.8,-6.08,57.6,65.7,87.41,107.59,
1748,2016,https://www.sports-reference.com//cbb/schools/appalachian-state/2016.html,Appalachian State,31,0.29,0,70.8,0.472,-1.64,-6.27,-1.1,70.5,77.4,98.26,107.56,
1749,2016,https://www.sports-reference.com//cbb/schools/arizona-state/2016.html,Arizona State,32,0.469,0,69.8,0.481,4.08,4.19,8.96,73.3,74.0,109.20,96.39,
1750,2016,https://www.sports-reference.com//cbb/schools/arizona/2016.html,Arizona,34,0.735,1,69.8,0.536,10.88,7.9,7.23,80.4,68.9,117.35,89.84,17
1751,2016,https://www.sports-reference.com//cbb/schools/arkansas-little-rock/2016.html,Little Rock,35,0.857,1,64.5,0.52,-3.25,10.37,-1.76,71.1,60.8,107.20,94.35,
1752,2016,https://www.sports-reference.com//cbb/schools/arkansas-pine-bluff/2016.html,Arkansas-Pine Bluff,33,0.242,0,65.3,0.45,-17.45,-1.86,-5.52,56.6,70.4,83.34,109.76,
1753,2016,https://www.sports-reference.com//cbb/schools/arkansas-state/2016.html,Arkansas State,31,0.355,0,72.7,0.464,0.09,-7.57,-2.37,73.6,75.9,96.68,105.29,
1754,2016,https://www.sports-reference.com//cbb/schools/arkansas/2016.html,Arkansas,32,0.5,0,71.3,0.497,8.69,1.54,6.76,78.2,74.7,110.80,95.57,
1755,2016,https://www.sports-reference.com//cbb/schools/army/2016.html,Army,33,0.576,0,72.2,0.5,0.86,-8.18,-8.13,76.9,75.0,96.87,106.20,
1756,2016,https://www.sports-reference.com//cbb/schools/auburn/2016.html,Auburn,31,0.355,0,72.5,0.473,2.34,-2.19,7.54,70.7,78.1,101.58,100.64,
1757,2016,https://www.sports-reference.com//cbb/schools/austin-peay/2016.html,Austin Peay,36,0.5,1,70.5,0.516,-0.02,-6.02,-2.98,76.1,76.8,101.02,107.76,
1758,2016,https://www.sports-reference.com//cbb/schools/ball-state/2016.html,Ball State,35,0.6,0,66.2,0.525,-3.31,3.42,-2.98,70.8,66.8,101.94,100.53,
1759,2016,https://www.sports-reference.com//cbb/schools/baylor/2016.html,Baylor,34,0.647,1,67.6,0.518,9.63,6.5,9.76,77.1,69.6,119.52,95.20,21
1760,2016,https://www.sports-reference.com//cbb/schools/belmont/2016.html,Belmont,32,0.625,0,72.8,0.586,9.19,-8.0,-2.1,82.4,78.4,111.79,108.70,
1761,2016,https://www.sports-reference.com//cbb/schools/bethune-cookman/2016.html,Bethune-Cookman,32,0.438,0,68.2,0.478,-8.27,-6.08,-9.18,70.6,72.8,93.32,111.46,
1762,2016,https://www.sports-reference.com//cbb/schools/binghamton/2016.html,Binghamton,30,0.267,0,67.4,0.443,-16.36,2.28,-6.35,60.9,68.6,84.27,103.22,
