,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Jeremy Sanchez,2021,https://www.sports-reference.com//cbb/schools/cleveland-state/2021.html,G,6-0,170,sophomore,11,0,6,3.3,.667,,0.0,.500,0.4,0.2,0.3,0.1,0.4,0.0,0.1,1.0,0.9,16.2,.633,.667,.000,6.6,9.6,5.3,12.7,.163,2.6,4,1,1,0,3,1.3787046261911908,0.2874797872880344,0.48104569292083466,0.0,0.8907235428302464,undrafted
1,Daylen Williams,2020,https://www.sports-reference.com//cbb/schools/cleveland-state/2020.html,F,6-8,195,freshman,14,1,5,9.8,.300,.238,1.5,.500,0.6,0.5,1.6,0.6,0.5,0.5,0.6,1.9,1.9,9.2,.399,.383,.700,5.7,19.3,11.5,15.2,.047,-0.3,10,2,4,2,7,2.7636488745933008,0.7284313590846836,1.0522085616183026,0.6267831705280087,2.4453203955176694,undrafted
2,Anthony Rego,2020,https://www.sports-reference.com//cbb/schools/cleveland-state/2020.html,F,6-5,170,freshman,5,0,1,5.8,.111,.000,0.6,.667,0.6,0.4,0.8,0.2,0.0,0.0,0.2,0.8,0.8,-3.7,.192,.111,.333,7.7,15.9,6.4,19.7,-.095,-14.5,4,1,0,0,5,1.6,0.4,0.0,0.0,1.9390719429665317,undrafted
3,Liam Doup,2020,https://www.sports-reference.com//cbb/schools/cleveland-state/2020.html,G,6-0,170,freshman,2,0,1,2.0,1.000,1.000,0.5,.000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,36.3,1.017,1.500,1.000,0.0,0.0,0.0,18.4,.064,-4.3,3,0,0,0,0,1.5,0.0,0.0,0.0,0.0,undrafted
4,Aria Eskandari,2022,https://www.sports-reference.com//cbb/schools/cleveland-state/2022.html,G,6-3,190,junior,2,0,2,1.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,.014,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
5,Keishawn Brewton,2022,https://www.sports-reference.com//cbb/schools/buffalo/2022.html,G,6-2,178,junior,14,5,8,17.1,.354,.280,5.4,.643,1.0,0.6,1.0,1.4,0.9,0.3,1.1,2.0,7.1,12.3,.473,.460,.758,3.5,6.0,13.4,23.4,.098,-2.0,13,4,5,1,4,3.9974481656094922,1.3420210162897095,1.2453996981544782,0.45175395145262565,1.237179148263484,undrafted
6,Garrick Green,2022,https://www.sports-reference.com//cbb/schools/coastal-carolina/2022.html,G,6-6,215,junior,14,13,9,21.9,.448,.358,3.8,.500,1.0,2.1,3.6,1.1,0.9,0.4,1.4,2.6,7.4,16.8,.555,.557,.609,10.9,16.3,9.2,18.3,.155,2.4,14,4,3,2,11,3.8305964793691207,1.1866605518454392,0.989743318610787,0.6102859818083951,2.4959150299508788,undrafted
7,Tim Ceaser,2022,https://www.sports-reference.com//cbb/schools/utah-valley/2022.html,F,6-9,200,junior,17,2,11,15.8,.575,.421,1.1,.818,0.6,1.4,2.9,1.1,0.4,0.8,1.1,2.0,3.7,15.7,.697,.675,.475,10.4,19.4,11.8,12.0,.164,4.3,10,5,1,4,15,3.3035579016703465,1.4336538361122284,0.4778846120374094,1.0588235294117647,3.5107348967945353,undrafted
8,Hosana Kitenge,2021,https://www.sports-reference.com//cbb/schools/coastal-carolina/2021.html,F,6-7,270,sophomore,15,0,11,5.1,.333,.000,0.1,.250,0.3,0.7,0.9,0.3,0.1,0.3,0.3,0.7,0.7,9.2,.325,.333,.067,14.3,16.9,10.3,12.7,.079,-7.3,3,3,1,2,6,1.0624918300339485,0.7888106377466153,0.24944382578492946,0.573488351136175,1.746106780494506,undrafted
9,Ahmard Harvey,2022,https://www.sports-reference.com//cbb/schools/coastal-carolina/2022.html,F,6-7,190,junior,6,1,4,7.5,.600,,0.0,,0.0,0.5,0.8,1.0,0.3,0.2,0.2,0.7,2.0,20.8,.600,.600,.000,7.7,11.1,23.7,12.2,.202,-4.8,6,3,2,1,4,2.8284271247461903,1.1547005383792515,0.74535599249993,0.37267799624996495,1.49071198499986,undrafted
10,Jalen Milner,2021,https://www.sports-reference.com//cbb/schools/coastal-carolina/2021.html,G,6-1,180,sophomore,5,0,5,4.0,.600,.750,0.8,,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,1.8,16.3,.900,.900,.800,0.0,0.0,0.0,16.3,.113,-34.8,9,0,1,0,0,3.6000000000000005,0.0,0.4000000000000001,0.0,0.0,undrafted
11,Keegan Records,2022,https://www.sports-reference.com//cbb/schools/colgate/2022.html,F,6-10,245,junior,16,16,6,21.9,.581,.000,0.1,.556,2.3,2.4,3.7,1.3,0.3,1.6,1.4,2.8,8.9,21.8,.581,.581,.010,12.3,18.9,11.8,21.2,.155,0.3,25,5,1,6,14,5.56636101955308,1.3095204274848102,0.46351240544347894,1.4523687548277813,3.5963305952039506,undrafted
12,Ryan Moffatt,2022,https://www.sports-reference.com//cbb/schools/colgate/2022.html,G,6-6,220,junior,16,16,6,30.9,.490,.375,3.5,.742,1.9,1.3,4.0,1.5,1.3,0.1,0.6,2.2,9.0,16.5,.617,.593,.549,4.8,14.6,8.3,13.0,.147,1.8,19,4,4,1,8,3.29772648956823,1.224744871391589,1.0439558180306292,0.33071891388307384,1.8614090764794289,undrafted
13,DeAngelo Epps,2022,https://www.sports-reference.com//cbb/schools/hampton/2022.html,F,6-5,205,junior,13,3,4,20.0,.458,.280,1.9,.696,1.8,0.5,3.9,0.5,0.8,0.2,1.2,1.8,5.9,12.5,.551,.517,.424,2.5,21.8,6.5,17.2,.107,-1.7,13,2,3,1,11,4.251000578353262,0.6343239424027171,1.0262818510866412,0.36080121229410994,2.896641597501959,undrafted
14,Brenden Tucker,2022,https://www.sports-reference.com//cbb/schools/college-of-charleston/2022.html,G,6-2,180,junior,15,6,9,22.3,.421,.439,3.8,.605,2.5,0.4,1.9,0.7,0.9,0.3,1.5,2.2,11.1,13.8,.525,.511,.407,1.8,9.9,6.5,24.3,.099,-0.5,23,3,3,2,4,6.485539470408165,0.9285592184789413,0.8844332774281066,0.573488351136175,1.3984117975602022,undrafted
15,Trevon Reddish-Rhone,2022,https://www.sports-reference.com//cbb/schools/presbyterian/2022.html,G,6-4,205,junior,18,18,8,27.2,.504,.267,0.8,.590,3.4,1.4,2.8,2.8,0.9,0.2,2.8,3.2,8.8,12.7,.541,.521,.128,5.6,13.7,21.6,20.1,.083,-4.5,16,6,3,1,7,3.979887708571626,1.536590742882148,0.7370277311900889,0.37267799624996495,2.034425935955617,undrafted
16,Zach Rabinowitz,2020,https://www.sports-reference.com//cbb/schools/college-of-charleston/2020.html,G,6-2,210,freshman,2,1,2,2.5,1.000,1.000,1.0,.500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,74.1,1.186,1.500,1.000,0.0,0.0,0.0,31.5,.293,16.6,4,0,0,0,0,0.5,0.0,0.0,0.0,0.0,undrafted
17,Jeffrey Pizano-McInnis,2021,https://www.sports-reference.com//cbb/schools/college-of-charleston/2021.html,G,6-1,205,sophomore,1,0,1,2.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.3,,,,0.0,0.0,0.0,0.0,.003,-19.9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
18,Isaiah Stevens,2022,https://www.sports-reference.com//cbb/schools/colorado-state/2022.html,G,6-0,180,junior,14,14,13,33.6,.442,.357,4.0,.872,3.4,0.2,2.8,5.9,1.5,0.2,1.5,1.4,14.8,22.2,.553,.503,.339,0.9,9.4,32.2,23.7,.208,5.4,23,12,3,2,6,5.002550369969465,3.326608863484291,0.9063269671749657,0.5578749768504754,1.647508942095828,undrafted
19,David Roddy,2022,https://www.sports-reference.com//cbb/schools/colorado-state/2022.html,G,6-5,252,junior,14,14,13,29.8,.564,.429,3.0,.732,5.1,1.7,6.1,2.5,1.0,1.2,2.0,2.0,18.9,31.7,.642,.616,.244,7.8,23.5,17.8,29.9,.278,10.4,36,6,2,4,13,8.80630571852711,1.349603116263656,0.7559289460184544,1.2637004294967236,3.06727293622627,undrafted
20,Dischon Thomas,2022,https://www.sports-reference.com//cbb/schools/colorado-state/2022.html,F,6-9,232,junior,14,13,13,17.8,.455,.464,2.0,.893,2.0,1.6,2.6,1.1,0.5,0.4,0.9,1.9,7.7,21.6,.598,.539,.364,12.0,16.9,10.7,22.1,.212,4.8,21,5,2,2,10,6.111214181773554,1.386891988496257,0.823754471047914,0.7284313590846835,2.9320536788248273,undrafted
21,John Tonje,2022,https://www.sports-reference.com//cbb/schools/colorado-state/2022.html,G,6-5,222,junior,14,1,13,23.4,.523,.465,3.1,.842,2.7,0.5,2.6,0.9,0.5,0.2,1.3,1.5,10.3,18.5,.679,.636,.489,2.9,12.5,6.5,20.3,.173,3.0,31,3,2,1,8,7.195520148264587,1.0594569267279519,0.6267831705280087,0.410325903324145,2.1535447759544764,undrafted
22,Kyle Lukasiewicz,2020,https://www.sports-reference.com//cbb/schools/colorado-state/2020.html,G,6-6,200,freshman,8,0,6,1.6,.750,.500,0.3,.000,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.9,29.6,.782,.875,.500,0.0,0.0,18.5,17.6,.225,10.1,3,1,1,0,0,1.165922381636102,0.33071891388307384,0.33071891388307384,0.0,0.0,undrafted
23,Maddox Daniels,2021,https://www.sports-reference.com//cbb/schools/colorado/2021.html,G,6-6,211,sophomore,32,3,23,18.3,.381,.369,3.2,.867,0.5,0.4,1.9,1.0,0.5,0.1,0.5,1.4,5.3,12.4,.521,.503,.665,3.0,12.7,10.0,16.0,.130,5.2,12,4,2,1,7,3.4752191927272733,1.14564392373896,0.6606992034958117,0.24206145913796356,1.9324531042175384,undrafted
24,Jakub Dombek,2021,https://www.sports-reference.com//cbb/schools/hartford/2021.html,F,6-11,210,sophomore,10,0,6,2.3,.125,.143,0.7,,0.0,0.1,0.6,0.0,0.0,0.0,0.1,0.2,0.3,-4.8,.188,.188,.875,5.3,29.4,0.0,20.9,-.094,-13.4,3,0,0,0,2,0.9000000000000001,0.0,0.0,0.0,0.9,undrafted
25,Jack Forrest,2022,https://www.sports-reference.com//cbb/schools/saint-josephs/2022.html,G,6-5,200,junior,15,0,7,14.3,.329,.256,2.9,.714,0.5,0.1,2.1,0.6,0.4,0.1,0.5,1.5,4.1,7.6,.423,.407,.614,1.0,15.3,7.8,18.3,.049,-2.6,13,4,2,1,6,3.685406656289401,1.0198039027185568,0.7118052168020875,0.24944382578492943,1.6812693617224654,undrafted
26,Cameron Shockley-Okeke,2022,https://www.sports-reference.com//cbb/schools/columbia/2022.html,G,6-6,190,sophomore,14,3,4,11.4,.538,.538,1.9,.800,0.4,0.4,1.6,0.9,0.2,0.2,0.7,1.2,5.3,21.0,.680,.673,.500,4.2,16.5,17.8,20.2,.149,1.6,19,3,1,1,11,6.351924021547346,0.9609731462195507,0.41032590332414487,0.41032590332414504,2.9146008233004523,undrafted
27,Eddie Turner,2022,https://www.sports-reference.com//cbb/schools/columbia/2022.html,G,6-2,160,sophomore,8,7,2,22.8,.397,.278,2.3,.571,1.8,0.0,1.4,2.8,0.9,0.0,2.1,2.0,8.9,9.6,.446,.432,.247,0.0,6.9,25.3,26.4,-.001,-9.1,13,6,4,0,4,2.1469455046647083,1.984313483298443,1.2686114456365274,0.0,1.2183492931011204,undrafted
28,Emmanuel Onuama,2022,https://www.sports-reference.com//cbb/schools/columbia/2022.html,F,6-8,216,sophomore,6,0,2,4.3,.833,,0.0,.000,0.2,0.2,0.3,0.0,0.2,0.2,0.2,0.5,1.7,19.4,.772,.833,.000,4.3,8.8,0.0,14.3,.114,0.6,4,0,1,1,2,1.3743685418725535,0.0,0.372677996249965,0.37267799624996495,0.7637626158259734,undrafted
29,Asa Shannon,2022,https://www.sports-reference.com//cbb/schools/columbia/2022.html,F,6-6,195,sophomore,2,0,1,3.5,.500,,0.0,.500,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.5,1.5,19.1,.508,.500,.000,0.0,16.3,57.9,21.0,.212,0.6,2,2,0,0,1,0.5,1.0,0.0,0.0,0.5,undrafted
30,Jake Klores,2020,https://www.sports-reference.com//cbb/schools/columbia/2020.html,G,6-0,165,freshman,10,0,4,2.8,.500,,0.0,,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.2,1.2,.500,.500,.000,0.0,8.1,0.0,5.5,-.017,-6.0,2,0,0,0,1,0.6000000000000001,0.0,0.0,0.0,0.4000000000000001,undrafted
31,James Bouknight,2021,https://www.sports-reference.com//cbb/schools/connecticut/2021.html,G,6-5,190,sophomore,15,14,11,31.7,.447,.293,5.0,.778,5.4,1.5,4.1,1.8,1.1,0.3,2.8,1.9,18.7,23.3,.546,.498,.342,5.3,15.1,12.8,31.6,.179,8.6,40,5,3,1,10,7.206170195664885,1.1075498483890769,0.8055363982396381,0.44221663871405337,2.3570226039551585,11
32,Akok Akok,2022,https://www.sports-reference.com//cbb/schools/connecticut/2022.html,F,6-9,215,junior,16,7,12,17.5,.466,.480,1.6,.375,1.0,1.4,2.8,0.4,0.3,1.3,0.2,0.9,4.5,17.6,.549,.569,.431,9.0,17.0,4.4,11.8,.188,7.3,12,2,2,4,10,4.257346591481601,0.6091746465505602,0.582961190818051,1.4017288432503627,2.7271780286589284,undrafted
33,Jalen Gaffney,2022,https://www.sports-reference.com//cbb/schools/connecticut/2022.html,G,6-3,185,junior,16,0,12,17.1,.360,.333,1.9,.762,2.6,0.3,1.7,2.9,0.8,0.1,1.5,1.7,6.0,14.6,.506,.427,.400,1.6,10.4,29.3,20.9,.157,2.0,11,8,3,1,5,3.6742346141747673,1.8666480653835098,0.9499177595981665,0.24206145913796356,1.9833289565778038,undrafted
34,Matt Garry,2022,https://www.sports-reference.com//cbb/schools/connecticut/2022.html,G,6-5,195,sophomore,5,0,5,1.8,.000,,0.0,.500,0.8,0.0,0.4,0.2,0.2,0.0,0.4,0.2,0.4,-3.4,.256,.000,.000,0.0,23.5,16.6,31.6,-.121,-13.2,2,1,1,0,1,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.0,0.48989794855663565,undrafted
35,Reggie James,2022,https://www.sports-reference.com//cbb/schools/coppin-state/2022.html,G,6-4,195,sophomore,15,6,1,13.3,.621,.667,0.2,.800,0.7,0.6,1.3,0.6,0.7,0.2,0.7,1.0,3.1,13.6,.681,.655,.103,4.5,10.2,9.3,10.7,.097,-0.4,14,3,3,2,8,4.170797951897881,0.8793937305515279,0.9285592184789413,0.5416025603090641,2.2050447211388304,undrafted
36,Isaiah Gross,2022,https://www.sports-reference.com//cbb/schools/coppin-state/2022.html,G,6-4,210,junior,7,0,2,5.0,.750,1.000,0.3,,0.0,0.0,0.4,0.0,0.1,0.0,0.0,1.3,1.1,9.2,1.000,1.000,.500,0.0,8.8,0.0,5.6,.114,-5.1,3,0,1,0,1,1.355261854357877,0.0,0.34992710611188266,0.0,0.49487165930539345,undrafted
37,Greg Dolan,2022,https://www.sports-reference.com//cbb/schools/cornell/2022.html,G,6-3,175,sophomore,13,13,9,21.0,.470,.200,1.5,.688,1.2,0.8,2.4,2.8,0.8,0.1,1.0,1.3,5.9,14.4,.523,.500,.303,4.4,11.6,21.6,14.7,.121,-2.3,12,8,3,1,8,3.5401333843088776,2.106625221173716,0.9483713850721501,0.26646935501059654,2.325571762743227,undrafted
38,Jordan Jones,2022,https://www.sports-reference.com//cbb/schools/cornell/2022.html,F,6-5,195,sophomore,9,9,7,19.3,.449,.333,6.0,.762,2.3,1.4,1.4,0.8,0.3,0.1,0.9,2.9,12.7,20.6,.576,.551,.607,8.2,7.7,7.9,28.5,.167,-1.8,20,2,1,1,6,5.57773351022717,0.7856742013183862,0.4714045207910317,0.31426968052735443,1.6629588385661962,undrafted
39,Marcus Filien,2022,https://www.sports-reference.com//cbb/schools/cornell/2022.html,F,6-7,210,sophomore,9,0,5,6.4,.300,.000,0.6,,0.0,0.6,1.3,0.6,0.3,0.3,0.2,0.7,0.7,11.0,.300,.300,.500,9.4,21.2,12.5,9.6,.084,-8.7,4,4,1,1,5,1.3333333333333335,1.257078722109418,0.4714045207910317,0.4714045207910317,1.852592444503674,undrafted
