,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Dedric Lawson,2019,https://www.sports-reference.com//cbb/schools/kansas/2019.html,F,6-9,235,senior,36,36,26,32.6,.490,.393,2.5,.815,5.7,3.1,7.2,1.7,1.3,1.1,2.3,2.6,19.4,28.5,.578,.525,.175,11.0,23.2,11.1,29.1,.227,11.0,31,6,5,5,15,6.32211482041169,1.6802685705374014,1.2104865871944959,1.1290223018278653,3.5887125859688678,undrafted (NBA)
1,Nick Marshall,2016,https://www.sports-reference.com//cbb/schools/memphis/2016.html,F,6-10,230,freshman,31,1,17,8.8,.544,,0.0,.550,0.6,1.1,1.6,0.2,0.2,0.4,0.4,1.2,3.1,18.3,.548,.544,.000,13.0,18.3,5.3,17.2,.149,1.5,12,2,2,3,9,3.376789231664963,0.48921777058397103,0.5512260480850019,0.7082096258096823,2.5927137157948543,undrafted
2,K.J. Lawson,2020,https://www.sports-reference.com//cbb/schools/tulane/2020.html,F,6-7,215,senior,29,29,12,36.2,.404,.364,4.6,.705,3.0,1.1,4.4,2.2,1.2,0.2,1.8,1.6,13.1,15.1,.506,.476,.395,3.2,15.0,13.3,21.0,.088,0.9,30,6,6,2,10,5.821155398918593,1.5328352255788185,1.3558347069887933,0.4827586206896552,2.2987356293102015,undrafted
3,Jeremiah Martin,2019,https://www.sports-reference.com//cbb/schools/memphis/2019.html,G,6-3,185,senior,36,36,22,34.2,.451,.346,5.3,.762,7.4,1.1,3.2,4.4,2.2,0.6,2.6,1.9,19.7,24.3,.577,.518,.391,3.5,10.1,24.6,26.3,.202,10.0,43,11,6,2,9,9.162120084589835,2.187753512646881,1.5059040187144221,0.7871459619613752,1.905766104338212,undrafted (NBA)
4,Craig Randall,2020,https://www.sports-reference.com//cbb/schools/tennessee-martin/2020.html,G,6-5,185,senior,9,8,3,27.3,.383,.317,6.7,.600,1.7,0.2,2.4,2.4,0.8,0.1,1.2,1.7,12.9,15.8,.475,.465,.522,0.9,10.7,18.2,26.8,.049,-5.2,25,5,3,1,7,7.680342070571314,1.5713484026367723,1.0304020550550783,0.31426968052735443,2.260776661041756,undrafted
5,Sam Craft,2016,https://www.sports-reference.com//cbb/schools/memphis/2016.html,G,6-0,210,freshman,17,7,9,12.4,.318,.267,0.9,.833,0.4,0.2,0.9,0.9,0.4,0.1,0.5,1.4,2.2,5.2,.395,.364,.341,1.9,7.8,13.2,12.1,.054,-2.7,10,2,2,1,4,3.0914549043460973,0.8022459821756386,0.5882352941176471,0.23529411764705885,1.2478354962115543,undrafted
6,Caleb Wallingford,2016,https://www.sports-reference.com//cbb/schools/memphis/2016.html,G,6-5,214,freshman,11,0,9,2.7,.222,.000,0.5,.500,0.2,0.2,0.2,0.3,0.0,0.0,0.2,0.3,0.5,-0.3,.251,.222,.556,6.8,6.8,17.4,18.5,-.041,-8.6,2,2,0,0,1,0.7820295697311479,0.616575453011388,0.0,0.0,0.48104569292083466,undrafted
7,Dante Scott,2019,https://www.sports-reference.com//cbb/schools/mississippi-valley-state/2019.html,G,6-4,220,senior,31,26,6,31.8,.383,.345,3.6,.721,4.2,1.3,3.9,1.8,0.7,0.2,1.6,2.1,13.5,14.5,.480,.435,.301,4.0,13.8,13.5,24.0,.057,-3.3,28,5,4,2,11,6.27251407988967,1.2806085962115619,0.9226032029725867,0.48921777058397103,2.5790317537169916,undrafted
8,Raquan Mitchell,2018,https://www.sports-reference.com//cbb/schools/colorado-state/2018.html,G,6-3,178,junior,30,9,10,23.1,.409,.189,1.8,.733,1.5,0.6,2.3,1.6,0.6,0.2,0.9,1.5,7.0,11.2,.466,.433,.261,2.6,11.3,14.0,17.6,.046,-2.3,21,5,2,1,9,5.14770714871086,1.4255603186895398,0.6574360974438673,0.4000000000000001,2.0773915267843845,undrafted
9,Ethan Stair,2020,https://www.sports-reference.com//cbb/schools/mercer/2020.html,G,6-4,205,senior,32,32,17,34.8,.479,.353,5.3,.859,2.2,2.0,7.3,2.2,1.2,0.2,1.8,2.4,14.6,21.0,.592,.562,.471,6.8,23.5,12.2,20.2,.172,3.7,28,6,4,2,23,5.743797605896294,1.5229366163764007,1.2179484543690673,0.4831132760543846,3.872983346207417,undrafted
