,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Keelan Garrett,2015,https://www.sports-reference.com//cbb/schools/mcneese-state/2015.html,G,6-0,180,junior,31,30,15,28.8,.380,.340,6.5,.656,1.0,0.4,1.9,1.5,0.7,0.0,1.3,1.0,10.8,12.7,.495,.486,.627,1.4,7.6,10.2,21.4,.057,-4.2,26,5,3,1,7,7.112446038997294,1.520583709599055,0.8109551670952603,0.17668469596940847,1.8525230987562877,undrafted
1,Pete Kpan,2014,https://www.sports-reference.com//cbb/schools/mcneese-state/2014.html,F,6-7,235,sophomore,18,1,6,6.4,.769,.000,0.1,.727,0.6,0.7,0.9,0.3,0.0,0.1,0.2,0.8,1.6,16.8,.768,.769,.077,11.5,15.2,8.8,9.0,.131,-2.8,4,2,0,1,9,1.4229164972072998,0.558326423395605,0.0,0.3142696805273545,2.2641870969238704,undrafted
2,Jordan Wells,2015,https://www.sports-reference.com//cbb/schools/mcneese-state/2015.html,F,6-7,250,junior,18,0,9,5.7,.583,,0.0,.444,0.5,0.7,0.6,0.1,0.1,0.1,0.5,1.3,1.8,10.9,.566,.583,.000,12.3,11.3,2.0,18.4,.039,-8.9,6,1,1,1,5,2.1227747971714224,0.2290614236454256,0.2290614236454256,0.31426968052735443,1.1331154474650633,undrafted
3,Shaun Johnson,2016,https://www.sports-reference.com//cbb/schools/mcneese-state/2016.html,G,5-10,178,senior,26,4,9,10.7,.256,.273,2.1,.846,0.5,0.2,0.9,0.8,0.2,0.0,0.4,1.0,2.5,5.7,.392,.353,.705,2.3,9.1,14.1,16.8,-.003,-6.1,11,5,2,0,6,2.977231150825174,1.1773252203856899,0.4550830602384321,0.0,1.5273638193588293,undrafted
4,Josh Jagneaux,2013,https://www.sports-reference.com//cbb/schools/mcneese-state/2013.html,G,6-1,170,freshman,5,0,3,1.8,.000,,0.0,,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.2,0.0,11.6,.000,.000,.000,0.0,13.4,36.6,5.7,.065,2.1,0,1,1,0,1,0.0,0.48989794855663565,0.4,0.0,0.4000000000000001,undrafted
5,Geron Johnson,2014,https://www.sports-reference.com//cbb/schools/memphis/2014.html,G,6-3,197,sophomore,34,32,24,27.9,.409,.258,2.7,.607,2.6,1.6,3.3,3.5,1.3,0.4,2.4,2.7,8.9,13.6,.477,.453,.339,6.4,12.9,21.8,20.2,.093,2.7,19,7,5,3,11,4.247938641148426,2.0034572195207527,1.2997870467049621,0.7742615635934224,2.385799975373323,undrafted
6,Shaq Goodwin,2016,https://www.sports-reference.com//cbb/schools/memphis/2016.html,F,6-9,228,senior,33,32,18,29.6,.479,.250,0.4,.727,6.5,2.3,5.2,1.5,1.0,1.8,2.0,3.2,14.7,22.0,.549,.484,.036,8.0,18.0,10.6,24.0,.178,5.5,35,6,4,5,19,7.026644816250311,1.4795824988768127,1.1281521496355325,1.4168084518255708,3.8145726087371603,undrafted
7,Damien Wilson,2015,https://www.sports-reference.com//cbb/schools/kennesaw-state/2015.html,F,6-7,190,junior,22,16,6,28.7,.383,.122,1.9,.779,3.1,1.4,3.4,1.9,0.8,0.3,2.7,2.3,10.6,11.9,.446,.393,.178,5.5,13.2,15.8,26.3,.004,-7.3,28,5,3,2,11,7.784281683130054,1.2759698952380185,0.9359663764533636,0.5548434370788047,2.979267201486171,undrafted
8,Anthony Cole,2014,https://www.sports-reference.com//cbb/schools/memphis/2014.html,G,6-1,193,sophomore,5,0,5,2.0,.333,,0.0,1.000,0.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.2,27.4,.612,.333,.000,11.4,10.9,0.0,23.7,.290,3.2,2,0,0,0,1,0.9797958971132713,0.0,0.0,0.0,0.48989794855663565,undrafted
9,Anthony White,2014,https://www.sports-reference.com//cbb/schools/mercer/2014.html,G,6-2,170,sophomore,36,36,27,21.4,.477,.427,3.1,.797,1.8,0.6,1.8,1.1,0.5,0.0,0.6,1.5,8.5,17.7,.616,.585,.505,3.7,9.4,9.7,18.2,.174,3.0,29,5,3,1,7,6.331139971074193,1.4601179556612693,0.7988224358082449,0.16433554953054486,1.8019194155807616,undrafted
10,Dylan Poston,2016,https://www.sports-reference.com//cbb/schools/gardner-webb/2016.html,G,6-4,190,senior,33,33,17,24.8,.353,.327,6.0,.696,1.7,0.3,2.4,1.0,1.0,0.2,0.9,1.4,9.4,12.7,.487,.464,.682,1.4,11.1,7.9,20.2,.084,-2.2,22,4,6,2,11,5.542887301099539,1.029411378876547,1.2906387538816275,0.45756572334974244,2.2193737483152187,undrafted
11,Lawrence Brown,2016,https://www.sports-reference.com//cbb/schools/mercer/2016.html,G,6-5,210,junior,33,0,18,12.5,.554,,0.0,.710,0.9,1.1,1.4,0.2,0.3,0.2,0.5,1.8,3.5,13.4,.583,.554,.000,10.0,12.2,2.3,14.3,.110,-3.5,14,2,2,2,7,3.8697812097805024,0.434930305891131,0.5765544724375894,0.5369710650505863,1.9241827716833386,undrafted
12,Tonye Jekiri,2016,https://www.sports-reference.com//cbb/schools/miami-fl/2016.html,C,7-0,244,senior,35,35,27,28.4,.525,.000,0.1,.576,1.9,2.7,5.9,0.8,0.4,1.0,1.4,3.1,7.6,15.9,.536,.525,.018,11.9,23.7,5.5,15.9,.123,3.2,20,5,2,5,17,3.51486638640585,1.081948355929228,0.5993193418115151,1.218898800440088,3.253883080573243,undrafted
13,Bishop Daniels,2016,https://www.sports-reference.com//cbb/schools/rutgers/2016.html,G,6-3,176,senior,32,17,7,27.2,.396,.286,1.3,.687,2.1,0.6,3.2,3.0,1.1,0.4,2.7,1.8,8.8,10.6,.449,.418,.150,2.3,12.3,23.1,22.6,-.012,-2.8,21,7,5,3,10,5.244044240850758,1.7677669529663689,1.3213984069916234,0.7473912964438374,2.273960957778299,undrafted
14,Steve Sorenson,2014,https://www.sports-reference.com//cbb/schools/miami-fl/2014.html,G,6-0,161,sophomore,2,0,2,1.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,.016,-7.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
15,Reggie Johnson,2016,https://www.sports-reference.com//cbb/schools/hampton/2016.html,G,6-0,201,senior,32,32,21,36.0,.370,.292,5.8,.722,6.1,1.2,2.4,4.0,1.7,0.1,2.8,3.0,18.1,16.3,.473,.422,.356,3.4,7.3,24.6,28.4,.106,-1.2,35,13,5,1,9,6.745079224886836,2.5918667862179956,1.2401959270615268,0.2914805954090255,2.1323402636539974,undrafted
16,Geovonie McKnight,2016,https://www.sports-reference.com//cbb/schools/miami-oh/2016.html,G,6-3,182,senior,32,32,13,32.2,.429,.261,0.7,.752,4.3,1.2,2.8,2.3,1.1,0.2,2.4,2.3,13.2,15.1,.491,.437,.063,4.3,10.5,17.8,26.1,.067,-1.0,24,7,3,3,11,4.770412554224215,1.5,0.8267972847076845,0.5986638768958755,2.3649045303140674,undrafted
17,Gary Harris,2014,https://www.sports-reference.com//cbb/schools/michigan-state/2014.html,G,6-4,210,sophomore,35,34,26,32.3,.429,.352,6.6,.810,4.1,1.1,2.9,2.7,1.8,0.4,1.7,2.1,16.7,22.5,.561,.518,.505,4.0,10.2,16.8,26.8,.188,10.3,27,6,5,3,10,5.298748408244871,1.4297138289367777,1.5455003812912596,0.6452337023220694,2.2677868380553634,19
18,Denzel Valentine,2016,https://www.sports-reference.com//cbb/schools/michigan-state/2016.html,G,6-5,220,senior,31,30,26,33.0,.462,.444,7.5,.853,3.1,0.8,6.7,7.8,1.0,0.2,2.7,1.7,19.2,29.7,.608,.579,.527,3.0,21.2,45.8,28.5,.284,15.6,32,13,3,1,14,6.357212590835551,2.720408857072002,0.966666068630432,0.4181123031230877,2.51281833472909,14
19,Matt Costello,2016,https://www.sports-reference.com//cbb/schools/michigan-state/2016.html,F,6-9,245,senior,35,35,29,22.9,.561,.250,0.2,.752,2.9,2.9,5.3,1.3,0.7,1.2,1.1,2.1,10.7,27.9,.599,.564,.030,15.6,24.1,10.8,22.1,.252,9.5,22,3,4,4,15,4.93252429475693,0.8870956969291443,0.954473890770861,1.14142767745361,3.481261793296992,undrafted (NBA)
20,Trevor Bohnhoff,2015,https://www.sports-reference.com//cbb/schools/michigan-state/2015.html,F,6-7,225,junior,13,0,10,1.8,,,0.0,.500,0.3,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.2,9.6,.526,,,5.3,10.0,0.0,4.5,.102,4.1,1,0,1,0,2,0.36080121229410994,0.0,0.26646935501059654,0.0,0.5756395979652217,undrafted
