,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Preston Laird,2012,https://www.sports-reference.com//cbb/schools/memphis/2012.html,G,6-3,183,senior,8,0,8,1.9,.167,.000,0.6,.500,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.4,-5.1,.216,.167,.833,0.0,8.0,0.0,24.1,-.100,-16.7,3,0,0,0,1,0.9921567416492215,0.0,0.0,0.0,0.33071891388307384,undrafted
1,Brian Mills,2011,https://www.sports-reference.com//cbb/schools/mercer/2011.html,F,6-7,201,senior,33,33,15,30.6,.456,.275,2.1,.722,5.3,2.1,3.9,1.2,0.9,0.5,2.3,3.2,16.2,20.5,.524,.478,.161,7.9,15.7,11.3,29.8,.134,0.6,34,4,3,3,12,6.971936399118375,1.0159427038933462,1.013227484684878,0.7435057058415332,3.1669203900094307,undrafted
2,Jeff Smith,2011,https://www.sports-reference.com//cbb/schools/mercer/2011.html,F,6-8,170,sophomore,19,18,6,31.2,.419,.300,4.2,.694,5.7,0.9,2.1,3.5,1.2,0.1,3.6,2.4,14.7,16.2,.524,.474,.372,3.3,8.2,28.2,28.9,.087,0.4,23,6,4,1,8,6.712538398039325,1.6341236522378972,0.9326339550878605,0.22329687826943606,1.9466570535691503,undrafted
3,Langston Hall,2014,https://www.sports-reference.com//cbb/schools/mercer/2014.html,G,6-4,180,senior,36,35,27,32.1,.400,.391,6.1,.850,4.4,0.4,2.7,5.6,1.4,0.1,2.4,1.4,14.6,21.9,.577,.513,.579,1.5,9.4,33.0,24.4,.198,5.5,25,11,4,1,7,7.032771611762312,2.4309920243024705,1.1653431646335017,0.34583054438857597,1.5877132402714706,undrafted
4,Brandon Moore,2011,https://www.sports-reference.com//cbb/schools/mercer/2011.html,F,6-6,220,junior,22,21,7,26.1,.482,.176,0.8,.658,5.0,1.9,4.6,1.0,0.9,1.0,2.6,2.9,11.9,18.9,.533,.490,.088,8.5,21.7,10.2,27.1,.110,-1.0,22,4,3,2,13,5.712101117238185,0.9759504797083586,0.6938335237488066,0.5622416762205902,3.3537939537630392,undrafted
5,Mark Hall,2011,https://www.sports-reference.com//cbb/schools/mercer/2011.html,G,5-11,162,senior,33,25,15,26.8,.418,.423,3.7,.774,1.9,0.7,0.9,1.5,1.1,0.0,1.1,2.9,7.2,11.9,.612,.576,.745,3.2,4.3,11.4,13.4,.109,0.0,23,6,4,1,5,4.374565438210567,1.3945979998792544,1.1265230482085518,0.17141982574219336,1.2226812728383039,undrafted
6,Justin Cecil,2012,https://www.sports-reference.com//cbb/schools/mercer/2012.html,F,6-8,225,junior,38,38,27,25.1,.407,.363,5.9,.790,1.6,1.0,2.6,0.7,0.4,0.4,1.1,2.0,10.8,16.6,.550,.526,.657,5.4,12.3,6.0,23.2,.139,1.8,26,3,2,2,8,6.939040063892861,0.803817071015856,0.6337681357259103,0.5341521876364325,2.1598194240719146,undrafted
7,Bud Thomas,2014,https://www.sports-reference.com//cbb/schools/mercer/2014.html,F,6-6,200,senior,36,36,27,26.0,.461,.389,4.9,.385,0.4,0.6,3.3,2.0,0.6,0.4,0.9,1.9,8.9,16.3,.584,.588,.655,3.1,14.4,14.6,17.1,.152,3.4,31,6,3,2,10,7.958757502754705,1.5456030825826172,0.7915448249319448,0.5846545883291442,2.3272075673923878,undrafted
8,Jake Gollon,2014,https://www.sports-reference.com//cbb/schools/mercer/2014.html,F,6-6,200,senior,36,36,27,25.7,.448,.375,1.6,.779,2.6,1.3,3.1,2.5,1.0,0.2,1.8,2.2,8.1,15.7,.550,.495,.253,6.5,13.7,17.8,18.7,.139,2.3,37,7,3,1,12,6.819713165106065,1.8482140194599745,0.9128709291752769,0.39577241246597245,2.409311924724004,undrafted
9,Chris Smith,2013,https://www.sports-reference.com//cbb/schools/mercer/2013.html,G,6-1,170,senior,36,5,24,9.9,.390,.273,0.9,.464,0.8,0.3,1.4,0.4,0.4,0.2,0.8,1.4,2.3,7.8,.454,.448,.429,3.6,18.2,7.7,18.2,.054,-4.1,10,2,3,2,6,2.5123153454655585,0.6303780954394566,0.7973722274670736,0.46064233199380555,1.5303009467599242,undrafted
10,Paul Larsen,2012,https://www.sports-reference.com//cbb/schools/mercer/2012.html,F,6-7,220,sophomore,32,0,24,6.2,.302,,0.0,.625,1.0,0.6,0.8,0.1,0.3,0.1,0.5,0.9,1.6,7.4,.381,.302,.000,12.6,16.4,3.0,22.7,.033,-8.0,9,1,2,1,7,2.4717149916606487,0.2914805954090255,0.5,0.2914805954090255,1.5599979967935855,undrafted
11,Monty Brown,2014,https://www.sports-reference.com//cbb/schools/mercer/2014.html,C,6-11,250,senior,34,1,27,9.6,.671,,0.0,.778,1.6,0.9,1.5,0.1,0.1,0.4,0.7,1.6,4.5,21.5,.706,.671,.000,11.8,17.1,2.5,21.1,.191,-0.6,16,2,1,3,8,4.0745645318938655,0.40327380002359087,0.23529411764705885,0.6423626372894575,2.2882655373776384,undrafted
12,Kevin Canevari,2014,https://www.sports-reference.com//cbb/schools/mercer/2014.html,G,5-11,165,senior,36,1,27,9.0,.415,.500,0.6,1.000,0.2,0.1,0.4,1.7,0.4,0.0,0.6,0.6,1.5,12.2,.592,.549,.537,1.2,5.6,30.7,10.5,.122,0.2,6,6,2,0,3,1.978862062329862,1.35400640077266,0.6821127309893708,0.0,0.7988224358082449,undrafted
13,David O'Shaughnessey,2011,https://www.sports-reference.com//cbb/schools/mercer/2011.html,G,6-4,195,sophomore,18,0,5,3.7,.375,.167,0.3,.438,0.9,0.3,0.2,0.1,0.1,0.0,0.3,0.8,0.8,3.8,.449,.438,.750,8.7,7.3,2.9,15.8,.021,-6.7,4,1,1,0,3,1.3966450099973928,0.2290614236454256,0.31426968052735443,0.0,0.8333333333333334,undrafted
14,Daniel Coursey,2014,https://www.sports-reference.com//cbb/schools/mercer/2014.html,F,6-10,220,senior,36,35,27,23.8,.571,,0.0,.716,2.1,2.2,4.2,0.4,0.3,2.1,0.8,3.1,10.1,23.7,.592,.571,.000,11.6,19.9,3.9,20.6,.202,2.3,20,3,3,5,14,3.923949100486636,0.7617394000445604,0.6236095644623235,1.352866184653991,3.174940458273233,undrafted
15,Marquisse Jackson,2012,https://www.sports-reference.com//cbb/schools/mercer/2012.html,F,6-5,183,senior,10,0,6,2.6,.000,.000,0.1,,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.7,0.0,-10.0,.000,.000,.500,0.0,4.6,0.0,8.2,-.088,-15.2,0,0,1,0,1,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,undrafted
16,R.J. Miskimon,2012,https://www.sports-reference.com//cbb/schools/mercer/2012.html,G,6-2,190,sophomore,8,0,5,1.1,.667,.500,0.3,,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.6,28.2,.833,.833,.667,0.0,26.8,0.0,17.7,.237,7.3,3,0,0,0,1,1.1110243021644486,0.0,0.0,0.0,0.4330127018922193,undrafted
17,Ted Price,2011,https://www.sports-reference.com//cbb/schools/mercer/2011.html,G,6-2,206,freshman,3,0,1,0.3,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,.009,-5.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
18,Malcolm Grant,2012,https://www.sports-reference.com//cbb/schools/miami-fl/2012.html,G,6-1,188,senior,31,31,18,28.7,.339,.330,6.6,.803,2.3,0.1,2.0,1.9,0.7,0.0,1.7,1.1,10.8,12.6,.487,.448,.665,0.5,8.9,13.9,23.4,.077,1.5,22,6,2,0,6,5.915640040297276,1.41274118970698,0.8109551670952602,0.0,1.453403913041137,undrafted
19,Durand Scott,2013,https://www.sports-reference.com//cbb/schools/miami-fl/2013.html,G,6-5,203,senior,33,32,27,34.6,.453,.353,3.1,.752,3.4,0.9,3.0,2.6,1.5,0.1,2.0,2.3,13.1,18.4,.544,.506,.297,3.3,10.8,15.6,21.9,.153,5.8,32,5,4,1,12,6.2897587551057015,1.4962456843186072,1.0471001541315754,0.28747978728803447,2.854925021409425,undrafted (NBA)
20,Reggie Johnson,2013,https://www.sports-reference.com//cbb/schools/miami-fl/2013.html,C,6-10,292,senior,26,9,22,21.3,.380,.100,0.4,.678,3.3,2.2,4.8,0.8,0.4,0.9,2.2,2.2,6.7,15.0,.455,.383,.067,12.9,27.6,7.7,24.2,.095,0.0,22,2,1,6,13,5.9080729044069,0.6617173282340482,0.48650425541051995,1.356553237580646,3.2344301602505596,undrafted
21,Adrian Thomas,2011,https://www.sports-reference.com//cbb/schools/miami-fl/2011.html,F,6-7,229,senior,36,11,21,27.6,.386,.389,6.6,.703,1.0,1.0,2.8,0.8,0.4,0.1,1.1,2.4,9.1,13.1,.568,.557,.879,4.3,11.3,5.9,17.1,.112,3.7,20,3,2,1,10,4.978580664416191,0.8103306747674901,0.6400954789890506,0.34583054438857597,1.804486863212413,undrafted
22,Garrius Adams,2014,https://www.sports-reference.com//cbb/schools/miami-fl/2014.html,G,6-6,200,senior,33,33,17,33.4,.366,.255,3.3,.671,4.3,0.8,4.0,2.9,1.3,0.2,1.9,1.9,10.2,14.7,.469,.414,.379,2.8,14.4,19.9,22.1,.100,2.9,22,6,5,1,10,4.680420503347351,1.36531882740228,1.1084449186770837,0.38569460791993504,2.146601302839374,undrafted
23,Rion Brown,2014,https://www.sports-reference.com//cbb/schools/miami-fl/2014.html,G,6-6,211,senior,33,32,17,35.4,.432,.317,6.0,.756,4.1,1.4,4.4,2.3,0.8,0.1,1.5,1.9,15.5,21.7,.549,.510,.494,5.0,15.0,17.1,25.8,.174,7.5,25,9,3,1,11,5.326269426672823,1.8987212360994596,0.9030099651970508,0.3263736246748184,2.5951144322432294,undrafted
24,Julian Gamble,2013,https://www.sports-reference.com//cbb/schools/miami-fl/2013.html,F,6-10,250,senior,36,28,29,20.4,.576,,0.0,.481,2.3,2.1,2.8,0.2,0.4,1.8,0.8,2.0,6.5,21.1,.564,.576,.000,12.4,17.1,2.0,17.4,.171,6.3,16,2,2,4,13,4.342849238250487,0.46064233199380555,0.6730023021992065,1.4018836534383934,3.0256108453755783,undrafted
25,DeQuan Jones,2012,https://www.sports-reference.com//cbb/schools/miami-fl/2012.html,G,6-8,221,senior,23,2,14,17.3,.451,.250,0.3,.620,2.2,1.3,2.3,0.4,0.6,0.5,0.9,1.7,5.9,16.1,.494,.460,.071,8.6,17.4,4.8,20.8,.106,2.2,11,3,3,3,8,2.8177133471338527,0.7064381221422577,0.876062681722169,0.7728864710709207,2.0160040207599357,undrafted (NBA)
26,Erik Swoope,2014,https://www.sports-reference.com//cbb/schools/miami-fl/2014.html,F,6-5,220,senior,31,10,15,18.4,.514,.143,0.2,.672,2.1,1.0,1.8,0.5,0.4,0.4,0.4,1.5,5.0,15.9,.560,.519,.065,6.5,11.6,6.5,15.3,.137,4.0,15,4,2,4,9,5.158668689020466,0.8751393526613249,0.5982979674513358,0.8249491517770593,2.257142668972374,undrafted
27,Donnavan Kirk,2014,https://www.sports-reference.com//cbb/schools/miami-fl/2014.html,F,6-9,228,senior,31,28,16,26.1,.454,.300,1.3,.603,1.9,2.2,2.8,0.2,0.4,1.5,1.3,2.0,7.5,15.3,.501,.483,.195,10.3,12.9,1.5,19.5,.095,0.8,21,2,2,4,11,5.9126489219023695,0.44698085356616185,0.5982979674513357,1.3882215994419362,3.44995437994842,undrafted
28,Raphael Akpejiori,2014,https://www.sports-reference.com//cbb/schools/miami-fl/2014.html,F,6-9,241,senior,25,7,11,10.7,.333,,0.0,.600,0.6,0.6,1.1,0.1,0.0,0.5,0.3,1.6,0.8,5.2,.429,.333,.000,7.5,12.6,1.5,6.3,.059,-1.4,4,1,1,3,8,1.209297316626478,0.2712931993250107,0.19595917942265428,0.7547184905645283,1.68,undrafted
29,Ryan Quigtar,2012,https://www.sports-reference.com//cbb/schools/miami-fl/2012.html,G,5-11,180,senior,8,1,7,1.5,.000,.000,0.1,.500,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.3,5.8,.256,.000,.500,9.8,0.0,13.8,17.1,.000,-5.0,1,1,0,0,1,0.4330127018922193,0.33071891388307384,0.0,0.0,0.33071891388307384,undrafted
30,Julian Mavunga,2012,https://www.sports-reference.com//cbb/schools/miami-oh/2012.html,F,6-8,239,senior,30,30,9,36.9,.441,.305,2.7,.734,7.6,2.2,6.8,3.4,0.9,0.6,4.0,2.4,16.4,21.7,.549,.478,.241,7.9,26.0,23.2,29.6,.128,3.1,27,8,3,3,19,4.848940319515412,1.8345450541089348,0.9073771725877467,0.8825468196582485,3.803507153492243,undrafted
31,Nick Winbush,2011,https://www.sports-reference.com//cbb/schools/miami-oh/2011.html,F,6-7,226,senior,33,33,16,34.2,.406,.349,5.9,.779,2.1,1.6,5.3,1.0,0.7,1.1,1.3,2.9,12.4,17.3,.528,.501,.549,5.9,18.2,7.1,20.8,.108,1.7,26,3,4,3,13,5.002662284796051,0.8342969635112851,0.9744203145947592,0.919136417460794,3.382285185524236,undrafted
32,Orlando Williams,2014,https://www.sports-reference.com//cbb/schools/eastern-kentucky/2014.html,G,6-2,189,senior,34,0,24,19.9,.482,.420,3.5,.764,2.1,0.2,1.7,1.2,0.7,0.1,1.1,2.1,9.5,18.3,.621,.593,.527,1.6,12.3,12.8,23.7,.133,-0.2,22,4,2,1,7,5.2032229830908365,1.1129934075543824,0.7561741254224965,0.32218973970892123,1.5993618969791203,undrafted
33,Allen Roberts,2014,https://www.sports-reference.com//cbb/schools/penn-state/2014.html,G,6-3,214,senior,18,0,10,18.5,.349,.300,3.3,.758,1.8,0.5,2.2,1.0,0.2,0.2,0.6,1.4,5.7,12.3,.507,.453,.698,3.1,13.9,10.7,17.7,.090,0.5,17,3,1,1,7,4.543683717909408,0.816496580927726,0.41573970964154905,0.37267799624996495,1.8198154837954668,undrafted
34,Antonio Ballard,2011,https://www.sports-reference.com//cbb/schools/miami-oh/2011.html,G,6-4,222,senior,18,18,8,32.6,.560,.250,0.9,.753,4.7,3.0,3.6,1.3,0.6,0.3,2.1,2.1,12.6,20.6,.623,.574,.113,11.7,13.1,9.9,20.4,.135,3.5,26,5,3,2,12,5.727343986159943,1.1547005383792517,0.7617394000445605,0.558326423395605,3.302169133714129,undrafted
