,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Rian Pearson,2014,https://www.sports-reference.com//cbb/schools/toledo/2014.html,G,6-4,190,senior,34,34,27,30.9,.479,.426,2.0,.669,3.8,2.0,3.3,1.7,1.7,0.1,1.4,1.6,14.6,21.3,.540,.515,.170,7.5,12.5,11.3,24.1,.147,3.0,30,4,5,1,13,6.374961835831215,1.4206217265568613,1.4614421469182168,0.32218973970892123,2.7389286416053684,undrafted
1,Julius Brown,2015,https://www.sports-reference.com//cbb/schools/toledo/2015.html,G,5-10,170,senior,33,33,20,33.3,.464,.400,5.2,.857,3.0,0.3,1.9,4.4,0.9,0.3,2.2,1.3,16.3,21.6,.582,.546,.409,1.1,6.4,27.7,25.0,.154,4.3,31,8,4,2,5,6.107545499575485,2.1576949235051996,1.0132274846848779,0.5318160234783105,1.224932298873196,undrafted
2,Dominique Buckley,2013,https://www.sports-reference.com//cbb/schools/toledo/2013.html,G,6-2,205,senior,28,28,15,32.2,.387,.365,5.6,.840,1.8,0.3,2.4,1.9,1.4,0.2,1.3,2.3,9.7,13.4,.551,.516,.703,1.1,9.6,12.2,16.5,.091,0.3,21,5,5,1,8,5.182756929256388,1.3608970630898323,1.0832679205787927,0.3829930462415574,1.58234842263398,undrafted
3,Matt Smith,2014,https://www.sports-reference.com//cbb/schools/toledo/2014.html,F,6-7,225,senior,34,1,27,11.0,.398,.355,2.2,.714,0.6,0.5,1.3,0.2,0.2,0.2,0.4,1.1,3.8,12.6,.542,.523,.704,5.2,13.8,3.3,17.3,.096,-1.0,10,1,1,2,5,3.281488395525024,0.40434491426080943,0.3812200410828154,0.4518321028158005,1.388596662836809,undrafted
4,Ryan Majerle,2016,https://www.sports-reference.com//cbb/schools/grand-canyon/2016.html,G,6-4,180,junior,34,1,27,15.4,.400,.400,3.1,.810,0.6,0.3,0.9,0.5,0.2,0.2,0.3,0.8,4.7,11.9,.589,.568,.840,2.1,6.3,5.8,13.6,.126,2.2,17,3,2,2,5,5.045210823061307,0.7764928695555344,0.4715064571141588,0.4715064571141588,1.4031600519854779,undrafted
5,A.J. Mathew,2013,https://www.sports-reference.com//cbb/schools/toledo/2013.html,G,6-2,175,sophomore,8,0,2,4.6,.333,.333,0.4,.500,0.3,0.1,0.1,0.1,0.1,0.0,0.0,0.5,0.5,5.7,.506,.500,1.000,3.2,3.5,4.8,5.6,.054,-1.8,3,1,1,0,1,1.0,0.33071891388307384,0.33071891388307384,0.0,0.4330127018922193,undrafted
6,Zack Riddle,2012,https://www.sports-reference.com//cbb/schools/toledo/2012.html,G,6-2,165,freshman,10,0,8,2.9,.200,,0.0,.750,1.2,0.0,0.0,0.1,0.1,0.0,0.4,0.5,1.1,5.0,.514,.200,.000,0.0,0.0,6.0,26.4,.011,-1.0,6,1,1,0,0,1.8138357147217055,0.30000000000000004,0.30000000000000004,0.0,0.0,undrafted
7,James Ewing,2013,https://www.sports-reference.com//cbb/schools/toledo/2013.html,F,6-6,230,sophomore,8,2,3,3.9,.000,,0.0,.333,0.8,0.5,0.0,0.0,0.3,0.0,0.0,0.6,0.3,-1.0,.113,.000,.000,15.4,0.0,0.0,15.0,-.070,-10.1,1,0,1,0,2,0.4330127018922193,0.0,0.4330127018922193,0.0,0.7071067811865476,undrafted
8,Robert Nwankwo,2012,https://www.sports-reference.com//cbb/schools/towson/2012.html,F,6-8,220,senior,32,31,1,33.0,.436,,0.0,.523,6.9,4.5,5.6,0.5,1.1,2.4,2.1,2.2,12.5,22.3,.464,.436,.000,15.4,21.7,5.1,24.5,.076,1.5,27,4,4,6,20,5.782516753110189,0.9348922063532245,1.1110243021644486,1.5584322049739603,3.476343040826092,undrafted
9,Marcus Damas,2014,https://www.sports-reference.com//cbb/schools/towson/2014.html,F,6-7,210,junior,36,36,25,30.9,.432,.350,3.4,.730,3.1,1.4,3.7,1.2,0.5,0.9,1.7,2.9,11.1,15.1,.538,.500,.388,5.4,12.3,8.1,20.0,.109,-0.1,26,4,3,4,10,5.6859693029052,0.9666507022947397,0.7259519080762211,1.0786937688304221,2.0327184862750785,undrafted
10,Deon Jones,2016,https://www.sports-reference.com//cbb/schools/monmouth/2016.html,G,6-6,210,senior,31,30,24,23.6,.456,.372,1.4,.726,3.1,1.3,5.1,1.1,0.6,0.8,1.3,2.5,10.4,18.5,.528,.487,.165,5.7,21.4,9.6,22.5,.148,1.7,21,3,3,3,13,4.7909470647582095,0.9752397714729659,0.8249491517770594,0.8951249629362328,3.0520970767780318,undrafted
11,Kris Walden,2013,https://www.sports-reference.com//cbb/schools/towson/2013.html,G,6-1,180,sophomore,31,2,18,16.7,.336,.236,1.8,.556,0.6,0.1,1.3,1.3,0.7,0.1,1.0,1.8,3.1,6.6,.409,.395,.500,0.7,9.1,15.1,14.5,.038,-4.6,10,5,2,1,4,2.893172558035957,1.2018023232385264,0.7169713151900925,0.24567010018915833,1.360204428536001,undrafted
12,Jervon Pressley,2016,https://www.sports-reference.com//cbb/schools/hampton/2016.html,F,6-8,250,senior,28,13,19,20.6,.455,,0.0,.539,3.6,2.1,3.9,0.6,0.1,1.7,2.1,3.3,6.7,12.5,.483,.455,.000,10.3,20.8,5.8,20.6,.058,-5.5,17,2,1,6,15,4.351137547720559,0.724040533311189,0.30929478706587094,1.4893328187137889,3.5805241321941246,undrafted
13,Will Adams,2012,https://www.sports-reference.com//cbb/schools/towson/2012.html,F,6-4,190,freshman,27,0,1,12.5,.297,.206,1.3,.500,0.4,0.4,0.7,0.4,0.3,0.1,0.8,1.3,1.9,2.7,.364,.352,.531,4.0,7.6,9.0,13.8,-.052,-7.4,7,3,2,2,4,2.0852871496680367,0.7856742013183862,0.531581484978049,0.41573970964154905,1.2483184849150162,undrafted
14,Alex Giergen,2012,https://www.sports-reference.com//cbb/schools/towson/2012.html,F,6-7,220,freshman,27,0,1,10.5,.306,.276,1.1,.500,0.2,0.3,0.8,0.1,0.1,0.0,0.5,1.1,1.2,1.4,.425,.417,.806,3.2,10.0,1.7,9.7,-.038,-8.1,8,1,1,0,4,2.114033065604494,0.2618914004394621,0.3142696805273545,0.0,1.0999438818457405,undrafted
15,Deyon Cook,2012,https://www.sports-reference.com//cbb/schools/towson/2012.html,G,6-5,175,freshman,22,1,0,3.7,.313,.267,0.7,1.000,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.4,0.7,2.5,.455,.438,.938,4.2,3.2,3.2,13.7,-.038,-6.9,4,1,1,0,4,1.2928602412116261,0.20829889522526548,0.2082988952252655,0.0,0.8491609860122459,undrafted
16,Jamel Flash,2015,https://www.sports-reference.com//cbb/schools/towson/2015.html,F,6-10,220,senior,23,1,11,5.5,.286,,0.0,.556,0.4,0.3,0.4,0.0,0.0,0.1,0.2,0.5,0.6,3.6,.356,.286,.000,7.3,9.3,0.0,9.3,.012,-6.5,6,0,1,2,3,1.3776503928482486,0.0,0.20393111999232305,0.4078622399846461,0.9760845356801585,undrafted
17,Christian Collins,2013,https://www.sports-reference.com//cbb/schools/towson/2013.html,G,6-0,170,sophomore,4,0,4,2.0,1.000,1.000,0.3,,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.8,32.3,1.500,1.500,1.000,0.0,29.7,26.7,6.3,.334,3.9,3,1,0,0,1,1.299038105676658,0.4330127018922193,0.0,0.0,0.5,undrafted
18,Bryan Blackstone,2013,https://www.sports-reference.com//cbb/schools/towson/2013.html,G,5-10,185,sophomore,5,0,4,2.0,.000,.000,0.2,,0.0,0.0,0.6,0.0,0.2,0.0,1.0,0.0,0.0,-28.8,.000,.000,.500,0.0,35.6,0.0,35.5,-.538,-26.8,0,0,1,0,2,0.0,0.0,0.4,0.0,0.7999999999999999,undrafted
19,Alan Jones,2012,https://www.sports-reference.com//cbb/schools/troy/2012.html,G,6-0,180,freshman,28,6,10,21.9,.384,.360,6.3,.724,1.0,0.7,1.2,0.6,1.0,0.1,0.9,1.4,10.4,16.9,.515,.502,.653,3.3,7.0,6.2,24.5,.085,0.1,23,3,4,1,5,5.917373245152699,0.8112726208286106,1.1952286093343936,0.30929478706587094,1.3974283961795608,undrafted
20,Justin Wright,2013,https://www.sports-reference.com//cbb/schools/troy/2013.html,G,6-5,220,sophomore,5,0,1,12.4,.238,.125,1.6,.800,1.0,0.4,1.6,0.8,0.0,0.0,1.2,1.2,3.0,0.6,.321,.262,.381,3.5,18.3,13.5,26.0,-.097,-14.0,6,3,0,0,5,2.0,1.1661903789690604,0.0,0.0,1.8973665961010275,undrafted
