,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Gilberto Clavell,2011,https://www.sports-reference.com//cbb/schools/sam-houston-state/2011.html,F,6-6,230,sophomore,31,31,18,30.1,.559,.286,0.2,.709,8.0,3.2,4.0,0.9,0.6,0.1,3.1,3.5,19.5,24.4,.605,.562,.018,12.0,15.6,7.7,31.6,.186,2.3,30,3,3,1,12,5.695718310798257,0.9282254561250424,0.742636415046538,0.3352356401746214,2.1547807602793205,undrafted
1,Josten Crow,2011,https://www.sports-reference.com//cbb/schools/sam-houston-state/2011.html,F,6-4,210,senior,31,31,18,30.9,.425,.321,5.1,.700,3.9,1.5,3.8,3.5,1.8,0.3,1.9,2.8,12.7,20.0,.544,.508,.520,5.4,14.5,23.2,21.9,.172,2.5,24,10,6,2,13,6.344760306794606,2.2119719661850024,1.5803159630859216,0.5059479723018749,2.763670966529535,undrafted
2,Lance Pevehouse,2011,https://www.sports-reference.com//cbb/schools/sam-houston-state/2011.html,G,6-2,185,junior,30,23,18,30.8,.361,.296,6.6,.813,1.1,1.1,2.9,2.4,1.3,0.4,0.7,1.9,8.7,14.5,.503,.482,.816,3.9,11.0,14.7,15.0,.136,3.2,25,6,3,2,6,5.757024694521757,1.5162087220725544,1.004987562112089,0.7118052168020874,1.4715826703096075,undrafted
3,Nafis Richardson,2011,https://www.sports-reference.com//cbb/schools/sam-houston-state/2011.html,G,6-1,175,freshman,31,1,18,21.3,.404,.313,2.2,.570,2.5,0.6,1.5,1.8,0.8,0.1,1.8,2.0,7.0,9.8,.483,.460,.356,3.1,8.0,16.6,21.2,.064,-4.5,19,6,3,1,6,4.869151552029216,1.337056888778239,0.8198880662670216,0.29565004483586066,1.513037341878526,undrafted
4,Drae Murray,2011,https://www.sports-reference.com//cbb/schools/sam-houston-state/2011.html,G,5-10,150,junior,31,26,18,27.2,.349,.310,3.6,.697,1.1,0.4,2.2,4.7,1.2,0.0,1.6,1.9,5.8,12.0,.472,.449,.646,1.5,9.4,31.6,14.1,.104,-0.9,13,11,4,1,5,3.5688559189520856,2.7984684379737192,1.1099774538119518,0.17668469596940847,1.4105297489726094,undrafted
5,Marcus Williams,2011,https://www.sports-reference.com//cbb/schools/sam-houston-state/2011.html,G,5-10,165,freshman,22,13,12,23.4,.368,.273,2.5,.678,2.7,0.4,1.8,3.3,1.5,0.0,2.6,2.2,7.3,11.1,.468,.420,.382,2.0,8.8,27.5,22.1,.068,-2.2,17,8,5,1,6,4.921071239959886,2.008761799453123,1.5300029708824394,0.2082988952252655,1.33608531424537,undrafted
6,Antuan Bootle,2012,https://www.sports-reference.com//cbb/schools/sam-houston-state/2012.html,C,6-7,265,senior,18,2,8,13.8,.540,,0.0,.360,1.4,1.4,3.3,0.3,0.3,0.2,1.4,2.1,3.5,10.8,.509,.540,.000,12.0,29.8,5.0,19.0,.068,-5.3,8,2,2,2,20,2.266911751455907,0.558326423395605,0.5773502691896257,0.5328701692569688,4.136557881996952,undrafted
7,Marcus James,2012,https://www.sports-reference.com//cbb/schools/sam-houston-state/2012.html,F,6-7,195,sophomore,32,31,13,28.1,.460,.250,0.8,.633,4.0,2.2,4.8,0.8,0.9,0.8,2.5,3.0,9.6,14.7,.512,.473,.100,9.4,21.6,7.1,22.6,.105,-2.2,24,3,3,3,17,5.384348701328695,0.8190839013800723,0.878897569401577,0.7905694150420949,3.1616599674854347,undrafted
8,Aaron Thompson,2012,https://www.sports-reference.com//cbb/schools/sam-houston-state/2012.html,C,6-9,220,junior,7,1,1,13.3,.238,.000,0.4,1.000,0.6,1.1,1.1,0.3,0.3,0.1,0.6,0.7,2.0,5.1,.306,.238,.143,10.2,10.8,4.7,15.5,.022,-3.5,4,1,1,1,6,1.5118578920369088,0.45175395145262565,0.45175395145262565,0.34992710611188266,2.7105237087157534,undrafted
9,Kelly Lawson,2011,https://www.sports-reference.com//cbb/schools/sam-houston-state/2011.html,F,6-8,245,freshman,16,0,12,4.9,.273,,0.0,.400,0.6,0.6,0.8,0.0,0.0,0.1,0.3,1.0,0.6,2.1,.317,.273,.000,14.2,19.2,0.0,13.0,.016,-13.3,3,0,0,1,5,1.1110243021644486,0.0,0.0,0.24206145913796356,1.7309228030157786,undrafted
