,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Kashaun Hicks,2021,https://www.sports-reference.com//cbb/schools/norfolk-state/2021.html,G,6-6,225,senior,23,8,16,20.3,.416,.398,4.0,.739,2.0,0.7,3.1,0.5,0.6,0.3,1.0,2.0,8.0,15.6,.582,.551,.679,3.8,16.8,5.1,19.0,.147,1.2,20,2,2,1,7,5.179208105237082,0.6507230237867724,0.5768043113661565,0.4601306627938419,1.7106361367744352,undrafted
1,Anthony Catotti,2017,https://www.sports-reference.com//cbb/schools/central-florida/2017.html,F,6-4,200,freshman,4,0,3,1.5,1.000,,0.0,,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,20.9,1.000,1.000,.000,0.0,16.6,0.0,8.7,.204,8.0,2,0,0,0,1,0.8660254037844386,0.0,0.0,0.0,0.4330127018922193,undrafted
2,Tate Morse,2017,https://www.sports-reference.com//cbb/schools/central-florida/2017.html,G,6-4,165,freshman,2,0,1,2.0,.000,.000,1.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-13.0,.000,.000,1.000,0.0,0.0,43.8,26.0,-.205,-17.0,0,1,0,0,0,0.0,0.5,0.0,0.0,0.0,undrafted
3,Brock Stephenson,2017,https://www.sports-reference.com//cbb/schools/central-florida/2017.html,G,6-2,175,freshman,11,0,10,1.5,.000,.000,0.5,,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,-13.8,.000,.000,.833,7.1,5.9,0.0,18.3,-.165,-17.5,0,0,0,0,1,0.0,0.0,0.0,0.0,0.38569460791993493,undrafted
4,David DiLeo,2020,https://www.sports-reference.com//cbb/schools/central-michigan/2020.html,F,6-8,224,senior,32,32,14,31.4,.445,.400,6.6,.875,2.8,1.4,3.7,0.9,1.0,0.1,1.2,1.8,14.5,19.5,.608,.569,.619,4.5,13.6,5.4,19.3,.155,2.3,30,5,3,1,9,6.466183065572765,1.1554050967085094,1.0,0.33071891388307384,2.235194342780958,undrafted
5,Cecil Williams,2018,https://www.sports-reference.com//cbb/schools/central-michigan/2018.html,F,6-6,210,sophomore,36,36,21,30.2,.469,.303,2.1,.777,5.5,1.6,4.9,2.6,1.0,1.0,2.8,2.9,14.9,20.9,.561,.499,.197,5.8,18.5,17.8,26.6,.140,-0.1,27,6,5,4,13,5.859201900735309,1.6377114414426306,1.2018504251546631,1.0668257983150846,2.7737470756192195,undrafted
6,Kevin McKay,2020,https://www.sports-reference.com//cbb/schools/central-michigan/2020.html,G,6-5,228,senior,28,24,12,29.3,.582,.077,0.9,.724,3.5,2.3,3.9,1.6,1.6,0.8,2.0,2.3,13.0,23.1,.613,.586,.104,8.1,15.4,10.7,20.0,.162,3.5,24,4,4,4,12,6.143999063297122,1.265717510476382,1.076179940951383,0.9865162369237952,2.7562544830821056,undrafted
7,Matty Smith,2019,https://www.sports-reference.com//cbb/schools/central-michigan/2019.html,G,5-11,180,junior,4,0,4,6.0,.600,,0.0,.500,0.5,0.0,0.5,1.3,0.5,0.0,0.8,0.3,1.8,16.0,.588,.600,.000,0.0,8.9,36.5,17.5,.092,-2.5,5,4,1,0,2,2.0463381929681126,1.6393596310755,0.5,0.0,0.8660254037844386,undrafted
8,Janeau Joubert,2017,https://www.sports-reference.com//cbb/schools/central-michigan/2017.html,G,6-1,160,freshman,12,0,3,2.6,.250,.000,0.3,.750,0.7,0.2,0.3,0.2,0.2,0.0,0.0,0.2,1.0,14.8,.380,.250,.250,6.4,9.6,10.6,22.9,.067,-6.1,4,1,1,0,2,1.4719601443879744,0.3726779962499649,0.3726779962499649,0.0,0.6400954789890506,undrafted
9,Christian Keeling,2020,https://www.sports-reference.com//cbb/schools/north-carolina/2020.html,G,6-3,180,senior,33,9,14,19.2,.428,.320,1.5,.750,1.0,0.8,2.0,0.6,0.5,0.2,1.1,1.6,6.4,10.9,.490,.468,.249,4.1,11.6,6.5,19.1,.059,-0.1,18,2,2,2,9,5.003212925470405,0.7713892158398701,0.6569540420811757,0.4575657233497423,1.8870784820533655,undrafted
