,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Travis Berry,2017,https://www.sports-reference.com//cbb/schools/sacred-heart/2017.html,G,6-4,185,senior,1,0,0,1.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,.009,-6.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
1,Kevin Lynch,2014,https://www.sports-reference.com//cbb/schools/seton-hall/2014.html,G,6-4,190,freshman,4,1,4,1.8,.000,.000,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-16.3,.000,.000,1.000,0.0,0.0,0.0,7.7,-.089,-23.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
2,Lavon Long,2017,https://www.sports-reference.com//cbb/schools/siena/2017.html,G,6-7,222,senior,31,30,16,32.7,.522,.394,1.1,.758,4.1,2.2,4.1,2.6,1.0,0.8,2.5,3.3,12.6,18.2,.593,.547,.123,7.6,14.2,15.2,19.3,.123,1.6,29,6,4,3,16,6.163232256035094,1.519214430879563,1.1913667943625412,0.8312321759177501,3.1232070819250666,undrafted
3,Marquis Wright,2017,https://www.sports-reference.com//cbb/schools/siena/2017.html,G,6-0,160,senior,33,32,17,34.2,.409,.351,4.6,.736,4.9,1.3,2.8,5.0,1.1,0.2,2.8,2.2,16.8,18.8,.510,.466,.323,4.3,9.4,29.9,27.2,.119,1.0,36,9,3,1,9,7.158188976374373,2.215646837627989,0.945726456625893,0.35855028988482524,2.046744823123428,undrafted
4,Maurice White,2015,https://www.sports-reference.com//cbb/schools/siena/2015.html,G,6-4,213,sophomore,23,0,9,9.8,.187,.000,0.1,.647,1.5,0.7,1.0,0.2,0.4,0.1,0.8,1.1,2.2,0.4,.274,.187,.040,7.6,12.7,4.1,24.7,-.101,-13.2,6,2,2,1,6,2.2390249025363014,0.5070392952039391,0.7064381221422575,0.33678116053977536,1.9248646627111874,undrafted
5,Michael Wolfe,2017,https://www.sports-reference.com//cbb/schools/north-carolina-central/2017.html,F,6-5,195,sophomore,17,3,13,3.5,.462,.250,0.5,.625,0.5,0.1,0.5,0.0,0.1,0.1,0.1,0.7,1.1,10.5,.565,.538,.615,3.8,13.6,0.0,15.6,.144,-7.1,9,0,1,1,3,2.166112075237879,0.0,0.23529411764705885,0.23529411764705885,0.7714633558002354,undrafted
6,Javion Ogunyemi,2017,https://www.sports-reference.com//cbb/schools/siena/2017.html,F,6-8,239,senior,34,34,17,32.1,.535,.250,0.6,.630,5.6,2.7,3.0,1.2,0.6,1.9,1.9,3.2,14.0,19.9,.568,.543,.061,9.4,10.7,7.7,21.3,.128,1.2,25,4,2,5,10,5.190489039636654,1.0588235294117647,0.5948161298869613,1.3143472336179016,2.0077703724560014,undrafted
7,Mike Wilson,2015,https://www.sports-reference.com//cbb/schools/siena/2015.html,G,6-0,159,sophomore,7,0,0,2.4,.500,.000,0.1,,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.1,0.6,12.9,.500,.500,.250,0.0,22.0,0.0,11.9,.077,0.7,2,0,1,0,1,0.9035079029052513,0.0,0.3499271061118826,0.0,0.49487165930539345,undrafted
8,Ken Williams,2017,https://www.sports-reference.com//cbb/schools/south-alabama/2017.html,G,6-2,175,senior,32,26,14,29.4,.360,.267,5.8,.778,4.5,0.6,2.3,3.3,0.8,0.2,1.9,1.6,13.9,15.8,.482,.423,.477,2.2,9.2,24.5,27.5,.097,-0.3,25,8,4,2,10,6.4262644670134765,2.098176291449315,1.0638777831593251,0.4831132760543846,2.3366559304912653,undrafted
9,Aakim Saintil,2016,https://www.sports-reference.com//cbb/schools/long-island-university/2016.html,G,6-0,165,sophomore,31,25,16,29.2,.368,.262,4.2,.807,5.4,0.4,1.8,4.7,1.5,0.0,2.9,3.4,12.6,15.0,.512,.424,.428,1.4,6.9,30.7,24.5,.092,-3.7,27,11,4,1,5,6.002947593698875,2.4255833802719304,1.1322534693409192,0.17668469596940847,1.496440452224929,undrafted
10,Georgi Boyanov,2017,https://www.sports-reference.com//cbb/schools/south-alabama/2017.html,F,6-8,200,senior,30,7,13,20.7,.547,.452,1.4,.575,2.7,1.8,2.9,0.8,0.5,0.2,1.2,1.5,8.8,19.3,.600,.599,.232,9.5,16.5,8.2,20.4,.141,0.4,23,4,2,2,12,5.481382631741335,0.9195409482755815,0.669991708074726,0.45338235029118146,2.8830924754891614,undrafted
11,T.J. Johnson,2014,https://www.sports-reference.com//cbb/schools/south-alabama/2014.html,G,6-2,175,freshman,20,0,6,9.5,.404,.364,1.1,.714,0.4,0.2,1.1,0.5,0.2,0.1,0.5,0.8,2.6,9.7,.507,.489,.468,1.7,12.5,10.1,15.9,.065,-1.6,12,2,1,1,4,3.057368149242089,0.7399324293474372,0.4000000000000001,0.30000000000000004,1.1224972160321824,undrafted
12,Isaiah Maston,2014,https://www.sports-reference.com//cbb/schools/south-alabama/2014.html,G,6-3,185,freshman,28,0,11,9.2,.409,.400,1.3,.500,0.1,0.2,0.7,0.3,0.0,0.1,0.3,1.1,1.8,6.8,.567,.568,.795,2.5,8.3,7.0,10.5,.065,-2.8,8,2,1,1,3,2.3307505141442477,0.5380899704756915,0.1855768722395226,0.30929478706587094,0.8167569018592338,undrafted
13,Austin Karazsia,2015,https://www.sports-reference.com//cbb/schools/south-alabama/2015.html,F,6-8,220,sophomore,21,0,5,6.8,.381,.400,0.5,.333,0.3,0.2,0.8,0.1,0.1,0.0,0.3,0.8,1.0,5.0,.461,.476,.476,4.0,12.3,2.7,10.5,.017,-4.5,6,1,1,1,4,1.8381199110113127,0.2935435239509036,0.34992710611188255,0.21295885499997996,1.2344267996967353,undrafted
14,E.J. Conley,2014,https://www.sports-reference.com//cbb/schools/south-alabama/2014.html,G,5-9,150,freshman,6,0,3,2.7,.000,,0.0,,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,-1.3,.000,.000,.000,0.0,0.0,11.0,6.4,-.044,-17.7,0,1,1,0,0,0.0,0.372677996249965,0.372677996249965,0.0,0.0,undrafted
15,Jalen White,2015,https://www.sports-reference.com//cbb/schools/south-carolina-state/2015.html,G,6-1,185,sophomore,28,22,10,18.4,.392,.424,1.2,.607,2.2,0.3,1.5,2.1,0.5,0.1,1.8,1.5,6.3,11.1,.468,.437,.209,1.8,9.7,27.2,23.8,.034,-5.3,17,7,3,1,4,4.453128916038378,1.5567496226930977,0.6804485315449161,0.3499271061118826,1.3901071754306118,undrafted
16,Jordan Smith,2014,https://www.sports-reference.com//cbb/schools/south-carolina-state/2014.html,G,6-3,170,freshman,29,12,8,14.4,.331,.294,4.3,.857,0.7,0.3,0.8,0.4,0.2,0.0,0.8,0.8,6.0,8.9,.460,.435,.708,2.0,6.4,7.5,25.3,.026,-4.0,19,2,2,1,6,5.3076571792516285,0.6206896551724137,0.4827586206896552,0.18246560765962697,1.311251954609072,undrafted
17,Karon Wright,2015,https://www.sports-reference.com//cbb/schools/south-carolina-state/2015.html,G,5-10,185,sophomore,33,7,11,17.3,.300,.314,5.8,.750,0.8,0.5,0.6,0.3,0.3,0.0,1.1,2.0,7.1,6.4,.435,.416,.743,2.7,4.2,4.4,28.0,.004,-7.6,19,2,3,0,4,5.30727103165925,0.521353046487432,0.6356417261637282,0.0,1.042706092974864,undrafted
18,Patrick Kirksey,2015,https://www.sports-reference.com//cbb/schools/south-carolina-state/2015.html,F,6-5,200,sophomore,33,19,11,18.2,.432,.000,0.0,.278,2.2,1.3,2.6,0.5,0.6,0.1,0.9,1.8,3.1,8.0,.395,.432,.011,7.6,17.1,5.4,13.7,.029,-7.7,7,2,3,1,12,2.2611828007488035,0.6555547773570889,0.7713892158398701,0.3263736246748184,2.5338842376202266,undrafted
19,Greg Mortimer,2017,https://www.sports-reference.com//cbb/schools/south-carolina-state/2017.html,G,6-3,175,senior,31,26,11,26.2,.440,.329,2.6,.707,3.0,0.7,1.7,2.2,0.6,0.2,1.7,1.4,10.8,15.2,.524,.489,.296,3.1,7.7,17.5,23.0,.052,-4.4,21,6,2,2,7,5.430480132004894,1.6599587522927237,0.7482202261124646,0.48921777058397103,1.7556212676371323,undrafted
20,Darrion Eastmon,2014,https://www.sports-reference.com//cbb/schools/south-carolina-state/2014.html,G,6-2,180,freshman,25,6,7,10.3,.455,.375,0.3,.600,0.8,0.2,1.0,1.4,0.4,0.1,1.3,1.4,1.4,5.3,.556,.523,.364,2.1,11.7,26.4,12.4,-.006,-9.5,6,6,2,2,4,1.7663521732655691,1.5491933384829668,0.6324555320336759,0.3919183588453085,1.3047605144240073,undrafted
21,Karim Mawuenyega,2015,https://www.sports-reference.com//cbb/schools/south-carolina-upstate/2015.html,G,6-0,170,sophomore,3,0,3,13.3,.300,.167,2.0,.400,1.7,0.7,1.0,3.0,2.3,0.0,0.0,0.7,3.0,26.4,.364,.350,.600,5.6,8.3,39.0,15.8,.244,7.5,5,4,3,0,3,1.632993161855452,0.816496580927726,0.4714045207910317,0.0,1.247219128924647,undrafted
22,Michael Buchanan,2017,https://www.sports-reference.com//cbb/schools/south-carolina-upstate/2017.html,C,6-11,250,senior,32,19,17,23.3,.623,,0.0,.528,6.0,3.7,5.8,1.2,0.5,0.6,2.2,2.7,16.1,32.4,.609,.623,.000,17.0,26.7,11.8,32.1,.205,2.8,29,4,2,2,15,6.6930467651137775,1.0034121473751452,0.6606992034958117,0.649519052838329,3.715991624048687,undrafted
23,ShunQuez Stephens,2015,https://www.sports-reference.com//cbb/schools/south-carolina-upstate/2015.html,F,6-5,245,sophomore,35,32,23,22.1,.423,.275,2.3,.737,1.6,1.8,4.4,1.3,0.8,0.2,1.2,2.5,7.0,16.7,.508,.474,.376,8.9,21.8,10.9,18.8,.159,-1.4,15,5,3,2,11,4.306047005819436,1.425711422842817,0.8647283400240889,0.4831867007225076,2.789191968426464,undrafted
24,Josh Cuthbertson,2017,https://www.sports-reference.com//cbb/schools/south-carolina-upstate/2017.html,F,6-5,185,senior,32,29,17,28.1,.450,.345,3.4,.717,1.4,1.1,2.4,3.2,0.4,0.1,1.7,1.8,8.5,13.2,.556,.536,.495,4.3,9.2,19.4,16.0,.085,-3.0,22,10,2,1,10,5.958105692038368,1.9958452939794706,0.6584783595532961,0.2914805954090255,2.290435275226087,undrafted
25,Sindarius Thornwell,2017,https://www.sports-reference.com//cbb/schools/south-carolina/2017.html,G,6-5,215,senior,31,31,23,33.9,.444,.392,4.8,.830,8.4,2.5,4.6,2.8,2.1,1.0,2.5,2.3,21.4,30.3,.590,.510,.337,8.0,16.3,19.1,29.5,.273,17.1,44,9,6,3,21,6.612195084035591,2.0544107520116976,1.237633941500057,0.9994795732148173,3.3224240489248342,48
26,Duane Notice,2017,https://www.sports-reference.com//cbb/schools/south-carolina/2017.html,G,6-2,216,senior,37,37,26,32.7,.392,.342,5.5,.674,2.6,0.8,1.7,2.4,1.0,0.2,1.4,1.4,10.2,12.6,.529,.503,.650,2.8,6.2,14.0,16.4,.128,5.2,27,5,3,2,6,6.583508626034625,1.3163022337173969,0.9863939238321437,0.45546755530683014,1.4629587678620926,undrafted
27,Demetrius Henry,2017,https://www.sports-reference.com//cbb/schools/la-salle/2017.html,F,6-9,227,senior,29,18,15,19.0,.610,,0.0,.667,2.4,1.5,2.4,0.7,0.3,0.6,1.5,2.9,5.8,13.8,.633,.610,.000,10.0,15.5,7.1,16.4,.082,-2.2,11,3,2,3,12,2.9522558335177917,0.6999235562132565,0.5319740903635004,0.8516613127743771,2.7907610441790767,undrafted
28,Jaylen Shaw,2018,https://www.sports-reference.com//cbb/schools/coastal-carolina/2018.html,G,6-0,182,senior,32,29,14,30.9,.420,.315,3.4,.773,5.1,0.3,2.9,5.4,1.6,0.0,3.5,2.2,14.8,18.2,.525,.465,.289,1.2,10.2,38.5,28.0,.126,0.4,27,10,4,1,7,5.341099488869309,2.381569860407206,1.1688502630790651,0.17399263633843817,1.9273929931386593,undrafted
29,Desmond Ringer,2018,https://www.sports-reference.com//cbb/schools/mercer/2018.html,F,6-9,255,senior,34,34,19,25.5,.593,.400,0.1,.817,2.7,2.1,3.5,0.5,0.3,0.4,1.7,2.6,9.2,16.7,.646,.598,.025,10.8,16.7,3.7,18.4,.126,-2.1,22,2,1,2,12,5.151006889174033,0.6523845003770246,0.44117647058823534,0.5359078575967234,3.491090984631563,undrafted
30,Justin McKie,2017,https://www.sports-reference.com//cbb/schools/south-carolina/2017.html,G,6-4,196,senior,37,7,26,16.6,.389,.342,2.0,.625,0.6,0.6,1.4,1.2,0.6,0.1,0.6,1.4,4.2,11.2,.486,.473,.490,4.1,10.3,14.4,14.4,.121,4.0,13,4,4,1,6,3.511641913154518,1.302915761426373,0.9165310788007119,0.27295959292870475,1.8000892762536986,undrafted
31,Reggie Theus,2018,https://www.sports-reference.com//cbb/schools/cal-state-northridge/2018.html,F,6-6,210,senior,30,20,6,23.0,.409,.500,0.3,.487,1.3,1.1,1.1,0.6,0.4,0.3,1.0,2.5,6.2,6.8,.430,.422,.051,5.8,5.7,5.3,19.0,-.006,-7.9,19,3,2,1,9,4.928826770473206,0.6633249580710799,0.6110100926607787,0.4422166387140533,1.6669999666733315,undrafted
32,Anders Broman,2018,https://www.sports-reference.com//cbb/schools/winthrop/2018.html,G,6-2,190,senior,31,31,19,31.3,.424,.376,6.3,.852,2.8,0.3,2.5,1.9,1.1,0.1,0.9,2.2,12.4,16.1,.600,.556,.698,1.2,8.4,10.5,17.5,.155,0.3,29,5,4,1,5,5.694804759489063,1.4310369685689572,1.1285713344861874,0.33523564017462143,1.4075757567271892,undrafted
33,Connor Devine,2016,https://www.sports-reference.com//cbb/schools/south-dakota-state/2016.html,F,6-10,220,junior,26,0,19,8.3,.641,,0.0,.548,1.2,0.7,0.9,0.3,0.1,0.6,0.3,1.4,2.6,18.1,.624,.641,.000,10.3,12.0,6.2,14.1,.171,2.7,8,1,1,2,4,2.3724877712755594,0.4435600997950307,0.2664693550105965,0.7428156890703064,1.3323467750529825,undrafted
34,Matt Donlan,2017,https://www.sports-reference.com//cbb/schools/youngstown-state/2017.html,G,6-6,185,senior,34,26,13,26.2,.372,.381,5.2,.865,1.5,0.6,3.4,1.6,0.4,0.2,1.1,1.9,9.3,12.2,.529,.495,.642,2.2,14.2,10.3,18.0,.065,-2.4,24,4,3,2,9,6.04166616951038,1.0323487514578966,0.728201082537644,0.5455069703232767,1.9402850002906638,undrafted
35,Tyler Larson,2015,https://www.sports-reference.com//cbb/schools/south-dakota/2015.html,G,6-3,185,sophomore,33,33,17,34.6,.431,.372,2.6,.751,5.2,2.2,5.6,2.9,0.8,0.2,2.1,2.6,14.4,20.2,.534,.475,.238,7.3,20.3,17.9,23.4,.139,2.0,25,7,4,1,14,5.35875484077469,1.93465329691059,1.007775099897933,0.42854956435548336,3.313162108750693,undrafted
36,Tavian Pomlee,2014,https://www.sports-reference.com//cbb/schools/south-dakota/2014.html,G,6-5,205,freshman,24,0,10,10.0,.408,.295,1.8,.833,0.5,0.9,1.0,0.3,0.7,0.1,0.8,1.4,3.4,14.3,.528,.500,.620,11.5,11.4,7.1,21.2,.076,-5.5,16,2,4,1,6,4.171455581288942,0.5527707983925667,1.1055415967851334,0.2763853991962833,1.8099838857477892,undrafted
37,Corey Allen,2015,https://www.sports-reference.com//cbb/schools/south-florida/2015.html,G,6-1,152,sophomore,28,27,8,33.5,.444,.351,4.1,.792,3.6,0.9,2.8,2.5,1.5,0.3,2.5,2.0,15.4,19.6,.541,.501,.325,3.0,9.5,18.5,26.8,.110,3.9,32,5,4,2,8,7.669180303696884,1.1796531832081245,1.1174634176544298,0.6008072800450258,2.0391574890885997,undrafted
