,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Desmond Holloway,2011,https://www.sports-reference.com//cbb/schools/coastal-carolina/2011.html,G,6-3,167,freshman,26,24,23,32.0,.502,.353,2.6,.763,6.7,1.6,5.3,1.7,1.3,0.3,2.4,2.2,18.5,25.9,.592,.539,.211,6.1,17.4,11.2,28.1,.227,4.5,27,6,5,2,15,4.456894134421838,1.1621496099798558,1.2639751327042295,0.5506854255106289,3.350351036981934,undrafted
1,Anthony Raffa,2013,https://www.sports-reference.com//cbb/schools/coastal-carolina/2013.html,G,6-1,180,senior,29,29,14,32.6,.467,.353,5.9,.756,4.4,0.8,2.8,1.4,1.9,0.2,2.0,2.3,19.1,25.7,.570,.538,.399,2.8,11.4,11.0,28.9,.216,5.0,34,4,4,1,9,7.1261772292370775,1.1012909946669873,1.2413793103448276,0.40508069394726653,2.0429397577377415,undrafted
2,Sam McLaurin,2013,https://www.sports-reference.com//cbb/schools/illinois/2013.html,F,6-8,220,senior,36,15,23,20.7,.444,.500,0.1,.585,1.8,2.2,1.2,0.4,0.3,0.7,0.8,2.3,3.8,10.6,.486,.449,.019,12.0,7.9,4.1,11.7,.073,1.2,8,2,2,3,7,2.384848003542364,0.5983516452371672,0.56859693029052,0.7817359599705717,1.7219981933143185,undrafted
3,Danny Nieman,2012,https://www.sports-reference.com//cbb/schools/coastal-carolina/2012.html,G,6-1,196,junior,20,13,11,26.7,.390,.370,2.7,.444,0.5,0.5,2.7,2.0,0.5,0.1,1.6,1.4,4.4,7.3,.510,.512,.659,2.3,11.5,11.8,11.2,.052,-3.1,16,6,1,1,9,4.029888335921977,1.5644487847162016,0.49749371855331,0.21794494717703364,2.1511624764298953,undrafted
4,Kierre Greenwood,2013,https://www.sports-reference.com//cbb/schools/coastal-carolina/2013.html,G,6-2,175,senior,28,28,14,32.0,.419,.368,1.4,.818,4.3,0.8,2.3,4.1,1.9,0.1,2.8,2.4,12.9,19.0,.511,.443,.128,2.9,9.6,26.8,24.3,.141,0.0,27,8,4,1,6,6.298181629385953,2.1368964716645134,1.1930923634635762,0.3499271061118826,1.3552618543578767,undrafted
5,Brandon Crawford,2012,https://www.sports-reference.com//cbb/schools/coastal-carolina/2012.html,F,6-5,210,senior,12,0,9,10.1,.481,1.000,0.1,.750,1.3,0.7,1.9,0.6,0.3,0.0,0.7,1.5,3.3,16.3,.564,.500,.037,8.2,22.0,10.1,17.9,.147,-6.3,11,1,2,0,5,3.243583409338094,0.4930066485916347,0.6236095644623235,0.0,1.8008485654145259,undrafted
6,Dexter Moore,2012,https://www.sports-reference.com//cbb/schools/coastal-carolina/2012.html,G,6-1,173,senior,28,1,18,9.7,.413,.333,2.0,.900,0.4,0.0,0.6,0.5,0.2,0.1,0.4,0.8,3.4,13.5,.555,.531,.713,0.5,7.7,9.8,17.9,.117,-2.1,17,3,3,2,5,4.3195096093545295,0.8229799015573507,0.6185895741317419,0.4087686836521285,1.0708331678974965,undrafted
7,Mike Holmes,2011,https://www.sports-reference.com//cbb/schools/coastal-carolina/2011.html,F,6-8,240,senior,7,5,7,22.4,.481,,0.0,.667,5.1,2.4,6.0,1.7,0.4,0.9,1.9,2.3,14.0,28.9,.521,.481,.000,13.2,28.1,17.3,34.1,.228,3.5,18,4,1,3,10,2.5634797778466227,1.2777531299998797,0.49487165930539345,1.1248582677159729,1.5907898179514348,undrafted
8,Jon Pack,2012,https://www.sports-reference.com//cbb/schools/coastal-carolina/2012.html,C,6-11,250,senior,31,31,19,25.9,.548,.000,0.0,.485,3.3,2.6,3.7,0.8,0.5,1.1,1.7,2.5,7.1,15.3,.539,.548,.006,12.4,16.7,5.6,16.3,.107,-0.8,15,5,3,4,12,3.893215636421304,1.1386685544982444,0.7126039365927265,0.9816209067550282,2.467689225665197,undrafted
9,Willie Kirkland,2012,https://www.sports-reference.com//cbb/schools/coastal-carolina/2012.html,G,6-4,205,sophomore,4,0,4,8.3,.500,.000,0.3,.875,2.0,0.3,1.3,0.3,0.5,0.0,0.3,0.8,3.8,25.1,.636,.500,.125,3.8,17.5,5.4,19.7,.246,-14.9,7,1,2,0,4,2.8613807855648994,0.4330127018922193,0.8660254037844386,0.0,1.6583123951777,undrafted
