,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Reuben King,2016,https://www.sports-reference.com//cbb/schools/charleston-southern/2016.html,F,6-4,215,sophomore,30,8,9,15.3,.483,.167,0.6,.581,1.0,1.4,2.5,0.9,0.5,0.2,0.7,1.9,4.6,15.6,.508,.496,.150,9.7,19.8,11.5,16.9,.102,-2.5,14,4,2,1,10,4.104333752944021,1.044030650891055,0.7187952884282609,0.4000000000000001,2.780087928265739,undrafted
1,Jabbar Washington,2016,https://www.sports-reference.com//cbb/schools/charleston-southern/2016.html,G,6-3,180,sophomore,8,1,3,4.3,.300,.000,0.4,.500,0.8,0.1,0.4,1.0,0.1,0.0,0.8,0.3,1.1,4.9,.350,.300,.300,3.1,10.5,42.7,27.6,-.078,-16.2,4,4,1,0,2,1.2686114456365274,1.3228756555322954,0.33071891388307384,0.0,0.7071067811865476,undrafted
2,Wesley Johnson,2016,https://www.sports-reference.com//cbb/schools/charleston-southern/2016.html,F,6-8,210,sophomore,28,8,8,10.7,.571,,0.0,.629,1.3,0.8,1.1,0.2,0.3,0.3,0.4,1.8,1.9,10.3,.605,.571,.000,8.1,12.0,2.8,9.1,.091,-3.8,11,1,2,2,8,2.9632097875273624,0.3829930462415574,0.524890659167824,0.57476703355111,1.7390326891342645,undrafted
3,Jantzen Raymond,2016,https://www.sports-reference.com//cbb/schools/charleston-southern/2016.html,G,6-3,180,sophomore,3,0,3,2.7,.333,.500,0.7,.000,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.3,1.0,-10.9,.432,.500,.667,0.0,0.0,0.0,34.1,-.251,-23.4,3,0,0,0,0,1.4142135623730951,0.0,0.0,0.0,0.0,undrafted
4,Jarryd Coleman,2015,https://www.sports-reference.com//cbb/schools/charleston-southern/2015.html,G,6-3,180,freshman,5,0,3,4.0,.125,.143,1.4,,0.0,0.0,0.4,0.0,0.4,0.0,0.2,0.0,0.6,-2.2,.188,.188,.875,0.0,11.9,0.0,22.7,-.105,-16.4,3,0,1,0,1,1.2,0.0,0.48989794855663565,0.0,0.48989794855663565,undrafted
5,Torin Dorn,2019,https://www.sports-reference.com//cbb/schools/north-carolina-state/2019.html,G,6-5,210,senior,36,35,24,28.5,.482,.303,2.1,.589,3.0,2.2,5.0,1.3,1.0,0.3,1.4,1.4,14.0,20.7,.520,.508,.175,8.3,20.1,8.3,24.6,.158,5.3,34,5,4,2,12,5.66176258382101,1.114924013354971,1.1055415967851334,0.4930066485916347,2.604601815495787,undrafted
6,Keyshawn Woods,2019,https://www.sports-reference.com//cbb/schools/ohio-state/2019.html,G,6-3,205,senior,35,15,20,27.5,.420,.300,2.6,.816,1.4,0.4,2.7,2.5,0.7,0.1,1.3,2.3,8.1,11.5,.505,.473,.350,1.7,11.4,18.5,17.9,.090,2.7,19,10,4,1,7,5.5824798819747725,1.8874450931329994,0.8925999629607606,0.3499271061118826,1.771889340995846,undrafted
7,Cameron Pappas,2016,https://www.sports-reference.com//cbb/schools/charlotte/2016.html,G,6-1,175,sophomore,12,0,6,5.3,.357,.286,0.6,.900,0.8,0.0,0.6,0.3,0.2,0.0,0.3,0.5,1.8,11.6,.560,.429,.500,0.0,12.9,7.7,16.3,.081,-5.7,7,1,1,0,2,1.963203164898291,0.4330127018922193,0.372677996249965,0.0,0.7592027982620249,undrafted
8,Mitch Warner,2016,https://www.sports-reference.com//cbb/schools/charlotte/2016.html,G,6-3,192,sophomore,2,0,1,1.0,.000,.000,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-58.0,.000,.000,1.000,0.0,0.0,0.0,48.1,-.654,-84.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
9,Duke Ethridge,2016,https://www.sports-reference.com//cbb/schools/chattanooga/2016.html,F,6-6,225,sophomore,32,2,26,16.1,.491,.319,1.5,.773,2.3,1.3,2.5,0.3,0.4,0.5,0.8,1.4,7.5,21.5,.583,.535,.275,9.6,18.4,4.5,22.9,.176,0.6,19,2,2,2,11,4.8797052613349505,0.5367363761661771,0.6547602137424051,0.7064159097160821,2.4677608777999542,undrafted
