,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Nick Fuller,2018,https://www.sports-reference.com//cbb/schools/south-dakota/2018.html,F,6-6,199,senior,35,1,26,16.4,.560,.275,1.1,.796,2.7,1.3,2.9,0.5,0.4,0.3,0.8,2.2,8.8,24.1,.633,.588,.200,9.1,18.6,5.2,23.1,.229,3.4,17,3,2,2,10,4.563743540345011,0.6904597699196898,0.5897076411585798,0.6298687910013887,2.497345529532818,undrafted
1,Jake Hammond,2016,https://www.sports-reference.com//cbb/schools/nebraska/2016.html,F,6-10,230,sophomore,29,8,13,10.7,.434,,0.0,.436,1.3,1.4,1.3,0.2,0.2,0.6,0.4,1.6,2.2,12.5,.440,.434,.000,15.6,15.1,3.4,13.9,.084,-0.6,11,2,1,4,10,3.0065327207913537,0.48275862068965514,0.37773969483114894,0.9291167989867225,2.631104531991075,undrafted
2,Rashad Vaughn,2015,https://www.sports-reference.com//cbb/schools/nevada-las-vegas/2015.html,G,6-6,210,freshman,23,23,13,32.3,.439,.383,6.1,.694,4.3,0.6,4.2,1.6,0.8,0.3,2.2,2.3,17.8,20.2,.547,.521,.430,2.3,13.7,11.8,30.8,.132,4.5,31,4,3,2,10,6.932294769774815,1.1731076141940906,1.0614396187594526,0.560178205509788,2.315395992294669,17
3,Patrick McCaw,2016,https://www.sports-reference.com//cbb/schools/nevada-las-vegas/2016.html,G,6-6,180,sophomore,33,32,18,33.7,.465,.366,5.6,.774,3.2,1.2,4.0,3.9,2.5,0.4,2.1,2.2,14.7,21.3,.591,.560,.515,3.6,12.4,22.7,20.3,.179,7.6,28,9,7,2,18,7.824873809700771,2.0561449034772576,1.7072201237579727,0.5999693900976767,4.1102796171017575,38
4,Goodluck Okonoboh,2016,https://www.sports-reference.com//cbb/schools/nevada-las-vegas/2016.html,F,6-10,225,sophomore,6,2,5,15.2,.381,,0.0,.357,2.3,1.5,1.5,0.3,0.8,1.2,1.0,1.5,3.5,10.5,.380,.381,.000,10.5,10.4,3.9,17.4,.046,1.1,8,1,2,2,7,2.217355782608345,0.4714045207910317,0.6871842709362768,0.6871842709362768,1.9148542155126762,undrafted
5,Jordan Cornish,2019,https://www.sports-reference.com//cbb/schools/tulane/2019.html,G,6-6,225,senior,31,30,4,30.1,.315,.292,5.0,.577,2.5,0.4,3.5,4.1,0.5,0.1,3.5,1.8,9.4,5.6,.408,.385,.480,1.4,12.0,27.9,24.4,-.042,-6.0,20,10,3,1,8,5.458194156929071,2.4087941551734797,0.8362246062461756,0.29565004483586066,2.3792372793013903,undrafted
6,Dwayne Morgan,2020,https://www.sports-reference.com//cbb/schools/southern-utah/2020.html,F,6-8,218,senior,28,13,14,20.4,.400,.282,2.8,.711,2.7,0.6,2.6,0.5,0.8,0.5,1.6,3.3,9.1,13.2,.490,.449,.347,3.9,14.7,5.4,27.0,.100,-3.3,22,2,4,2,11,5.884084379033991,0.6257648381405441,0.9496239857363094,0.5658206970626736,2.1189138534559038,undrafted
7,Dantley Walker,2015,https://www.sports-reference.com//cbb/schools/nevada-las-vegas/2015.html,G,5-11,170,freshman,11,0,6,5.8,.375,.400,1.8,,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.6,2.4,12.5,.542,.542,.833,0.0,8.2,3.4,20.2,.109,-8.6,12,1,0,0,2,3.5744733184250004,0.28747978728803447,0.0,0.0,0.6555547773570889,undrafted
8,Tyron Criswell,2016,https://www.sports-reference.com//cbb/schools/nevada/2016.html,G,6-4,205,sophomore,38,18,24,30.3,.509,.283,1.2,.717,5.4,2.4,3.7,2.1,1.0,0.6,2.1,2.9,13.3,20.1,.578,.528,.135,8.5,12.5,14.4,21.4,.159,3.4,32,5,4,4,16,7.198029893591056,1.3254905536276873,1.0634314395356186,1.0397234876388637,2.9722865835289234,undrafted
9,Eric Cooper,2019,https://www.sports-reference.com//cbb/schools/pepperdine/2019.html,G,6-3,190,senior,34,31,16,28.1,.403,.418,5.9,.810,1.7,0.4,2.2,0.9,0.5,0.1,0.6,2.0,10.7,13.3,.575,.549,.698,1.6,9.6,6.2,17.9,.102,0.1,23,3,2,1,6,5.899753674994027,0.9629826790438176,0.6960093862470137,0.23529411764705885,1.8329925236332805,undrafted
10,Robyn Missa,2015,https://www.sports-reference.com//cbb/schools/nevada/2015.html,F,6-9,240,freshman,24,11,7,13.3,.426,.300,0.4,.579,0.8,0.9,1.8,0.1,0.1,0.2,0.8,1.2,2.5,7.2,.476,.454,.185,7.2,15.0,1.4,13.0,.028,-4.2,9,1,1,2,10,2.9154759474226504,0.2763853991962833,0.2763853991962833,0.4714045207910317,3.0505008696205214,undrafted
11,Kaileb Rodriguez,2016,https://www.sports-reference.com//cbb/schools/nevada/2016.html,F,6-9,225,sophomore,31,3,20,5.3,.579,,0.0,.529,0.5,0.5,0.8,0.1,0.1,0.2,0.4,1.4,1.0,8.1,.572,.579,.000,10.9,16.1,3.3,11.0,.087,-5.4,6,2,1,2,6,1.646109783506203,0.3897756765675669,0.2456701001891583,0.4696845089858399,1.7166625413742025,undrafted
12,Elijah Foster,2018,https://www.sports-reference.com//cbb/schools/nevada/2018.html,F,6-7,240,senior,32,5,25,6.6,.405,.000,0.1,.731,0.8,0.3,1.2,0.3,0.3,0.1,0.2,1.0,1.7,12.1,.488,.405,.048,5.5,20.3,7.7,14.7,.111,-0.5,10,2,1,1,5,2.2165482032881667,0.5266343608235224,0.4330127018922193,0.2914805954090255,1.2743717815064801,undrafted
13,Stelios Papafloratos,2015,https://www.sports-reference.com//cbb/schools/nevada/2015.html,G,6-4,170,freshman,9,0,3,2.7,.111,.143,0.8,.000,0.2,0.0,0.3,0.1,0.0,0.0,0.4,0.3,0.3,-19.1,.151,.167,.778,0.0,13.9,8.9,29.6,-.298,-22.7,3,1,0,0,1,0.9428090415820634,0.31426968052735443,0.0,0.0,0.4714045207910317,undrafted
14,Tanner Leissner,2018,https://www.sports-reference.com//cbb/schools/new-hampshire/2018.html,F,6-6,210,senior,31,31,10,35.8,.451,.330,3.7,.769,6.4,2.6,4.3,2.0,0.5,0.3,1.6,2.1,18.7,22.5,.552,.495,.266,7.9,14.1,13.6,26.6,.182,2.8,32,5,3,2,15,4.73128054639977,1.2181424250644648,0.7565186709392628,0.5320136291119562,3.392162111061487,undrafted
15,Matt Miller,2015,https://www.sports-reference.com//cbb/schools/new-hampshire/2015.html,G,6-4,185,freshman,29,16,18,22.8,.474,.481,4.5,.742,1.1,0.4,2.6,1.2,0.4,0.0,0.7,1.5,9.9,19.9,.634,.623,.621,2.4,13.0,12.2,20.3,.196,4.7,24,4,3,1,7,5.399387819265251,1.1467785619528201,0.6650793628271002,0.18246560765962697,1.9826836567538,undrafted
16,Ronnel Jordan,2016,https://www.sports-reference.com//cbb/schools/new-hampshire/2016.html,G,6-3,194,sophomore,33,29,20,25.9,.421,.322,3.6,.538,1.6,0.8,2.9,1.2,0.4,0.2,1.2,1.6,8.9,12.1,.497,.491,.435,3.3,12.7,10.1,19.6,.084,-2.0,25,4,2,2,11,6.326297382157522,1.1814296175526016,0.69762814746796,0.552147489645109,2.587672974570811,undrafted
17,Iba Camara,2018,https://www.sports-reference.com//cbb/schools/new-hampshire/2018.html,F,6-9,225,senior,31,30,10,26.1,.478,,0.0,.722,3.5,2.5,8.2,0.9,0.5,0.5,1.9,2.9,9.6,18.9,.530,.478,.000,10.4,36.8,7.4,21.5,.134,-1.5,20,4,3,3,20,4.936221745390599,0.9752397714729659,0.8362246062461756,0.7551419297238467,3.9217104297881633,undrafted
