,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Cortlan Henry,2014,https://www.sports-reference.com//cbb/schools/mississippi-valley-state/2014.html,G,6-2,194,sophomore,24,1,5,7.7,.370,.444,0.4,1.000,0.2,0.3,0.3,0.3,0.4,0.0,0.3,1.3,1.2,4.9,.484,.444,.333,4.5,4.5,5.7,9.4,.028,-10.8,5,1,3,0,4,1.6749792701868151,0.4330127018922193,0.6959705453537527,0.0,0.9921567416492215,undrafted
1,Marcus Johnson,2014,https://www.sports-reference.com//cbb/schools/mississippi-valley-state/2014.html,G,,175,sophomore,1,0,0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
2,Nate Brandt,2013,https://www.sports-reference.com//cbb/schools/mississippi-valley-state/2013.html,F,6-6,189,freshman,4,3,0,19.5,.130,.091,2.8,.000,0.3,0.5,1.3,1.3,0.0,0.0,1.5,2.0,1.8,-7.7,.149,.152,.478,2.6,8.4,13.1,18.2,-.164,-13.5,3,2,0,0,3,1.0897247358851685,0.82915619758885,0.0,0.0,0.82915619758885,undrafted
3,Montreal Holley,2013,https://www.sports-reference.com//cbb/schools/mississippi-valley-state/2013.html,C,7-0,263,freshman,9,2,0,9.9,.250,,0.0,.143,0.8,0.4,0.9,0.1,0.3,0.2,0.4,1.8,0.6,-0.2,.221,.250,.000,4.6,11.8,2.2,8.3,-.038,-9.4,3,1,2,1,2,1.0657403385139377,0.31426968052735443,0.6666666666666666,0.41573970964154905,0.816496580927726,undrafted
4,Arthur Framery,2013,https://www.sports-reference.com//cbb/schools/mississippi-valley-state/2013.html,G,6-3,185,freshman,3,0,0,3.3,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-1.7,,,,0.0,0.0,0.0,0.0,-.011,-10.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
5,Marshall Henderson,2014,https://www.sports-reference.com//cbb/schools/mississippi/2014.html,G,6-2,177,junior,30,22,17,31.1,.353,.342,12.6,.817,4.0,0.3,1.6,2.0,1.5,0.1,1.8,1.7,19.0,19.5,.525,.486,.774,1.0,5.6,14.8,31.2,.131,6.5,39,7,4,1,6,5.9860021902954745,1.6428295373802142,1.3354150416006754,0.24944382578492943,1.398809017223819,undrafted
6,Derrick Millinghaus,2014,https://www.sports-reference.com//cbb/schools/mississippi/2014.html,G,5-10,172,sophomore,30,9,18,18.0,.345,.257,2.5,.618,2.3,0.1,1.6,2.3,1.0,0.0,1.1,1.2,6.6,12.9,.430,.393,.376,0.8,9.5,25.1,23.5,.063,-0.2,21,6,3,1,7,6.3334210520241125,1.3888444437333105,0.9122621455602672,0.1795054935711501,1.676305461424021,undrafted
7,Anthony Perez,2016,https://www.sports-reference.com//cbb/schools/mississippi/2016.html,F,6-9,213,senior,31,21,19,23.3,.424,.395,2.5,.687,2.2,1.5,2.6,1.0,0.6,0.3,1.2,2.8,7.0,12.6,.549,.515,.461,6.7,12.2,8.3,15.6,.103,1.3,19,4,4,2,10,4.366174016951905,1.0776318121606494,1.0679319585320548,0.5661267346704595,2.4221489242055654,undrafted
8,Martavious Newby,2016,https://www.sports-reference.com//cbb/schools/mississippi/2016.html,G,6-3,210,senior,30,22,20,27.8,.336,.222,1.2,.705,2.9,2.3,3.1,2.4,1.4,0.2,1.6,2.5,4.9,11.6,.472,.372,.319,8.7,12.4,14.9,11.8,.085,2.0,12,6,4,2,12,3.041198594121878,1.7792008193443356,1.0482790129010924,0.47609522856952335,2.883092475489162,undrafted
9,Terry Brutus,2017,https://www.sports-reference.com//cbb/schools/samford/2017.html,F,6-6,237,senior,29,3,16,10.5,.406,.000,0.2,.686,1.2,0.4,1.7,0.4,0.3,0.1,0.9,1.6,2.6,7.0,.471,.406,.078,4.9,17.8,7.1,17.8,.028,-6.0,8,5,2,1,5,2.310602147275994,1.0344827586206895,0.6578891044254799,0.3045434781492361,1.7165349606418816,undrafted
10,Cade Peeper,2014,https://www.sports-reference.com//cbb/schools/mississippi/2014.html,G,6-2,185,sophomore,3,0,3,0.7,,,0.0,,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.8,,,,0.0,54.9,0.0,0.0,.105,-3.5,0,0,0,0,1,0.0,0.0,0.0,0.0,0.4714045207910317,undrafted
11,Nelson Kirksey,2014,https://www.sports-reference.com//cbb/schools/missouri-kansas-city/2014.html,G,6-3,195,sophomore,30,28,10,29.4,.462,.352,2.9,.728,4.5,1.3,3.7,2.2,1.3,0.1,2.8,3.5,13.1,16.3,.562,.516,.308,4.8,15.2,16.6,24.3,.086,-0.9,25,6,6,1,9,5.024827249656339,1.605891929392787,1.2736648783028535,0.24944382578492943,1.8882678717691395,undrafted
12,Alton Tanner,2013,https://www.sports-reference.com//cbb/schools/missouri-kansas-city/2013.html,F,6-7,210,freshman,16,3,4,13.0,.300,.263,1.2,.750,1.3,0.7,1.0,0.4,0.4,0.0,0.8,1.6,2.8,6.7,.444,.363,.475,6.5,11.1,5.9,15.8,.009,-6.6,10,2,2,0,5,3.191786333700926,0.6959705453537527,0.5994789404140899,0.0,1.6851835953390955,undrafted
13,Mason Wedel,2015,https://www.sports-reference.com//cbb/schools/missouri-kansas-city/2015.html,G,6-1,180,sophomore,7,0,3,7.9,.222,.250,1.1,1.000,0.3,0.6,0.1,0.6,0.6,0.0,0.4,0.9,1.1,8.6,.402,.333,.889,8.4,2.3,14.5,12.4,.056,-8.2,5,2,3,0,3,1.8844151368961317,0.7284313590846836,1.049781318335648,0.0,1.0301575072754254,undrafted
14,John Burke,2014,https://www.sports-reference.com//cbb/schools/missouri-kansas-city/2014.html,G,6-3,205,sophomore,29,3,9,8.5,.508,.300,0.7,.815,0.9,0.2,0.5,0.3,0.3,0.0,0.7,1.2,3.1,11.7,.610,.557,.328,3.1,6.8,7.6,18.8,.065,-3.8,12,2,4,0,3,3.555906476274969,0.5319740903635005,0.841831421774738,0.0,0.9430892642191272,undrafted
15,Aaron Washington,2014,https://www.sports-reference.com//cbb/schools/missouri-kansas-city/2014.html,G,6-0,165,sophomore,7,2,1,20.9,.333,.000,0.3,.500,0.6,0.4,1.3,1.9,1.0,0.0,0.6,2.4,2.6,5.8,.347,.333,.083,2.2,7.4,16.1,10.1,.020,-5.8,6,4,2,0,5,2.060315014550851,1.2453996981544782,0.9258200997725514,0.0,1.8294640678379568,undrafted
16,Caleb Johnson,2014,https://www.sports-reference.com//cbb/schools/missouri-kansas-city/2014.html,F,6-9,215,sophomore,30,4,10,15.8,.442,.531,1.1,.697,1.1,0.4,1.4,0.5,0.4,0.5,0.7,1.8,3.9,9.7,.570,.541,.372,2.5,10.3,5.6,12.6,.062,-2.2,15,2,2,2,7,3.5377331097124265,0.6182412330330469,0.5587684871413403,0.6699917080747261,1.6918103387266026,undrafted
17,Trevor Franklin,2013,https://www.sports-reference.com//cbb/schools/missouri-kansas-city/2013.html,F,6-7,180,freshman,11,0,3,7.8,.278,.000,0.5,.727,1.0,0.1,0.3,0.1,0.0,0.1,0.4,0.2,1.6,3.3,.388,.278,.333,1.4,5.0,2.4,16.9,-.047,-10.1,8,1,0,1,1,2.6721706284907394,0.28747978728803447,0.0,0.2874797872880344,0.4810456929208347,undrafted
18,Marcus Marshall,2017,https://www.sports-reference.com//cbb/schools/nevada/2017.html,G,6-3,190,senior,35,35,28,35.4,.421,.380,8.7,.828,5.7,0.3,2.1,3.7,0.9,0.1,1.7,2.1,19.7,20.9,.593,.539,.622,1.1,6.5,20.7,25.3,.184,5.3,32,10,4,1,6,7.049909537703014,2.3657418907982235,1.1745602737768264,0.2321153829895989,1.4014569678206539,undrafted
19,Gavin Thurman,2015,https://www.sports-reference.com//cbb/schools/missouri-state/2015.html,F,6-7,222,junior,26,1,7,17.5,.361,.227,2.5,.667,0.7,0.3,2.0,0.8,0.3,0.2,1.0,1.1,6.0,9.5,.416,.403,.367,2.5,14.9,11.7,26.4,.009,-3.7,19,3,3,1,9,5.117697568474212,0.9326427425370878,0.7102378966392072,0.36080121229411,2.2201337984095093,undrafted
20,Dorrian Williams,2016,https://www.sports-reference.com//cbb/schools/missouri-state/2016.html,G,6-3,190,senior,20,17,8,30.3,.371,.194,1.8,.743,1.8,0.2,4.2,3.9,1.4,0.1,1.6,2.2,7.3,11.2,.433,.394,.238,0.7,15.9,25.9,16.6,.052,-2.3,19,8,3,1,8,4.948484616526558,1.82414363469547,0.9630680142129111,0.21794494717703367,2.0316249653910043,undrafted
21,Drew Wilson,2015,https://www.sports-reference.com//cbb/schools/oral-roberts/2015.html,F,6-7,220,junior,6,0,2,12.5,.500,,0.0,.000,0.3,1.3,1.8,0.0,0.8,0.8,0.3,3.3,1.3,11.1,.447,.500,.000,12.3,17.6,0.0,7.6,.103,-2.3,8,0,2,3,8,2.98142396999972,0.0,0.6871842709362768,1.0671873729054748,2.3392781412697,undrafted
22,Bruce Marshall,2014,https://www.sports-reference.com//cbb/schools/missouri-state/2014.html,C,6-10,236,sophomore,15,0,7,4.2,.400,.300,0.7,.889,0.6,0.1,0.4,0.0,0.0,0.2,0.1,0.6,1.5,14.2,.597,.500,.667,3.8,11.6,0.0,18.3,.127,-0.5,5,0,0,1,2,1.746106780494506,0.0,0.0,0.4000000000000001,0.618241233033047,undrafted
23,Michael Simpson,2014,https://www.sports-reference.com//cbb/schools/missouri-state/2014.html,G,6-6,190,sophomore,12,0,6,3.6,.200,.222,0.8,,0.0,0.1,0.2,0.3,0.1,0.1,0.0,0.2,0.7,4.1,.267,.267,.600,2.8,5.7,14.0,18.9,-.018,-5.9,3,1,1,1,1,1.1785113019775793,0.4330127018922193,0.2763853991962833,0.2763853991962833,0.4330127018922193,undrafted
24,Ryan Carmichael,2013,https://www.sports-reference.com//cbb/schools/missouri-state/2013.html,G,6-4,195,freshman,8,0,3,1.9,.250,.333,0.4,1.000,0.3,0.3,0.3,0.1,0.3,0.0,0.0,0.0,0.6,32.5,.505,.375,.750,15.8,19.3,14.6,18.8,.265,32.0,3,1,1,0,2,1.1110243021644486,0.33071891388307384,0.4330127018922193,0.0,0.7071067811865476,undrafted
25,Negus Webster-Chan,2015,https://www.sports-reference.com//cbb/schools/hawaii/2015.html,G,6-7,205,junior,32,25,21,26.0,.377,.410,4.9,.613,1.0,1.3,3.0,1.5,0.9,0.2,1.7,1.4,8.3,12.8,.516,.508,.639,5.3,13.3,10.9,18.3,.094,2.0,20,6,3,2,9,4.934631286884563,1.299038105676658,0.8569568250501305,0.46351240544347894,2.03100960115899,undrafted
26,Stefan Jankovic,2016,https://www.sports-reference.com//cbb/schools/hawaii/2016.html,F,6-11,235,senior,33,33,27,24.8,.543,.393,2.5,.772,5.5,1.7,4.9,1.2,0.6,1.2,1.8,3.0,15.6,28.0,.641,.595,.265,8.2,21.9,10.8,27.4,.253,7.9,34,3,3,3,14,7.264768372366199,0.9986216395929746,0.7360580485752194,1.0942709142586537,3.3388384292943805,undrafted (NBA)
