,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Alan Griffin,2021,https://www.sports-reference.com//cbb/schools/syracuse/2021.html,G,6-5,190,junior,28,27,18,29.3,.431,.361,5.5,.897,2.1,1.6,4.2,1.8,1.2,1.6,2.1,1.9,13.3,21.3,.558,.523,.507,6.2,15.3,12.2,24.2,.143,7.2,28,5,4,7,13,8.180364744125947,1.4725377234348787,1.103681224311603,1.5169114701139501,3.262925631005001,undrafted
1,Tevian Jones,2022,https://www.sports-reference.com//cbb/schools/southern-utah/2022.html,G,6-7,190,senior,15,15,10,28.1,.356,.276,7.0,.800,3.3,0.8,3.6,0.8,0.5,0.1,1.9,1.9,13.8,12.5,.475,.430,.541,3.1,13.7,5.5,28.0,.084,-4.3,24,2,2,1,9,5.3065996645686395,0.6531972647421809,0.7180219742846006,0.339934634239519,2.524546163834865,undrafted
2,Samba Kane,2022,https://www.sports-reference.com//cbb/schools/milwaukee/2022.html,C,7-0,220,senior,3,0,0,8.3,.333,,0.0,,0.0,1.0,2.7,0.7,0.0,0.0,0.7,1.3,0.7,6.8,.333,.333,.000,14.1,32.4,14.2,10.4,.046,-6.6,2,1,0,0,5,0.9428090415820634,0.4714045207910317,0.0,0.0,1.8856180831641267,undrafted
3,Zach Griffith,2021,https://www.sports-reference.com//cbb/schools/illinois/2021.html,F,6-6,220,junior,7,1,7,3.1,1.000,,0.0,,0.0,0.1,0.7,0.0,0.0,0.0,0.1,0.1,0.6,11.2,1.000,1.000,.000,5.7,24.3,0.0,6.7,.110,5.4,2,0,0,0,2,0.9035079029052513,0.0,0.0,0.0,0.6388765649999398,undrafted
4,Antoine Smith Jr,2022,https://www.sports-reference.com//cbb/schools/evansville/2022.html,F,6-7,215,sophomore,16,9,4,21.1,.500,.455,2.8,.833,0.4,0.3,1.5,0.7,0.1,0.1,0.8,2.0,5.8,10.8,.656,.647,.647,1.8,9.9,7.9,14.4,.078,-3.5,24,2,1,2,4,6.502103025175778,0.6817945071647321,0.33071891388307384,0.4841229182759271,1.184205957593526,undrafted
5,Dwight Murray Jr,2022,https://www.sports-reference.com//cbb/schools/rider/2022.html,G,6-0,180,senior,15,15,5,36.1,.369,.300,4.0,.829,2.3,0.7,5.2,4.1,1.3,0.1,2.6,1.3,11.9,12.5,.458,.419,.335,1.9,15.6,24.0,21.2,.066,-2.5,30,11,3,1,13,6.495810615739621,2.462158041682585,0.7888106377466154,0.24944382578492943,2.8487814158961995,undrafted
6,Morgan Taylor,2020,https://www.sports-reference.com//cbb/schools/incarnate-word/2020.html,G,6-3,174,sophomore,9,4,2,18.1,.394,.000,0.8,.688,1.8,0.1,1.4,1.2,0.7,0.1,1.9,2.2,7.4,7.3,.426,.394,.099,0.7,9.7,16.7,29.8,-.034,-12.2,16,3,2,1,6,3.6851386559504444,1.1331154474650633,0.6666666666666666,0.31426968052735443,1.7069212773041353,undrafted
7,Jordan Caruso,2021,https://www.sports-reference.com//cbb/schools/california-baptist/2021.html,G,6-3,185,junior,4,0,3,13.3,.400,.250,1.0,.667,1.5,1.3,2.8,1.5,0.8,0.0,0.5,1.5,3.3,17.9,.506,.450,.400,11.5,22.7,18.6,13.9,.172,10.2,7,3,1,0,8,3.2691742076555053,1.5,0.4330127018922193,0.0,2.8284271247461903,undrafted
8,Bryce Davis,2020,https://www.sports-reference.com//cbb/schools/incarnate-word/2020.html,F,6-7,215,sophomore,18,2,4,7.7,.429,,0.0,.667,1.3,0.4,0.9,0.2,0.3,0.2,0.9,1.6,2.9,8.8,.487,.429,.000,5.9,14.9,6.5,25.9,.006,-14.4,14,3,2,1,4,3.8999841721742765,0.7114582486036499,0.6666666666666667,0.372677996249965,1.1055415967851334,undrafted
9,Romello Wilbert,2019,https://www.sports-reference.com//cbb/schools/incarnate-word/2019.html,G,6-2,185,freshman,17,3,3,15.3,.313,.105,1.1,.333,0.9,0.9,2.0,0.8,0.6,0.2,2.1,2.1,2.2,0.4,.336,.333,.396,8.9,17.4,10.6,19.0,-.105,-13.6,8,4,3,2,7,2.6840551874234904,0.9843059135695006,0.9112901991076274,0.6443794794178425,2.436742962024468,undrafted
10,Cooper Neese,2022,https://www.sports-reference.com//cbb/schools/indiana-state/2022.html,G,6-4,185,senior,14,14,7,33.4,.414,.304,8.0,.789,2.7,0.2,3.8,1.8,0.9,0.0,2.2,1.1,15.3,14.3,.538,.508,.619,0.8,12.8,10.5,25.2,.093,-2.1,30,4,2,0,8,6.922309394048981,1.2058530725810095,0.832993127835043,0.0,1.8516401995451028,undrafted
