,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,David Basil,2013,https://www.sports-reference.com//cbb/schools/alabama-am/2013.html,F,6-6,215,freshman,3,0,2,2.0,.500,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.7,-5.9,.500,.500,.000,0.0,0.0,0.0,25.1,-.122,-27.9,2,0,0,0,0,0.9428090415820634,0.0,0.0,0.0,0.0,undrafted
1,Rod Rucker,2014,https://www.sports-reference.com//cbb/schools/alabama-birmingham/2014.html,F,6-5,220,sophomore,30,29,18,30.6,.376,.125,0.3,.697,4.7,2.1,5.0,2.1,0.4,0.4,2.0,2.2,10.9,13.0,.443,.378,.026,6.7,16.5,13.4,21.9,.087,-1.6,21,7,3,2,20,5.10511725842044,1.7953644012660308,0.8439325934114774,0.6110100926607787,3.758841429069453,undrafted
2,Isiah Jones,2016,https://www.sports-reference.com//cbb/schools/southeast-missouri-state/2016.html,G,6-4,193,senior,29,29,5,29.8,.361,.324,5.9,.692,2.2,0.3,2.7,3.0,1.7,0.1,2.4,2.8,10.4,11.6,.486,.459,.607,1.2,10.7,20.6,21.3,.039,-4.1,21,8,4,1,8,6.283625361312667,1.9205379745716302,1.0538418475818017,0.2533954906327425,2.0832837885507884,undrafted
3,Josh Freelove,2014,https://www.sports-reference.com//cbb/schools/buffalo/2014.html,G,6-2,180,junior,29,29,19,29.9,.455,.411,6.0,.756,1.6,0.5,1.6,1.1,0.6,0.3,1.1,1.9,13.5,15.8,.584,.570,.557,2.0,6.0,8.0,21.3,.134,2.4,26,4,2,5,4,4.868056963194705,1.2413793103448276,0.6704214515594339,0.9862310100741443,1.0076992549105144,undrafted
4,Jamel Waters,2016,https://www.sports-reference.com//cbb/schools/alabama-state/2016.html,G,5-9,160,senior,31,31,14,34.1,.410,.413,5.9,.731,4.3,1.0,3.3,4.3,1.7,0.1,2.6,2.1,15.9,20.0,.544,.508,.472,3.1,11.2,26.7,24.7,.132,1.8,29,9,5,1,8,5.447316497499792,1.9900899116370556,1.2943485579186376,0.24567010018915833,1.673071287727734,undrafted
5,Denaell McDaniel,2013,https://www.sports-reference.com//cbb/schools/alabama-state/2013.html,G,6-3,185,freshman,26,11,10,26.9,.370,.351,2.2,.578,2.5,0.5,2.7,3.3,0.6,0.2,2.3,2.1,6.1,9.2,.472,.442,.413,2.0,12.8,24.5,16.5,.028,-6.6,16,8,2,1,7,4.209210807420053,1.7879445075645322,0.7378202343558029,0.42132504423474315,1.5268794800984007,undrafted
6,Bobby Brown,2016,https://www.sports-reference.com//cbb/schools/alabama-state/2016.html,G,6-6,195,senior,31,18,14,25.5,.352,.265,3.8,.681,1.5,1.5,4.2,0.6,0.6,0.5,1.4,1.7,8.8,11.1,.426,.404,.393,6.2,19.2,4.6,22.3,.039,-5.6,18,4,3,2,11,4.92799347270403,0.9426863997549972,0.7940989435542691,0.6137515351754984,2.4324377447108203,undrafted
7,Dominique Miller,2015,https://www.sports-reference.com//cbb/schools/jacksonville-state/2015.html,G,6-5,215,sophomore,1,0,0,1.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,-.005,-9.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
8,Kimani Key,2013,https://www.sports-reference.com//cbb/schools/alabama-state/2013.html,G,6-0,170,freshman,3,0,0,13.3,.235,.333,3.0,,0.0,0.0,0.7,0.0,0.7,0.0,1.0,2.0,3.7,-2.1,.324,.324,.529,0.0,6.3,0.0,25.3,-.086,-10.8,8,0,1,0,2,3.299831645537222,0.0,0.4714045207910317,0.0,0.9428090415820634,undrafted
9,Timothy Coleman,2013,https://www.sports-reference.com//cbb/schools/alabama-state/2013.html,F,6-10,215,freshman,7,1,1,6.9,.429,,0.0,1.000,0.4,0.0,0.6,0.0,0.3,0.1,0.3,2.4,1.3,2.7,.534,.429,.000,0.0,10.5,0.0,11.0,.050,-11.1,3,0,1,1,1,1.1605769149479943,0.0,0.45175395145262565,0.34992710611188266,0.4948716593053935,undrafted
