,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Da'Quan Cook,2012,https://www.sports-reference.com//cbb/schools/st-bonaventure/2012.html,F,6-1,170,senior,31,30,19,26.8,.415,,0.0,.752,3.6,1.8,2.8,0.9,0.5,0.3,2.0,2.9,7.6,10.9,.501,.415,.000,8.8,13.6,6.9,18.8,.075,-2.2,18,3,3,2,9,4.974440393858383,0.8775142263700284,0.7551419297238467,0.5059479723018749,2.2654257891715406,undrafted
1,Matthew Wright,2014,https://www.sports-reference.com//cbb/schools/st-bonaventure/2014.html,G,6-4,200,senior,32,31,17,34.9,.409,.362,5.9,.861,4.5,0.9,2.3,3.2,1.1,0.1,2.8,2.1,16.3,16.6,.554,.494,.469,2.9,7.8,18.0,24.8,.121,2.9,32,7,3,1,10,6.855654600401044,1.60291482540402,0.9473441494515074,0.24206145913796356,1.8157298807917437,undrafted
2,Marquise Simmons,2014,https://www.sports-reference.com//cbb/schools/st-bonaventure/2014.html,F,6-8,235,senior,33,33,18,22.4,.595,,0.0,.550,2.4,2.2,3.0,0.6,0.6,0.1,1.1,2.1,8.0,17.5,.592,.595,.000,11.4,16.2,5.4,17.4,.130,2.4,19,3,4,1,11,4.170604200105711,0.7360580485752194,0.9544251968499166,0.28747978728803447,2.3964313842142477,undrafted
3,Brett Roseboro,2014,https://www.sports-reference.com//cbb/schools/maryland-baltimore-county/2014.html,F,6-10,240,senior,29,20,9,16.7,.461,.364,0.4,.745,1.9,1.5,3.0,0.3,0.5,0.8,1.7,2.8,6.0,13.5,.524,.475,.078,9.6,22.2,5.0,22.5,.061,-6.1,20,2,2,3,12,4.831525486382619,0.5430350257939179,0.6226024167333719,0.8572277858383485,2.761636282782886,undrafted
4,Sam de Haas,2011,https://www.sports-reference.com//cbb/schools/st-bonaventure/2011.html,G,6-4,205,freshman,22,1,11,5.9,.258,.167,1.1,.000,0.1,0.2,0.2,0.5,0.0,0.0,0.3,0.8,0.9,0.2,.313,.323,.774,4.0,4.5,15.1,16.0,-.035,-7.1,6,2,0,1,2,1.703181272290472,0.6555547773570889,0.0,0.2082988952252655,0.6508100483307434,undrafted
5,Jake Houseknecht,2012,https://www.sports-reference.com//cbb/schools/st-bonaventure/2012.html,F,6-9,210,junior,18,0,11,5.4,.400,,0.0,.833,0.3,0.3,0.6,0.1,0.3,0.5,0.5,0.6,0.9,10.1,.476,.400,.000,6.6,13.4,1.9,14.5,.042,1.3,8,1,2,3,3,1.9571016615342816,0.2290614236454256,0.6666666666666666,0.7637626158259734,1.0137937550497031,undrafted
6,Ricky Cadell,2011,https://www.sports-reference.com//cbb/schools/st-francis-ny/2011.html,G,6-2,180,senior,30,28,15,31.3,.387,.323,6.7,.783,4.8,0.8,2.9,1.8,1.1,0.0,2.5,2.3,16.2,17.5,.520,.469,.505,2.6,11.5,14.5,28.7,.125,0.7,28,6,4,0,7,6.044740597320028,1.4000000000000001,1.1357816691600546,0.0,1.7156145643277028,undrafted
7,Akeem Bennett,2011,https://www.sports-reference.com//cbb/schools/st-francis-ny/2011.html,G,6-3,180,sophomore,29,29,15,32.8,.394,.300,4.5,.688,5.3,1.8,4.0,2.8,2.6,0.6,3.6,3.3,14.0,18.3,.502,.453,.394,5.9,14.9,19.9,26.7,.115,2.3,28,8,5,2,11,6.133473778743195,1.9766773307540018,1.1865276230403625,0.6650793628271003,2.5512581121508844,undrafted
8,Stefan Perunicic,2012,https://www.sports-reference.com//cbb/schools/st-francis-ny/2012.html,G,6-6,195,senior,29,27,15,29.3,.424,.424,5.9,.682,2.3,0.3,2.1,1.2,0.9,0.2,2.3,2.8,11.6,12.2,.583,.566,.669,1.1,9.5,8.9,20.6,.094,-0.9,21,4,4,1,6,5.555470999488642,1.0053365335940172,1.1056013477159585,0.4050806939472666,1.5428867118066962,undrafted
9,Akeem Johnson,2013,https://www.sports-reference.com//cbb/schools/st-francis-ny/2013.html,F,6-6,200,senior,30,30,12,25.5,.474,,0.0,.681,4.0,2.5,3.3,1.6,0.6,0.7,2.0,2.1,10.0,18.8,.522,.474,.000,10.4,17.5,12.6,22.7,.100,-0.8,22,4,3,3,17,5.029800084385948,1.054619467970425,0.8359957469322966,0.8621678104251708,2.925747767665559,undrafted
