,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Zachary Simmons,2021,https://www.sports-reference.com//cbb/schools/north-texas/2021.html,F,6-10,239,senior,28,28,18,27.4,.642,.200,0.2,.680,1.8,2.0,4.0,1.9,0.6,0.7,2.6,2.5,10.0,19.5,.653,.645,.026,9.9,17.4,14.8,20.4,.161,3.0,17,6,3,3,12,3.923210628127562,1.5336364681131347,0.8112726208286104,0.8041664463712643,2.1547290184283368,undrafted
1,Jorden Duffy,2019,https://www.sports-reference.com//cbb/schools/north-texas/2019.html,G,6-1,170,sophomore,25,25,18,28.3,.395,.302,5.0,.738,2.4,0.6,3.8,2.2,0.6,0.0,1.9,2.0,10.3,12.8,.516,.482,.573,2.2,15.0,15.1,21.3,.123,-0.7,23,5,4,0,8,5.889108591289517,1.7130090484291087,0.932952303175248,0.0,2.0341091416145796,undrafted
2,Tope Arikawe,2019,https://www.sports-reference.com//cbb/schools/north-texas/2019.html,F,6-8,220,sophomore,30,0,19,7.0,.379,.000,0.1,.480,0.8,1.0,0.8,0.1,0.2,0.4,0.4,1.1,2.1,12.1,.398,.379,.030,16.1,13.4,1.9,21.9,.086,-4.9,8,1,1,1,5,2.2201101073795617,0.24944382578492943,0.4000000000000001,0.4898979485566357,1.6141733350404337,undrafted
3,Michael Miller,2019,https://www.sports-reference.com//cbb/schools/north-texas/2019.html,G,6-3,170,sophomore,33,24,21,26.2,.487,.368,2.9,.758,2.0,2.1,3.6,1.5,0.6,0.5,1.8,2.4,10.4,18.5,.579,.553,.358,9.1,15.6,12.1,21.1,.168,2.4,35,6,2,2,13,6.68757053291332,1.5199922671496304,0.7713892158398701,0.6569540420811757,2.854925021409425,undrafted
4,Umoja Gibson,2022,https://www.sports-reference.com//cbb/schools/oklahoma/2022.html,G,6-1,176,senior,18,18,12,30.3,.399,.375,6.7,.930,2.4,0.1,1.9,1.7,1.5,0.0,1.0,1.4,12.4,16.8,.576,.529,.694,0.5,7.6,10.2,20.7,.178,6.1,20,5,4,0,8,4.111486469350753,1.2909944487358056,1.2133516482134197,0.0,1.9852853761339597,undrafted
5,Tomas Murphy,2021,https://www.sports-reference.com//cbb/schools/vermont/2021.html,F,6-8,230,senior,11,0,8,9.5,.481,.526,1.7,.929,1.3,0.5,1.7,0.3,0.3,0.1,1.1,1.7,6.6,24.6,.622,.577,.365,6.1,21.3,7.3,36.0,.195,1.5,17,1,2,1,5,4.810456929208346,0.4453617714151233,0.616575453011388,0.2874797872880344,1.4024771473219555,undrafted
6,Derrick Cook,2020,https://www.sports-reference.com//cbb/schools/jacksonville-state/2020.html,G,6-5,200,junior,30,28,13,23.5,.466,.364,1.1,.650,1.3,0.1,2.8,3.1,0.8,0.1,1.6,0.9,5.4,12.1,.533,.511,.248,0.5,14.4,23.4,14.0,.090,-2.1,13,7,3,1,8,4.095526014242045,2.0286832072937253,0.8034647195462633,0.24944382578492943,2.031966753883756,undrafted
7,Myles Franklin,2020,https://www.sports-reference.com//cbb/schools/northeastern/2020.html,G,6-4,170,junior,29,0,13,12.5,.389,.366,1.4,.773,0.8,0.3,0.7,1.0,0.3,0.1,1.0,1.1,3.0,8.3,.534,.493,.569,3.0,7.1,14.1,17.0,.047,-4.5,10,5,2,1,6,3.264044018261857,1.364576478442026,0.5932638115201812,0.2533954906327426,1.4015449264070055,undrafted
8,Jason Strong,2022,https://www.sports-reference.com//cbb/schools/northeastern/2022.html,F,6-8,217,senior,17,6,6,19.4,.371,.255,2.8,.762,1.2,0.8,1.8,0.8,0.2,0.2,0.7,1.5,5.5,10.1,.475,.438,.528,5.1,11.6,8.3,18.2,.053,-3.5,14,3,1,1,10,4.35373601646196,1.0017286097603764,0.42418250299576343,0.42418250299576343,2.767833024945551,undrafted
9,Carlos Hines,2021,https://www.sports-reference.com//cbb/schools/northern-kentucky/2021.html,G,6-4,185,senior,5,0,1,7.8,.333,.000,1.2,,0.0,0.2,0.4,0.4,0.4,0.0,1.2,0.4,1.6,-1.7,.333,.333,.500,3.0,6.2,9.4,23.6,-.134,-12.3,4,1,1,0,2,1.4966629547095767,0.48989794855663565,0.48989794855663565,0.0,0.7999999999999999,undrafted
10,Lenell Henry,2022,https://www.sports-reference.com//cbb/schools/alcorn-state/2022.html,F,6-8,200,senior,16,14,5,26.9,.396,.457,2.2,.667,1.9,1.6,3.8,0.8,0.9,1.1,2.1,2.8,8.9,12.6,.479,.455,.261,6.8,17.7,6.6,21.5,.036,-2.2,22,4,5,3,12,6.223694642252301,1.1301963325015703,1.2975337182516684,0.9270248108869579,3.838538133196022,undrafted
11,Ruben Fuamba,2018,https://www.sports-reference.com//cbb/schools/northern-arizona/2018.html,F,6-9,230,freshman,19,2,3,11.3,.478,,0.0,.556,0.5,1.1,2.1,0.1,0.1,0.6,0.7,2.2,1.4,6.8,.495,.478,.000,10.7,22.1,1.9,9.5,.020,-6.6,5,1,1,3,9,1.6956845993249487,0.3068922049918579,0.30689220499185793,0.8775437895017403,2.20676371507754,undrafted
12,Jalen Sanders,2019,https://www.sports-reference.com//cbb/schools/northern-colorado/2019.html,G,6-5,190,sophomore,17,8,11,25.2,.477,.406,1.9,.630,1.6,1.1,2.8,1.6,1.1,0.8,1.6,1.6,6.7,14.3,.565,.551,.364,5.3,13.1,11.3,15.4,.110,1.1,11,4,6,3,8,3.510734896794535,1.2860712417103204,1.7783784068036441,0.9843059135695007,1.8111534492165473,undrafted
13,Matej Drgon,2019,https://www.sports-reference.com//cbb/schools/northern-colorado/2019.html,F,6-9,230,sophomore,24,0,16,8.9,.484,.463,2.3,.556,0.4,0.2,1.3,0.3,0.1,0.2,0.6,0.8,4.9,19.8,.619,.621,.593,2.8,17.8,6.2,26.1,.142,-0.3,14,2,1,1,6,4.34853104188325,0.5204164998665332,0.2763853991962833,0.372677996249965,1.6577888553398135,undrafted
14,Johnatan Reyes,2019,https://www.sports-reference.com//cbb/schools/northern-colorado/2019.html,G,5-11,175,sophomore,9,0,7,7.7,.438,.333,1.0,.400,0.6,0.1,0.8,1.0,0.1,0.0,0.7,0.4,2.1,9.9,.517,.531,.563,1.7,12.1,23.5,18.0,.068,-16.2,9,3,1,0,3,3.4783279649996732,1.1547005383792515,0.31426968052735443,0.0,0.8748897637790901,undrafted
15,Dante Thorpe,2019,https://www.sports-reference.com//cbb/schools/northern-illinois/2019.html,G,6-4,195,sophomore,33,33,16,32.2,.530,.400,2.1,.800,3.3,0.5,2.3,2.5,1.1,0.0,1.9,2.4,13.8,18.8,.611,.574,.219,1.9,8.4,14.7,21.1,.145,2.3,24,7,5,0,7,5.051434257955122,1.7601861492675885,1.224932298873196,0.0,1.565819476698644,undrafted
16,Gairges Daow,2020,https://www.sports-reference.com//cbb/schools/northern-illinois/2020.html,G,6-4,190,junior,30,15,18,13.2,.467,.267,0.5,.765,0.6,0.7,1.3,0.5,0.3,0.0,0.7,1.4,2.9,9.6,.524,.493,.200,6.0,10.9,7.9,13.7,.079,-3.0,9,4,3,1,7,2.8325489110222497,0.9213516640723501,0.6289320754704403,0.1795054935711501,1.879716290649558,undrafted
17,Anastasios Demogerontas,2019,https://www.sports-reference.com//cbb/schools/northern-illinois/2019.html,F,6-7,215,sophomore,7,3,3,14.6,.400,.200,1.4,.667,1.7,0.6,1.3,0.7,0.4,0.1,1.1,1.3,3.7,9.0,.506,.450,.500,4.7,10.3,8.1,17.1,.049,-6.2,10,3,2,1,4,2.813959371941744,1.0301575072754257,0.7284313590846835,0.34992710611188266,0.9897433186107869,undrafted
18,Owen Hamilton,2018,https://www.sports-reference.com//cbb/schools/northern-illinois/2018.html,C,7-0,266,freshman,27,0,12,6.8,.647,.000,0.0,.500,0.4,0.4,0.9,0.1,0.3,0.1,0.4,1.1,1.9,13.4,.630,.647,.029,6.9,15.2,3.0,13.7,.089,-5.2,8,1,2,1,8,2.25591738264312,0.3142696805273545,0.5832598425193933,0.3142696805273545,2.0694392658813325,undrafted
19,Rod Henry-Hayes,2020,https://www.sports-reference.com//cbb/schools/northern-illinois/2020.html,G,6-4,185,junior,11,2,6,10.1,.275,.308,2.4,.833,0.5,0.3,0.7,0.5,0.5,0.0,0.5,0.8,3.2,8.3,.408,.375,.650,2.9,8.1,8.9,22.6,.053,-3.5,8,3,2,0,4,3.1281182789245916,0.8907235428302466,0.7820295697311479,0.0,1.2792042981336627,undrafted
20,Brandon Danowski,2018,https://www.sports-reference.com//cbb/schools/northern-illinois/2018.html,G,5-11,180,freshman,9,0,5,1.8,1.000,1.000,0.1,.667,0.3,0.0,0.2,0.1,0.1,0.0,0.3,0.1,0.8,18.4,1.022,1.250,.500,0.0,14.5,11.7,20.4,.092,-3.3,4,1,1,0,1,1.4740554623801778,0.31426968052735443,0.31426968052735443,0.0,0.41573970964154905,undrafted
21,Caleb Oehlberg,2019,https://www.sports-reference.com//cbb/schools/northern-illinois/2019.html,G,6-0,180,sophomore,5,0,4,1.2,.500,.500,0.4,.500,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,23.3,.678,.750,1.000,0.0,0.0,0.0,25.4,.227,-22.0,3,0,0,0,0,1.1661903789690604,0.0,0.0,0.0,0.0,undrafted
22,Brennen Woods,2018,https://www.sports-reference.com//cbb/schools/northern-illinois/2018.html,F,6-4,200,freshman,3,0,3,1.7,,,0.0,,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,-1.1,,,,0.0,23.3,30.3,10.1,-.112,-4.0,0,1,0,0,1,0.0,0.4714045207910317,0.0,0.0,0.4714045207910317,undrafted
23,Tywhon Pickford,2022,https://www.sports-reference.com//cbb/schools/northern-iowa/2022.html,G,6-4,200,senior,16,15,9,20.4,.446,.273,1.4,.810,1.3,1.2,2.3,1.3,0.4,0.0,1.1,1.2,5.1,12.0,.540,.492,.338,7.4,13.5,11.1,14.9,.099,-0.1,13,4,2,0,9,3.9285612824544307,1.0307764064044151,0.7043392293490403,0.0,2.1203994317109216,undrafted
24,Austin Phyfe,2022,https://www.sports-reference.com//cbb/schools/northern-iowa/2022.html,F,6-9,250,senior,14,7,8,16.0,.522,.333,0.9,.733,2.1,0.7,2.3,1.8,0.1,0.4,2.0,0.9,6.9,17.1,.591,.552,.179,5.6,17.5,22.9,25.8,.108,2.9,20,5,1,2,9,6.749149606295838,1.3720980508784677,0.25753937681885636,0.6226998490772391,2.390457218668787,undrafted
25,Miles Wentzien,2019,https://www.sports-reference.com//cbb/schools/northern-iowa/2019.html,G,6-3,190,sophomore,14,6,6,14.6,.429,.286,1.0,.692,1.9,0.8,1.6,0.9,0.2,0.1,0.9,0.7,3.7,12.1,.549,.486,.400,6.4,13.3,11.9,15.8,.097,-2.4,11,4,1,1,10,3.126581232605613,1.1248582677159729,0.410325903324145,0.25753937681885636,2.552509769315091,undrafted
26,Tanner Lohaus,2018,https://www.sports-reference.com//cbb/schools/northern-iowa/2018.html,F,6-7,205,freshman,7,0,4,5.0,.250,.500,0.6,.500,0.6,0.4,1.0,0.3,0.1,0.1,0.0,0.3,1.1,16.0,.404,.375,.500,10.2,23.8,11.4,15.6,.148,2.2,3,1,1,1,5,1.2453996981544782,0.45175395145262565,0.3499271061118826,0.3499271061118826,1.5907898179514348,undrafted
27,Chris Vogt,2022,https://www.sports-reference.com//cbb/schools/wisconsin/2022.html,C,7-1,260,senior,17,0,15,13.4,.457,.000,0.1,.625,0.9,1.8,1.9,0.7,0.3,0.8,0.4,2.8,3.1,16.0,.485,.457,.022,14.4,16.0,9.7,13.5,.163,2.8,9,2,1,3,9,3.076869842499299,0.6655122646461624,0.4556450995538137,1.0588235294117647,2.324832099455236,undrafted
28,Darian Childress,2018,https://www.sports-reference.com//cbb/schools/northern-kentucky/2018.html,F,6-8,180,freshman,4,0,4,1.0,.000,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,-26.1,.000,.000,.000,0.0,0.0,0.0,24.9,-.375,-58.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
29,Larry Owens,2022,https://www.sports-reference.com//cbb/schools/northwestern-state/2022.html,C,6-7,300,senior,17,5,3,15.6,.598,1.000,0.1,.581,1.8,0.9,2.9,0.4,0.7,0.6,1.2,1.6,7.2,19.9,.605,.603,.011,5.9,20.6,5.4,21.8,.093,-0.6,21,1,3,2,9,5.7448638110587495,0.4921529567847503,0.8921029934178295,0.8442764761416073,2.5094975303178284,undrafted
30,C.J. Jones,2021,https://www.sports-reference.com//cbb/schools/northwestern-state/2021.html,G,5-10,161,senior,29,29,11,16.9,.383,.200,0.7,.625,0.8,0.1,1.0,2.5,0.4,0.0,1.1,1.1,2.8,7.0,.438,.407,.247,0.6,6.2,25.0,12.2,.009,-7.6,8,7,2,1,5,2.369043315492092,1.6530158364423286,0.6168463386206318,0.18246560765962697,1.2575574157800324,undrafted
31,Darian Dixon,2019,https://www.sports-reference.com//cbb/schools/northwestern-state/2019.html,F,6-8,220,sophomore,29,10,11,13.3,.421,.286,0.2,.720,1.7,1.1,1.2,0.6,0.2,0.1,0.5,1.7,3.5,12.0,.511,.434,.092,9.1,9.8,8.9,14.3,.090,-4.5,10,2,2,2,7,3.2655008556556457,0.7200211385455553,0.48275862068965514,0.433441554826777,1.7040205656008052,undrafted
32,Czar Perry,2021,https://www.sports-reference.com//cbb/schools/cal-state-bakersfield/2021.html,G,6-2,190,senior,26,26,15,28.1,.382,.000,0.2,.789,1.5,0.5,2.0,3.9,0.8,0.1,1.6,1.9,5.4,9.7,.432,.382,.035,2.1,9.1,23.9,14.0,.081,-2.4,14,11,3,1,8,4.000739576598721,2.3092943157350883,0.8177035240565114,0.2664693550105965,2.098534287031345,undrafted
33,Brandon Hutton,2019,https://www.sports-reference.com//cbb/schools/northwestern-state/2019.html,F,6-5,215,sophomore,27,2,10,11.1,.301,.214,0.5,.524,0.8,0.5,0.7,0.4,0.8,0.3,1.3,2.0,2.1,1.4,.350,.322,.192,4.6,7.4,6.6,19.2,-.057,-10.5,9,2,5,1,4,2.352362149363025,0.5543196128553987,1.1653431646335017,0.4714045207910316,1.133115447465063,undrafted
34,Vontay Ott,2019,https://www.sports-reference.com//cbb/schools/northwestern-state/2019.html,G,6-3,185,sophomore,31,2,11,12.3,.459,.318,1.4,.786,0.5,0.8,2.0,0.4,0.4,0.1,0.8,1.5,4.0,13.2,.540,.523,.404,7.0,17.7,7.0,17.8,.085,-6.3,14,3,2,1,8,3.578464898553135,0.7901579815429608,0.5982979674513357,0.3352356401746214,1.8614887801617432,undrafted
