,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Mitch Roelke,2014,https://www.sports-reference.com//cbb/schools/milwaukee/2014.html,G,6-0,170,senior,21,0,12,6.0,.368,.438,0.8,.750,0.4,0.0,0.3,0.4,0.1,0.0,0.4,0.4,1.3,6.7,.592,.553,.842,0.9,5.6,13.9,12.6,.051,-3.0,6,4,1,0,2,1.749635530559413,0.9547589359887344,0.2935435239509036,0.0,0.563436169819011,undrafted
1,Trevor Mbakwe,2013,https://www.sports-reference.com//cbb/schools/minnesota/2013.html,F,6-8,245,senior,34,22,21,24.9,.565,.000,0.0,.614,4.6,3.3,5.4,1.1,0.7,1.4,2.1,2.5,10.0,24.9,.586,.565,.005,15.7,27.2,9.6,21.7,.183,7.4,21,3,2,5,18,4.481893600055063,0.9812251363301341,0.6739081904346824,1.1679840971567519,3.8173026220039823,undrafted (NBA)
2,Blake Hoffarber,2011,https://www.sports-reference.com//cbb/schools/minnesota/2011.html,G,6-4,210,senior,31,31,17,35.1,.415,.389,6.5,.828,2.8,0.7,2.8,4.1,1.0,0.1,2.1,1.2,13.6,18.3,.573,.535,.619,2.5,8.6,24.0,20.4,.129,5.9,26,9,3,1,7,5.562248252204025,2.1088979520878905,1.0312495072997276,0.24567010018915833,1.499913282266151,undrafted
3,Ralph Sampson,2012,https://www.sports-reference.com//cbb/schools/minnesota/2012.html,F,6-11,241,senior,28,26,15,23.5,.473,.000,0.2,.860,1.8,1.1,3.5,1.9,0.3,1.3,1.6,2.8,7.9,16.8,.522,.473,.027,6.3,19.7,17.4,20.9,.111,3.6,22,6,2,5,10,4.7384392074235775,1.5286381827880495,0.6008072800450258,1.5365446260213538,2.5243710067246132,undrafted
4,Rodney Williams,2013,https://www.sports-reference.com//cbb/schools/minnesota/2013.html,F,6-7,200,senior,33,33,21,28.2,.468,.205,1.3,.632,3.5,2.2,2.8,1.7,0.8,1.3,1.6,2.5,10.1,18.7,.515,.485,.164,9.5,12.4,13.0,20.7,.136,5.4,23,4,4,4,11,5.457070122791979,1.2427937366309016,1.03740865264386,1.0917505172516258,2.052121570101456,undrafted (NBA)
5,Colton Iverson,2013,https://www.sports-reference.com//cbb/schools/colorado-state/2013.html,F,6-10,261,senior,35,35,26,29.5,.596,,0.0,.590,6.3,3.3,6.4,1.3,0.6,0.7,2.0,2.6,14.2,27.4,.602,.596,.000,13.3,28.2,9.9,23.8,.219,7.9,29,4,4,3,16,5.481397110747796,0.9493284414763514,0.9035079029052513,0.8131571126147261,3.381341359247111,53
6,Austin Hollins,2014,https://www.sports-reference.com//cbb/schools/minnesota/2014.html,G,6-4,190,senior,38,38,25,33.1,.445,.346,4.9,.771,2.9,1.6,3.4,2.4,2.0,0.5,1.6,1.8,12.4,20.2,.568,.533,.511,6.0,12.2,15.5,20.1,.150,8.2,32,8,5,2,14,6.191764703095892,1.8713838629011605,1.3472553406494951,0.6786208925382962,3.030431983321877,undrafted
7,Chip Armelin,2015,https://www.sports-reference.com//cbb/schools/southern-mississippi/2015.html,G,6-4,198,senior,29,29,9,35.2,.467,.361,5.8,.636,3.0,1.3,2.9,1.9,1.1,0.2,2.0,1.4,15.8,19.4,.563,.551,.464,4.6,10.2,15.1,25.3,.105,1.8,30,4,4,1,9,6.886544463606338,1.2298313448363454,1.0413564738304482,0.40508069394726653,2.4736422668222007,undrafted
8,Al Nolen,2011,https://www.sports-reference.com//cbb/schools/minnesota/2011.html,G,6-1,188,senior,14,13,11,29.1,.333,.303,2.4,.727,5.5,0.9,2.7,3.7,2.4,0.1,2.1,2.1,8.4,17.5,.515,.397,.423,3.7,10.1,23.4,18.0,.124,6.2,17,8,6,1,8,5.010193690500052,1.9430672155336348,1.6781914463529612,0.34992710611188266,2.2234832023247684,undrafted
9,Devoe Joseph,2012,https://www.sports-reference.com//cbb/schools/oregon/2012.html,G,6-4,180,senior,28,25,20,35.3,.473,.418,5.6,.795,3.1,0.6,3.1,3.3,1.4,0.1,1.9,1.5,16.7,21.8,.596,.567,.450,2.3,11.1,19.1,22.9,.169,7.3,33,8,5,1,8,6.2897714179289475,2.098043306103502,1.1406228159050935,0.3499271061118826,2.098043306103502,undrafted
10,Maverick Ahanmisi,2014,https://www.sports-reference.com//cbb/schools/minnesota/2014.html,G,6-2,190,senior,28,0,21,9.6,.394,.393,1.0,.677,1.1,0.2,1.0,0.8,0.3,0.0,0.6,1.0,3.0,11.5,.520,.477,.424,2.3,12.0,15.7,19.5,.076,-1.9,21,5,2,1,6,4.735881272643079,1.153411090139653,0.5890150893739515,0.1855768722395226,1.3286482312670198,undrafted
11,Maurice Walker,2015,https://www.sports-reference.com//cbb/schools/minnesota/2015.html,F,6-10,250,senior,33,31,18,24.2,.576,,0.0,.725,3.6,2.2,4.5,0.7,1.5,1.3,2.0,2.7,11.8,25.6,.609,.576,.000,10.6,22.1,5.8,24.6,.188,6.3,26,3,4,5,13,5.105678431880569,0.7654139963827327,1.1829831088450384,1.1976407785072427,2.7265992434429074,undrafted
12,Dominique Dawson,2011,https://www.sports-reference.com//cbb/schools/minnesota/2011.html,F,6-7,240,freshman,10,0,2,2.3,.000,,0.0,,0.0,0.2,0.4,0.0,0.0,0.0,0.2,0.4,0.0,-9.2,.000,.000,.000,10.2,18.8,0.0,13.4,-.144,-17.8,0,0,0,0,3,0.0,0.0,0.0,0.0,0.9165151389911681,undrafted
13,Ravern Johnson,2011,https://www.sports-reference.com//cbb/schools/mississippi-state/2011.html,G,6-7,175,senior,28,24,14,34.9,.430,.403,7.4,.780,3.9,0.8,2.8,0.8,0.4,0.5,1.3,1.0,17.6,19.4,.574,.540,.546,2.6,8.3,5.0,24.6,.131,4.1,33,2,2,3,8,7.41344614018807,0.82915619758885,0.6226998490772391,0.7310531960878115,1.821078397711709,undrafted
14,Kodi Augustus,2011,https://www.sports-reference.com//cbb/schools/mississippi-state/2011.html,F,6-8,224,senior,31,31,17,31.5,.447,.309,3.0,.826,4.5,1.7,5.5,1.6,0.5,1.0,2.9,3.1,12.2,16.6,.575,.502,.359,6.4,18.2,10.8,22.1,.107,1.0,26,5,2,5,14,4.355913845778154,1.2870927318232261,0.6137515351754983,1.0920200567619842,3.526029270177989,undrafted
15,Renardo Sidney,2012,https://www.sports-reference.com//cbb/schools/mississippi-state/2012.html,F,6-10,280,sophomore,29,28,18,22.7,.498,.405,1.3,.597,2.7,1.3,3.9,0.6,0.8,0.7,1.4,2.8,9.7,19.3,.545,.532,.167,6.8,21.2,5.2,23.9,.126,2.5,18,3,3,3,14,4.457488455326586,0.8130914567276962,0.896551724137931,0.9136304344477082,2.952255833517792,undrafted
16,Dee Bost,2012,https://www.sports-reference.com//cbb/schools/mississippi-state/2012.html,G,6-2,176,senior,33,33,21,36.3,.392,.346,6.6,.765,5.0,0.5,2.8,5.5,2.0,0.2,3.0,2.2,15.8,20.8,.536,.484,.534,1.8,9.5,30.6,25.7,.148,5.6,28,13,5,1,7,5.216699891637654,2.861350699178879,1.3026778945578592,0.40881022918884974,1.699673171197595,undrafted (NBA)
17,Riley Benock,2011,https://www.sports-reference.com//cbb/schools/mississippi-state/2011.html,G,6-4,193,senior,31,30,17,32.0,.434,.424,3.8,.857,0.7,0.5,2.9,2.3,1.2,0.2,1.1,2.0,6.2,11.7,.628,.608,.825,1.8,9.5,13.3,9.8,.092,2.4,15,7,3,2,8,4.0989326292672335,1.6649661807179275,0.9973951505638907,0.44698085356616185,2.0910592091150773,undrafted
18,Jalen Steele,2013,https://www.sports-reference.com//cbb/schools/mississippi-state/2013.html,G,6-3,194,junior,18,11,5,26.6,.339,.329,4.7,.923,2.2,0.7,2.3,1.1,0.8,0.1,1.8,0.9,10.1,11.9,.473,.420,.489,2.9,10.8,10.0,23.9,.046,-1.0,21,3,2,1,7,5.858411700650697,0.9111788592698181,0.628539361054709,0.3142696805273545,1.9852853761339597,undrafted
19,Brian Bryant,2012,https://www.sports-reference.com//cbb/schools/mississippi-state/2012.html,G,6-3,168,sophomore,30,23,18,26.9,.464,.300,1.0,.633,1.6,1.2,3.2,1.9,0.8,0.5,1.1,1.5,7.4,15.3,.506,.487,.153,5.4,14.8,13.3,16.4,.103,3.5,17,9,5,3,10,4.737087712930805,1.687865186822955,1.1160446028522137,0.7180219742846006,2.045048220023729,undrafted
