,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Brian Johnson,2011,https://www.sports-reference.com//cbb/schools/delaware/2011.html,G,5-10,190,senior,28,0,13,18.7,.398,.388,1.8,.548,1.1,0.2,0.9,2.1,0.4,0.0,1.0,1.9,3.8,9.3,.516,.506,.557,1.4,5.7,24.7,13.8,.051,-3.0,14,7,2,1,3,3.288042653281116,1.8461211404742979,0.6175577309210922,0.1855768722395226,1.124858267715973,undrafted
1,D.J. Boney,2011,https://www.sports-reference.com//cbb/schools/delaware/2011.html,G,6-5,200,senior,31,28,14,20.4,.326,.288,1.9,.793,0.9,0.7,0.9,0.9,0.2,0.2,0.5,1.8,3.3,6.8,.469,.416,.621,4.2,5.1,9.2,11.0,.039,-2.4,11,4,3,3,5,3.2744716233418116,1.0272053760058486,0.6435463659116131,0.5913000896717213,1.3362783985295472,undrafted
2,Hakim McCullar,2012,https://www.sports-reference.com//cbb/schools/delaware/2012.html,F,6-8,250,senior,29,0,16,9.1,.385,.000,0.0,.550,0.7,0.4,1.0,0.2,0.0,0.3,0.2,1.2,1.4,6.7,.423,.385,.026,4.8,12.5,5.2,10.7,.048,-3.3,6,2,0,1,4,1.6298347997374445,0.5020765440883116,0.0,0.44694763437295587,1.3003246644803312,undrafted
3,Kaleb Clyburn,2011,https://www.sports-reference.com//cbb/schools/delaware/2011.html,G,5-9,165,freshman,17,0,6,6.1,.308,.000,0.5,.833,0.4,0.2,0.4,0.4,0.2,0.0,0.2,1.2,0.8,4.5,.410,.308,.615,3.5,7.8,13.7,10.5,.029,-6.2,4,2,1,0,3,1.2616241523251304,0.5998846486579748,0.3812200410828153,0.0,0.8442764761416073,undrafted
4,Edwin Santiago,2011,https://www.sports-reference.com//cbb/schools/delaware/2011.html,G,6-2,175,senior,14,0,4,3.1,.300,.333,0.4,1.000,0.2,0.1,0.4,0.1,0.4,0.0,0.4,0.6,0.8,10.1,.481,.400,.600,2.8,13.1,4.9,20.6,.034,-0.5,7,1,3,0,3,1.8585159758939556,0.25753937681885636,0.9035079029052513,0.0,0.9035079029052514,undrafted
5,Malcolm Hawkins,2014,https://www.sports-reference.com//cbb/schools/norfolk-state/2014.html,G,6-5,210,senior,29,24,16,30.1,.419,.415,4.9,.781,5.3,0.8,3.4,1.9,0.8,0.3,2.9,2.8,15.5,17.8,.569,.511,.441,3.4,13.5,13.2,28.1,.118,-0.7,31,5,4,2,9,6.820965093284454,1.3220889319090217,0.9958295915995622,0.5430350257939179,2.24217492510467,undrafted
6,Samer Madarani,2012,https://www.sports-reference.com//cbb/schools/delaware/2012.html,G,5-10,160,senior,8,0,4,0.9,.125,.125,1.0,.500,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,-1.7,.223,.188,1.000,0.0,0.0,66.6,66.1,-.258,-15.4,3,1,0,0,0,1.0,0.4330127018922193,0.0,0.0,0.0,undrafted
7,Brendan McNulty,2013,https://www.sports-reference.com//cbb/schools/delaware/2013.html,G,5-11,205,senior,4,0,2,1.3,.000,.000,0.5,,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.5,0.0,-46.1,.000,.000,.667,0.0,0.0,0.0,51.2,-.722,-46.5,0,0,1,0,0,0.0,0.0,0.4330127018922193,0.0,0.0,undrafted
8,Will Townsville,2013,https://www.sports-reference.com//cbb/schools/delaware/2013.html,G,6-3,190,senior,13,2,6,5.5,.167,.000,0.4,,0.0,0.3,0.6,0.1,0.0,0.0,0.1,0.5,0.3,-0.3,.167,.167,.417,6.5,12.5,2.5,9.2,-.034,-8.2,4,1,0,0,3,1.0658774200423862,0.26646935501059654,0.0,0.0,1.2686478848054341,undrafted
9,Billy Kidd,2011,https://www.sports-reference.com//cbb/schools/delaware/2011.html,F,6-4,200,freshman,1,0,1,1.0,.000,,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,.000,.000,.000,100.0,0.0,100.0,55.2,.038,-25.2,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,undrafted
10,Brian Stafford,2012,https://www.sports-reference.com//cbb/schools/denver/2012.html,G,6-4,188,senior,31,31,22,33.4,.498,.457,5.3,.818,3.2,0.5,1.3,2.1,1.1,0.2,1.3,2.1,14.5,21.1,.659,.626,.560,2.0,5.8,14.3,21.7,.180,4.3,32,5,4,1,5,7.052058540355978,1.5102838594476933,1.0392905608765814,0.3677985242255284,1.47472638073064,undrafted
