,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Lionel Ellison,2016,https://www.sports-reference.com//cbb/schools/fresno-state/2016.html,G,6-2,195,freshman,31,0,21,14.0,.222,.167,0.6,.667,1.4,0.3,1.3,1.1,0.5,0.1,0.6,1.6,1.6,5.7,.393,.256,.400,2.2,10.5,12.5,9.4,.050,-1.7,7,5,4,1,6,2.26542578917154,1.1174521339154044,0.9784355411679422,0.2456701001891583,1.5816323447911307,undrafted
1,Sam Bittner,2019,https://www.sports-reference.com//cbb/schools/fresno-state/2019.html,G,6-6,210,senior,32,32,23,31.8,.447,.433,3.0,.692,1.2,1.5,3.3,2.2,1.2,0.2,1.3,2.8,6.7,12.0,.593,.578,.602,5.4,11.7,11.5,11.0,.125,3.3,18,6,4,2,8,4.734246079102775,1.3488276159317023,1.1105847277448038,0.4408354993645589,1.789454787777551,undrafted
2,Ountae Campbell,2020,https://www.sports-reference.com//cbb/schools/texas-el-paso/2020.html,G,6-4,199,junior,2,1,2,2.5,.500,1.000,0.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,40.9,.750,.750,.500,0.0,0.0,100.0,20.7,.465,20.6,3,1,0,0,0,1.5,0.0,0.0,0.0,0.0,undrafted
3,Grant Shell,2016,https://www.sports-reference.com//cbb/schools/fresno-state/2016.html,G,6-3,175,freshman,6,0,5,2.2,.200,.000,0.5,,0.0,0.3,0.0,0.2,0.2,0.0,0.7,0.2,0.3,-11.1,.200,.200,.600,16.6,0.0,13.4,34.1,-.297,-28.1,2,1,1,0,1,0.74535599249993,0.372677996249965,0.372677996249965,0.0,0.4714045207910317,undrafted
4,Matt Rafferty,2019,https://www.sports-reference.com//cbb/schools/furman/2019.html,F,6-8,215,senior,33,33,25,33.4,.615,.320,0.8,.767,5.3,2.6,6.4,4.3,2.5,1.1,2.1,2.2,17.5,34.2,.661,.626,.071,9.6,21.5,25.8,23.5,.312,12.7,28,7,7,4,17,5.4334609324367,1.6746365914724968,1.6531129329679826,1.1378777791223387,3.186000137769866,undrafted
5,Andrew Brown,2019,https://www.sports-reference.com//cbb/schools/furman/2019.html,G,6-5,212,senior,26,6,18,21.6,.432,.410,4.0,.786,1.1,0.6,2.1,1.2,0.8,0.2,1.1,1.5,7.4,14.6,.598,.578,.709,3.4,10.8,9.5,17.4,.137,2.0,17,4,3,1,8,4.947206491648182,1.0748606624986246,0.7994080650317895,0.36080121229410994,1.7924892611893914,undrafted
6,Jonathan Jean,2018,https://www.sports-reference.com//cbb/schools/furman/2018.html,G,5-11,170,junior,16,0,13,5.4,.500,.000,0.3,.750,0.5,0.1,0.5,1.3,0.1,0.0,0.3,0.7,1.3,15.4,.562,.500,.357,2.7,10.5,36.5,12.5,.174,-3.3,6,3,1,0,3,1.8200274723201295,1.14564392373896,0.33071891388307384,0.0,0.9921567416492215,undrafted
7,Laquincy Rideau,2020,https://www.sports-reference.com//cbb/schools/south-florida/2020.html,G,6-1,205,senior,31,31,14,32.5,.374,.295,4.7,.562,3.4,1.1,3.3,4.2,2.5,0.2,3.3,3.4,12.6,15.7,.448,.429,.376,3.8,13.7,32.8,27.8,.102,4.0,21,8,7,2,10,4.322099154695285,1.8035691288379823,1.7389460608959424,0.48921777058397103,1.8081788977085829,undrafted
8,David Efianayi,2019,https://www.sports-reference.com//cbb/schools/gardner-webb/2019.html,G,6-2,185,senior,35,35,23,33.4,.487,.420,4.8,.743,6.3,0.5,3.1,2.9,1.1,0.7,2.4,2.1,18.2,23.1,.615,.573,.409,2.0,10.3,17.3,27.1,.179,3.3,33,8,3,3,8,5.243149077119395,2.0721673559392855,0.8870956969291443,0.8398250546685182,1.8965059171744103,undrafted
9,Brandon Miller,2019,https://www.sports-reference.com//cbb/schools/gardner-webb/2019.html,F,6-6,250,senior,29,1,21,7.8,.533,.667,0.1,.481,0.9,0.8,1.0,0.0,0.3,0.1,0.6,1.6,2.2,11.1,.545,.556,.067,13.1,14.4,0.8,17.1,.091,-9.2,12,1,2,2,7,2.901473650753466,0.18246560765962697,0.5183895302887209,0.43344155482677704,2.0183462933326752,undrafted
10,L'Hassane Niangane,2018,https://www.sports-reference.com//cbb/schools/gardner-webb/2018.html,C,6-10,240,junior,32,13,14,16.3,.350,,0.0,.300,0.9,2.2,2.0,0.2,0.0,0.9,0.9,2.7,1.2,5.5,.341,.350,.000,15.5,14.2,2.2,8.3,.033,-7.5,6,3,1,4,12,1.7159067391615432,0.5986638768958755,0.17399263633843817,1.248436522214886,2.6860461183680373,undrafted
11,Jamaal Robateau,2018,https://www.sports-reference.com//cbb/schools/gardner-webb/2018.html,G,6-5,180,junior,18,4,9,18.3,.294,.261,2.6,.692,0.7,0.3,2.8,0.8,0.6,0.3,0.7,1.3,3.9,7.2,.389,.365,.541,2.1,17.7,8.2,16.2,.032,-5.4,13,3,3,1,7,4.061639272540942,0.9574271077563381,0.8906233078822998,0.4479032082388083,1.9790570145063195,undrafted
12,DJ Laster,2019,https://www.sports-reference.com//cbb/schools/gardner-webb/2019.html,F,6-6,230,senior,34,33,22,26.4,.552,.411,1.6,.655,2.5,2.0,3.4,0.4,0.4,0.6,1.5,2.4,13.6,21.5,.596,.585,.161,9.8,14.1,3.7,25.8,.151,-0.8,32,2,2,3,10,5.719510710556113,0.5525968890604687,0.5998846486579746,0.7675287265117582,2.4267825111454435,undrafted
13,Otis Livingston,2019,https://www.sports-reference.com//cbb/schools/george-mason/2019.html,G,5-11,172,senior,33,33,18,32.9,.390,.315,4.5,.873,3.1,0.3,2.0,4.0,1.0,0.0,2.8,1.7,12.9,13.4,.507,.453,.401,1.0,7.0,25.2,24.3,.081,-1.3,30,10,4,0,6,6.938533756400212,2.552299598696432,0.9995407577254934,0.0,1.5815743455393805,undrafted
14,Jaire Grayer,2020,https://www.sports-reference.com//cbb/schools/texas-christian/2020.html,G,6-5,210,senior,32,27,16,24.0,.425,.362,4.0,.590,1.2,1.8,2.8,0.5,0.7,0.3,0.9,2.1,7.5,14.5,.547,.540,.635,8.5,13.9,4.4,16.9,.118,2.8,18,2,2,1,9,4.782679524858424,0.7071067811865476,0.7749747979773278,0.46351240544347894,2.1503542586048465,undrafted
15,DeAndre Abram,2020,https://www.sports-reference.com//cbb/schools/milwaukee/2020.html,G,6-8,210,senior,30,21,12,26.8,.373,.319,4.8,.618,1.8,1.5,4.8,0.7,0.6,0.8,1.4,2.2,10.1,13.7,.466,.450,.480,5.8,21.1,5.2,22.4,.080,-2.2,26,2,2,3,13,5.874994089831543,0.7453559924999298,0.7118052168020874,0.8717797887081348,3.539617053988876,undrafted
16,Kameron Murrell,2017,https://www.sports-reference.com//cbb/schools/george-mason/2017.html,G,6-2,195,sophomore,21,1,11,6.0,.263,.217,1.1,.750,0.6,0.2,0.6,0.5,0.2,0.0,0.2,1.0,1.6,8.0,.389,.329,.605,4.6,11.1,14.4,19.5,.063,-8.9,15,3,2,0,5,3.3018925377828032,0.8518354199999199,0.5259695722470125,0.0,1.268848818521355,undrafted
17,Danny Dixon,2020,https://www.sports-reference.com//cbb/schools/north-carolina-state/2020.html,F,6-10,230,senior,19,1,12,5.7,.600,,0.0,.600,0.3,0.4,0.6,0.2,0.1,0.0,0.1,1.1,1.4,11.8,.603,.600,.000,8.2,11.1,6.3,11.0,.127,0.2,10,2,1,0,5,2.369005775774084,0.5210260492953508,0.22329687826943606,0.0,1.2565617248750864,undrafted
18,Matt Hart,2017,https://www.sports-reference.com//cbb/schools/george-washington/2017.html,G,6-2,180,sophomore,35,7,20,14.0,.407,.425,2.1,.875,0.5,0.4,1.1,0.9,0.3,0.1,0.6,0.7,4.1,12.2,.555,.533,.593,3.3,9.6,13.1,16.0,.087,0.3,17,4,2,1,6,3.44875014331575,1.0894671979964354,0.5642405045180429,0.23211538298959888,1.5555037244361372,undrafted
19,Jordan Roland,2020,https://www.sports-reference.com//cbb/schools/northeastern/2020.html,G,6-1,171,senior,33,33,17,36.2,.481,.394,7.3,.884,4.4,0.5,2.8,1.8,1.5,0.2,1.7,1.8,21.9,26.8,.615,.572,.465,1.9,10.0,11.3,29.5,.210,5.3,42,4,4,1,7,9.556078743658645,1.007775099897933,1.0471001541315754,0.42854956435548336,1.7174093715520915,undrafted
20,Collin Goss,2020,https://www.sports-reference.com//cbb/schools/delaware/2020.html,F,6-11,230,senior,33,18,22,19.5,.638,.154,0.4,.528,1.1,1.0,3.4,0.7,0.2,0.5,0.9,1.5,6.1,17.0,.636,.645,.092,6.6,19.7,6.8,15.3,.122,-0.4,15,4,1,2,10,3.6627828165798344,0.9687495371603504,0.40881022918884974,0.6075738683564673,3.113405948858502,undrafted
21,Marcus Derrickson,2018,https://www.sports-reference.com//cbb/schools/georgetown/2018.html,F,6-7,250,junior,29,29,15,32.0,.505,.465,3.5,.863,4.5,2.3,5.8,1.6,0.7,0.7,2.2,2.4,15.9,21.7,.640,.584,.340,8.5,20.0,10.2,22.1,.170,5.8,27,4,3,3,18,6.004160269926835,1.2181739125969444,0.9506240518682911,0.755479389662298,3.5030138204690466,undrafted (NBA)
22,Jessie Govan,2019,https://www.sports-reference.com//cbb/schools/georgetown/2019.html,C,6-10,255,senior,33,33,19,30.3,.496,.412,3.5,.766,4.3,1.8,5.7,1.2,0.8,1.2,1.5,2.6,17.5,24.2,.586,.552,.267,6.5,19.9,9.1,26.0,.174,6.8,33,4,3,4,14,7.544176598606649,1.1017975128907784,0.8331955809010617,1.1289658187998277,3.0559520570857477,undrafted
23,Kaleb Johnson,2019,https://www.sports-reference.com//cbb/schools/georgetown/2019.html,G,6-7,220,senior,31,2,18,12.8,.598,.500,0.2,.667,1.6,1.2,1.7,0.3,0.4,0.1,0.6,1.5,4.4,16.3,.635,.616,.073,10.1,14.4,4.2,15.3,.127,1.9,12,2,2,2,9,3.5336939193881682,0.5201456611805517,0.6610935978038449,0.42059370356146114,2.3328625460341343,undrafted
24,Tookie Brown,2019,https://www.sports-reference.com//cbb/schools/georgia-southern/2019.html,G,5-11,180,senior,33,32,21,35.2,.496,.339,3.6,.764,5.4,0.7,3.5,4.7,1.3,0.1,2.3,2.2,17.3,21.5,.591,.546,.296,2.4,11.0,22.4,22.7,.180,4.1,32,10,5,1,10,6.289320754704402,1.964328347956588,1.145919418253881,0.3263736246748184,1.9389203967328958,undrafted
