,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Bryce Washington,2022,https://www.sports-reference.com//cbb/schools/pennsylvania/2022.html,G,6-4,180,junior,8,1,2,3.6,.333,.000,0.4,1.000,0.3,0.3,0.5,0.4,0.0,0.1,0.4,0.1,0.8,8.8,.432,.333,.500,8.1,16.2,18.2,17.9,-.003,-3.2,4,1,0,1,2,1.3919410907075054,0.4841229182759271,0.0,0.33071891388307384,0.6614378277661477,undrafted
1,Michael Wang,2022,https://www.sports-reference.com//cbb/schools/pennsylvania/2022.html,F,6-10,220,sophomore,8,3,2,15.0,.404,.118,2.1,.600,0.6,0.9,1.3,1.3,0.0,0.1,1.0,1.4,6.4,10.9,.429,.421,.298,6.9,9.8,18.7,29.3,.000,-6.3,21,4,0,1,8,5.893587617063142,1.479019945774904,0.0,0.33071891388307384,2.521780125229002,undrafted
2,Alex Imegwu,2020,https://www.sports-reference.com//cbb/schools/pennsylvania/2020.html,G,6-6,205,sophomore,5,0,4,2.0,.500,.500,0.4,.500,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,20.5,.678,.750,1.000,0.0,10.4,17.2,14.8,.203,15.5,3,1,0,0,1,1.1661903789690602,0.4,0.0,0.0,0.4,undrafted
3,Mark Jackson,2020,https://www.sports-reference.com//cbb/schools/pennsylvania/2020.html,C,7-3,260,sophomore,2,0,2,3.0,,,0.0,.000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-15.8,.000,,,37.8,0.0,0.0,24.7,-.291,-11.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,undrafted
4,Griffin Ryan,2022,https://www.sports-reference.com//cbb/schools/pennsylvania/2022.html,G,6-5,215,junior,2,0,1,1.0,.000,,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-14.3,.000,.000,.000,0.0,58.7,0.0,26.1,-.315,-25.4,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,undrafted
5,Kessler Edwards,2021,https://www.sports-reference.com//cbb/schools/pepperdine/2021.html,F,6-8,200,junior,27,26,15,33.9,.491,.378,4.4,.876,3.9,1.2,5.6,1.2,1.0,1.2,1.8,2.1,17.2,21.8,.606,.558,.356,4.4,18.4,7.2,23.6,.169,5.6,37,5,3,5,11,6.723829009069897,1.133115447465063,0.9615374063516422,1.3425606637327303,2.539131333481868,44
6,Darryl Polk Jr,2022,https://www.sports-reference.com//cbb/schools/pepperdine/2022.html,G,5-9,155,senior,9,0,3,22.8,.333,.357,1.6,.750,1.3,0.6,2.3,2.9,0.8,0.0,1.4,1.9,4.0,8.2,.465,.409,.424,2.6,11.5,21.7,12.1,.052,-3.4,13,6,2,0,5,4.055175020198813,1.5234788000891208,0.7856742013183862,0.0,1.4487116456005886,undrafted
7,Andre Ball,2021,https://www.sports-reference.com//cbb/schools/pepperdine/2021.html,G,6-7,190,junior,12,1,5,14.5,.368,.182,0.9,.800,0.4,0.6,1.7,0.7,0.3,0.2,0.7,1.3,2.8,6.2,.421,.395,.289,4.9,12.8,7.7,13.9,.034,-3.0,12,2,1,1,7,3.6247605284885904,0.6236095644623235,0.4330127018922193,0.3726779962499649,2.165063509461097,undrafted
8,Victor Ohia Obioha,2022,https://www.sports-reference.com//cbb/schools/pepperdine/2022.html,C,6-9,205,senior,16,4,5,17.3,.506,,0.0,.698,2.7,2.6,2.9,0.6,0.4,0.7,1.4,2.7,6.9,18.3,.553,.506,.000,16.1,18.7,7.3,21.1,.125,-1.6,15,2,2,4,12,3.7728470681966426,0.6959705453537527,0.5994789404140899,1.1021995055342748,2.806243040080456,undrafted
9,Jackson Stormo,2022,https://www.sports-reference.com//cbb/schools/siena/2022.html,C,6-9,247,senior,11,11,5,28.8,.510,.250,0.4,.538,2.4,2.5,4.5,1.4,0.6,1.0,1.6,3.0,10.5,17.8,.521,.515,.041,10.5,19.2,11.2,21.4,.114,-2.0,25,2,2,2,11,6.228433866531142,0.7713892158398701,0.6428243465332251,0.8528028654224418,2.5389527352307164,undrafted
