,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Coy Custer,2011,https://www.sports-reference.com//cbb/schools/lamar/2011.html,C,6-11,260,senior,30,10,13,15.8,.533,.000,0.1,.672,2.0,1.7,2.0,0.2,0.2,0.6,1.2,2.6,5.6,13.5,.567,.533,.025,10.3,13.7,2.2,16.7,.108,-4.7,15,1,2,3,10,3.400816895329055,0.4,0.5416025603090638,0.7608474807008886,2.3513589451397867,undrafted
1,Donley Minor,2013,https://www.sports-reference.com//cbb/schools/lamar/2013.html,G,6-1,175,senior,31,29,3,33.0,.360,.344,2.9,.753,2.6,0.6,2.6,3.6,0.7,0.2,3.0,2.2,9.6,9.1,.459,.414,.315,2.1,9.4,23.5,19.9,-.004,-6.4,22,7,4,3,7,5.3862274747720775,1.8081788977085829,1.0462757896920554,0.5913000896717213,1.9669485444420831,undrafted
2,Tremell Adams,2011,https://www.sports-reference.com//cbb/schools/lamar/2011.html,G,6-2,200,freshman,20,4,8,13.0,.405,.380,4.0,.846,1.3,1.0,1.1,0.6,0.5,0.0,1.2,1.3,7.3,18.3,.569,.534,.681,7.0,8.6,8.8,25.0,.146,0.2,22,2,2,0,6,6.269768735766894,0.7348469228349533,0.5916079783099616,0.0,1.5811388300841898,undrafted
3,Orlando Brazier,2011,https://www.sports-reference.com//cbb/schools/lamar/2011.html,C,6-7,235,freshman,26,9,11,12.7,.431,,0.0,.658,1.5,1.7,1.9,0.3,0.5,0.7,1.0,1.7,5.5,16.4,.461,.431,.000,12.4,15.8,4.6,23.5,.102,-4.5,15,2,3,6,11,4.352276150740862,0.6056929133855239,0.7457969011409737,1.2331707339908766,3.0284645669276196,undrafted
4,Stan Brown,2013,https://www.sports-reference.com//cbb/schools/lamar/2013.html,F,6-8,225,senior,31,30,3,28.9,.479,.000,0.1,.674,4.2,2.2,5.5,0.5,0.5,0.8,1.6,2.1,11.6,17.4,.520,.479,.007,8.4,22.2,3.8,21.5,.082,-2.6,28,2,3,3,14,5.222619498151918,0.7111421833886646,0.7551419297238467,0.6766508697871946,3.1576674434878114,undrafted
5,Vincenzo Nelson,2012,https://www.sports-reference.com//cbb/schools/lamar/2012.html,F,6-5,205,sophomore,32,2,20,10.5,.362,.300,0.3,.675,1.3,0.6,1.5,0.8,0.2,0.1,0.9,1.3,2.3,8.4,.468,.388,.172,5.7,16.8,13.9,15.3,.060,-5.8,13,4,1,1,8,3.0,1.121086944665756,0.3903123748998999,0.33071891388307384,1.8789021894446767,undrafted
6,Osas Ebomwonyi,2013,https://www.sports-reference.com//cbb/schools/lamar/2013.html,F,6-11,220,junior,5,0,1,9.4,.375,,0.0,.400,1.0,0.6,1.8,0.2,0.2,1.2,0.6,0.8,1.6,11.2,.386,.375,.000,7.2,22.5,4.2,13.9,.004,-1.8,3,1,1,2,4,1.3564659966250538,0.4000000000000001,0.4000000000000001,0.7483314773547883,1.4966629547095767,undrafted
7,Tre Lynch,2015,https://www.sports-reference.com//cbb/schools/southern/2015.html,G,6-0,160,senior,30,0,17,22.0,.401,.336,5.1,.838,2.7,0.9,2.7,1.0,0.8,0.2,1.2,1.4,12.3,22.5,.526,.482,.487,4.8,13.2,12.4,30.2,.179,2.0,24,6,3,1,10,6.1586434292698655,1.5807874268505835,0.8198915917499229,0.37267799624996495,2.48461935381123,undrafted
8,Darius Harris,2011,https://www.sports-reference.com//cbb/schools/lamar/2011.html,F,6-8,210,freshman,5,1,3,6.8,.333,.000,0.2,1.000,0.4,0.2,0.8,0.6,0.2,0.0,1.4,1.4,1.2,-2.6,.432,.333,.167,2.8,12.6,13.7,17.6,-.071,-26.4,2,1,1,0,2,0.9797958971132713,0.48989794855663565,0.4,0.0,0.8944271909999159,undrafted
9,C.J. McCollum,2013,https://www.sports-reference.com//cbb/schools/lehigh/2013.html,G,6-3,180,senior,12,11,8,31.0,.495,.516,5.3,.849,6.1,1.0,4.0,2.9,1.4,0.3,2.7,1.8,23.9,34.7,.628,.580,.330,4.0,15.8,24.9,37.2,.261,9.3,36,4,4,2,9,9.286713926656487,0.8620067027323833,1.1873172373979173,0.6236095644623235,2.345207879911715,10
