,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Pablo Bertone,2014,https://www.sports-reference.com//cbb/schools/florida-atlantic/2014.html,G,6-4,198,senior,30,30,10,33.8,.451,.335,5.2,.727,4.8,0.7,3.2,2.1,1.3,0.1,2.8,2.7,19.0,19.4,.541,.508,.338,2.2,10.4,16.6,31.0,.122,1.2,34,7,4,1,8,6.821534529219458,1.7269111795984826,1.1,0.24944382578492943,2.0612833111653743,undrafted
1,Andre Mattison,2013,https://www.sports-reference.com//cbb/schools/florida-atlantic/2013.html,F,6-7,220,senior,29,2,13,12.1,.500,,0.0,.606,1.1,0.8,1.4,0.2,0.4,0.6,0.6,1.3,2.4,12.4,.533,.500,.000,8.1,14.1,2.9,12.3,.080,-0.8,14,2,2,2,10,3.2432129809731025,0.4600573815215977,0.670421451559434,0.6650793628271003,2.362006039937063,undrafted
2,Justin Davis,2011,https://www.sports-reference.com//cbb/schools/florida-atlantic/2011.html,C,6-10,250,senior,17,4,9,6.6,.375,,0.0,.000,0.1,0.5,0.7,0.0,0.1,0.1,0.2,1.2,0.4,1.9,.354,.375,.000,8.3,12.7,0.0,5.8,.018,-8.2,2,0,1,1,5,0.7624400821656305,0.0,0.32218973970892123,0.23529411764705885,1.653349332065317,undrafted
3,DeMonte Simpson,2011,https://www.sports-reference.com//cbb/schools/florida-atlantic/2011.html,F,6-9,270,sophomore,5,0,3,2.6,.333,,0.0,.667,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.6,0.8,16.1,.452,.333,.000,18.0,27.6,0.0,17.9,.165,-10.6,3,0,0,0,4,1.1661903789690602,0.0,0.0,0.0,1.5491933384829668,undrafted
4,Darren Stewart,2011,https://www.sports-reference.com//cbb/schools/florida-atlantic/2011.html,G,6-4,210,sophomore,1,0,1,3.0,1.000,,0.0,.500,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.6,.769,1.000,.000,0.0,0.0,0.0,34.2,.297,0.2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
5,Dylan O'Sullivan,2011,https://www.sports-reference.com//cbb/schools/florida-atlantic/2011.html,G,6-3,170,sophomore,1,1,1,7.0,1.000,,0.0,.000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18.5,.678,1.000,.000,0.0,0.0,30.7,11.1,.129,-10.3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
6,Anthony Banks,2011,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2011.html,F,6-6,210,sophomore,30,30,10,30.9,.490,.000,0.1,.710,5.2,3.5,2.8,0.9,0.8,0.4,2.4,2.6,14.6,19.2,.536,.490,.006,12.4,10.7,7.6,25.3,.110,-1.0,25,4,3,4,14,5.2826760895086755,0.8844332774281065,0.7608474807008885,0.8034647195462634,2.971905486757986,undrafted
7,Christophe Varidel,2013,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2013.html,G,6-3,177,junior,37,1,26,16.2,.378,.354,3.1,.839,1.7,0.4,1.5,0.6,0.5,0.0,1.5,1.3,6.2,10.9,.544,.489,.628,2.5,10.7,6.8,22.2,.076,-3.5,18,2,2,0,7,5.191018821593298,0.6762160001728001,0.7211710304933154,0.0,1.5393546882052045,undrafted
8,Reed Baker,2011,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2011.html,G,6-1,180,senior,14,14,3,27.9,.381,.292,5.1,.869,4.4,0.5,2.1,1.0,1.6,0.0,1.9,0.9,14.4,17.9,.513,.443,.429,1.9,8.6,9.3,27.9,.109,0.6,28,3,6,0,8,7.326217945690334,0.9258200997725514,1.761261143705422,0.0,2.025349554108261,undrafted
9,Marlon Rivera,2011,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2011.html,G,6-2,180,freshman,30,29,10,31.8,.318,.000,0.2,.471,5.7,0.9,4.8,5.4,1.6,0.1,3.8,2.1,6.4,8.7,.374,.318,.028,3.1,17.6,34.5,18.9,.000,-5.2,16,12,5,1,11,4.263019274332844,2.726210230745645,1.3337499349161706,0.24944382578492943,2.297099620536007,undrafted
10,Sherwood Brown,2013,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2013.html,G,6-4,200,senior,37,35,26,33.1,.468,.376,5.2,.659,3.3,1.6,5.0,1.2,1.4,0.3,1.8,2.0,15.5,20.5,.566,.549,.432,5.5,17.8,7.6,23.3,.167,3.6,29,3,4,3,11,5.315055727360957,1.0170209579582044,1.025603565460015,0.5994884598059145,2.656909346474488,undrafted
11,Tim Snyder,2011,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2011.html,F,6-7,217,freshman,25,21,9,18.1,.443,.000,0.3,.578,3.3,1.2,2.5,0.4,0.4,0.2,1.7,3.0,6.2,9.7,.483,.443,.057,7.4,16.3,5.7,22.0,.036,-6.6,21,3,2,2,9,4.216918306061904,0.7525955088890712,0.6324555320336759,0.5122499389946279,2.4540578640284747,undrafted
12,Chase Fieler,2014,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2014.html,F,6-8,205,senior,35,35,22,28.7,.548,.305,1.7,.706,3.9,2.5,4.9,1.6,0.8,0.9,1.6,3.1,13.9,24.4,.602,.575,.173,10.5,18.7,11.9,23.5,.211,4.5,30,4,3,3,15,5.590516751698398,1.3370695950625817,0.9284615319583954,0.8060991988380506,3.253883080573243,undrafted
13,Kevin Cantinol,2012,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2012.html,C,6-10,254,senior,31,12,14,15.2,.363,,0.0,.378,1.2,1.4,1.6,0.4,0.4,0.7,0.9,2.4,2.8,6.8,.368,.363,.000,11.2,12.5,4.6,15.8,.003,-7.3,13,3,2,3,6,2.616286141418273,0.7037878783635945,0.5417050201208601,0.8498025724077091,1.874856914415534,undrafted
14,Hunter Miller,2014,https://www.sports-reference.com//cbb/schools/stetson/2014.html,G,6-1,180,senior,31,16,7,24.1,.338,.275,2.2,.796,1.7,0.3,1.9,2.2,0.5,0.1,1.0,1.7,4.8,8.8,.482,.412,.531,1.6,9.9,18.4,13.7,.026,-6.5,17,6,2,1,7,3.952106618268846,1.7057166537293273,0.6154446460754488,0.2456701001891583,1.7172686005427311,undrafted
15,Nick Goshay,2011,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2011.html,G,6-3,230,freshman,16,0,3,5.1,.400,.375,0.5,.625,0.5,0.3,0.5,0.2,0.1,0.1,0.4,0.6,1.5,8.9,.504,.475,.400,5.3,11.5,8.2,17.9,.042,-3.4,5,2,1,1,2,1.695582495781317,0.5266343608235224,0.24206145913796356,0.24206145913796356,0.82915619758885,undrafted
16,Charlie Lytle,2011,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2011.html,F,6-8,195,sophomore,21,1,6,6.8,.179,.000,0.4,.800,0.5,0.5,0.9,0.6,0.1,0.2,0.7,0.9,0.9,2.2,.275,.179,.286,8.4,14.8,16.4,16.4,-.050,-9.1,5,3,1,1,3,1.355261854357877,0.8491692619108099,0.29354352395090366,0.4259177099999599,1.0454523047666737,undrafted
17,Chad Lutkenhaus,2011,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2011.html,F,6-5,215,senior,23,3,9,5.8,.316,.154,0.6,.500,0.1,0.0,0.5,0.2,0.2,0.0,0.3,0.5,0.7,2.3,.376,.368,.684,0.8,10.4,7.4,9.8,-.006,-6.0,6,3,1,0,3,1.5494373635830836,0.6565073421974563,0.3790346907426672,0.0,0.8249419983047945,undrafted
18,Eddie Murray,2013,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2013.html,F,6-8,205,senior,36,3,25,17.6,.544,.167,0.3,.706,1.4,1.6,1.4,0.4,0.4,0.4,0.7,1.9,3.8,12.3,.595,.556,.133,10.9,9.5,3.8,10.9,.115,0.0,10,2,4,2,9,2.8685179207612412,0.5905636562630361,0.7556372504853023,0.6400954789890507,2.0268262607727445,undrafted
19,Jordan Negrin,2011,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2011.html,G,5-7,158,freshman,11,0,2,2.5,.400,.000,0.1,.333,0.3,0.0,0.0,0.2,0.0,0.0,0.4,0.3,0.5,-4.4,.389,.400,.200,0.0,0.0,15.0,18.1,-.119,-12.9,2,1,0,0,0,0.7820295697311479,0.38569460791993493,0.0,0.0,0.0,undrafted
20,Ed Rolax,2012,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2012.html,F,6-5,224,senior,24,1,12,5.6,.318,.444,0.4,.625,0.3,0.4,0.5,0.3,0.3,0.2,0.3,0.5,1.0,9.4,.446,.409,.409,8.9,10.6,7.6,12.7,.041,-1.9,8,2,1,1,4,1.9252525086913204,0.5204164998665332,0.4330127018922193,0.372677996249965,1.2219065248845984,undrafted
21,DeJuan Wright,2012,https://www.sports-reference.com//cbb/schools/florida-international/2012.html,G,6-4,185,sophomore,22,22,7,36.1,.488,.392,2.3,.745,6.2,2.5,5.3,1.9,1.4,0.4,3.0,3.1,16.7,22.9,.580,.528,.202,8.6,19.7,13.8,25.5,.154,2.8,35,5,4,2,15,6.876718417846343,1.2398346997259868,1.1887906209656383,0.7100226978096957,3.8173700435753903,undrafted
22,Eric Frederick,2011,https://www.sports-reference.com//cbb/schools/florida-international/2011.html,F,6-8,230,freshman,28,17,11,25.3,.477,.351,2.6,.574,3.6,1.2,5.3,0.6,0.7,0.3,1.8,2.8,12.6,19.3,.535,.523,.263,5.3,24.1,6.0,26.6,.106,-2.7,26,3,3,2,12,6.667772017208551,0.8593721011082832,0.880630571852711,0.6008072800450258,2.8722813232690143,undrafted
