,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Khari Jabriel Allen,2019,https://www.sports-reference.com//cbb/schools/alcorn-state/2019.html,G,6-4,180,sophomore,28,13,9,22.6,.288,.263,4.2,.814,1.5,0.4,1.3,1.1,0.5,0.1,1.9,1.9,5.9,2.6,.431,.379,.694,2.2,6.5,10.3,19.9,-.019,-11.1,16,3,3,1,4,3.8239310898069068,0.9388171020067798,0.7310531960878114,0.30929478706587094,1.2205719636167902,undrafted
1,James Stokes,2018,https://www.sports-reference.com//cbb/schools/alcorn-state/2018.html,G,6-0,175,freshman,12,0,6,4.4,.385,,0.0,.200,0.4,0.1,0.7,0.2,0.4,0.1,0.1,0.6,0.9,9.9,.358,.385,.000,2.2,16.7,7.2,15.5,.047,-3.2,8,1,3,1,2,2.2157893000513886,0.3726779962499649,0.8620067027323832,0.2763853991962833,0.924211375534118,undrafted
2,Laurynas Motuzis,2019,https://www.sports-reference.com//cbb/schools/american/2019.html,G,6-6,205,sophomore,30,29,15,27.1,.468,.321,2.7,.652,1.5,0.7,2.7,0.9,0.7,0.5,0.7,2.3,6.8,11.8,.567,.551,.513,3.4,11.4,6.1,13.1,.101,-2.4,15,3,3,3,9,4.003331945600647,0.9073771725877469,0.8692269873603532,0.8465616732800196,2.0591260281974,undrafted
3,Sam Iorio,2022,https://www.sports-reference.com//cbb/schools/niagara/2022.html,F,6-7,221,senior,16,16,8,24.1,.357,.275,3.2,.667,1.5,1.0,4.6,1.3,0.6,0.6,0.8,1.5,6.9,13.4,.446,.420,.455,5.2,21.9,10.1,19.0,.099,-0.3,18,4,3,2,13,4.985917668794783,1.14564392373896,0.8569568250501305,0.7880950133074057,3.020114857087392,undrafted
4,Cheikh Diallo,2019,https://www.sports-reference.com//cbb/schools/american/2019.html,G,6-1,175,sophomore,16,0,9,7.6,.393,.000,0.8,.000,0.1,0.1,0.6,0.3,0.4,0.0,0.6,0.4,1.4,2.8,.386,.393,.429,1.0,9.5,6.0,16.7,-.032,-10.2,8,1,2,0,4,2.315032397181517,0.4330127018922193,0.5994789404140899,0.0,1.1021995055342748,undrafted
5,Marvin Bragg,2022,https://www.sports-reference.com//cbb/schools/american/2022.html,G,6-6,195,senior,10,1,1,12.7,.316,.333,0.6,.875,0.8,0.9,1.3,0.7,0.2,0.1,0.7,0.9,3.3,8.1,.395,.342,.158,8.3,13.2,10.5,20.4,-.012,-9.3,8,2,1,1,6,2.3685438564654024,0.7810249675906655,0.4000000000000001,0.30000000000000004,1.7776388834631176,undrafted
6,Stacy Beckton,2022,https://www.sports-reference.com//cbb/schools/american/2022.html,G,6-4,186,senior,13,13,5,32.2,.417,.327,4.0,.784,2.8,0.6,3.8,1.4,1.4,0.7,2.3,1.5,12.8,14.4,.514,.476,.361,2.2,15.4,9.0,24.3,.041,-4.3,24,3,3,3,9,5.645336348279622,1.146128032750103,0.8355984993230935,0.9910845174403942,2.4056147340172136,undrafted
7,Jesse Little,2020,https://www.sports-reference.com//cbb/schools/american/2020.html,F,6-10,204,junior,8,0,4,2.6,.667,,0.0,1.000,0.3,0.1,0.3,0.1,0.0,0.1,0.0,0.6,1.3,25.2,.719,.667,.000,5.7,11.4,10.1,17.0,.249,1.8,6,1,0,1,2,2.222048604328897,0.33071891388307384,0.0,0.33071891388307384,0.6959705453537527,undrafted
8,Drew LaMont,2021,https://www.sports-reference.com//cbb/schools/wyoming/2021.html,F,6-8,225,senior,5,0,4,10.4,.500,.500,2.0,1.000,0.4,0.0,1.2,0.8,0.0,0.0,0.0,1.0,3.4,16.8,.776,.750,1.000,0.0,13.7,14.1,10.8,.168,1.6,12,1,0,0,3,4.715930449020639,0.4,0.0,0.0,0.9797958971132713,undrafted
9,Nick Macarchuk,2018,https://www.sports-reference.com//cbb/schools/american/2018.html,F,6-5,188,freshman,18,0,4,11.8,.667,1.000,0.1,.250,0.2,0.7,0.6,0.7,0.4,0.1,0.6,2.1,1.0,6.1,.647,.708,.083,6.7,6.8,11.3,6.0,.041,-6.7,5,3,3,1,6,1.4907119849998598,1.0957268290731121,0.8314794192830981,0.31426968052735443,1.5918387535438228,undrafted
