,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,G.A. Hill,2011,https://www.sports-reference.com//cbb/schools/boise-state/2011.html,G,5-8,140,freshman,7,0,6,1.4,,,0.0,.000,0.3,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,5.6,.000,,,0.0,13.5,32.6,4.8,.023,-1.0,0,1,0,0,1,0.0,0.45175395145262565,0.0,0.0,0.3499271061118826,undrafted
1,Reggie Jackson,2011,https://www.sports-reference.com//cbb/schools/boston-college/2011.html,G,6-3,208,junior,34,32,21,34.1,.503,.420,5.0,.796,4.0,1.0,3.3,4.5,1.1,0.5,2.4,1.7,18.2,26.9,.618,.585,.389,3.9,11.3,29.7,27.2,.193,9.8,31,10,3,3,8,6.9046897457039345,2.0613429962276744,0.8022459821756385,0.7370567109495099,2.1217280937495806,24
2,Joe Trapani,2011,https://www.sports-reference.com//cbb/schools/boston-college/2011.html,F,6-8,232,senior,34,34,21,29.9,.425,.357,4.1,.707,4.4,1.8,5.2,1.8,0.7,0.8,1.9,2.5,14.8,21.9,.525,.486,.344,7.8,20.4,13.1,29.0,.134,3.3,25,5,3,3,15,4.875260617645521,1.1827040742872412,0.8983837852530154,0.8670237042931574,2.905221406138459,undrafted
3,Corey Raji,2011,https://www.sports-reference.com//cbb/schools/boston-college/2011.html,F,6-6,218,senior,32,11,19,27.8,.483,.328,3.7,.703,2.8,2.6,4.1,1.6,0.5,0.2,1.0,2.0,12.1,23.3,.574,.549,.405,12.0,17.2,12.2,22.5,.170,5.0,22,4,2,1,12,4.830627385495594,1.19528696868158,0.7493486755176124,0.3903123748998999,2.7226982824947754,undrafted
4,Biko Paris,2011,https://www.sports-reference.com//cbb/schools/boston-college/2011.html,G,6-1,194,senior,33,33,21,31.3,.427,.422,5.5,.787,1.4,0.4,1.8,3.5,0.8,0.1,1.9,1.5,10.3,15.3,.589,.569,.674,1.6,6.8,21.8,18.6,.092,2.4,22,7,3,1,7,5.464301040259939,1.6531129329679826,0.9359663764533637,0.28747978728803447,1.7539146822409433,undrafted
5,Josh Southern,2011,https://www.sports-reference.com//cbb/schools/boston-college/2011.html,C,6-10,263,senior,33,19,20,18.5,.582,,0.0,.720,2.3,1.2,2.6,1.5,0.2,0.4,1.2,2.2,6.6,18.7,.617,.582,.000,8.5,16.8,15.9,19.3,.129,1.9,18,4,1,3,9,4.83634844685091,1.3278122606185845,0.40881022918884974,0.6428243465332251,2.4261356243937082,undrafted
6,Danny Rubin,2014,https://www.sports-reference.com//cbb/schools/boston-college/2014.html,G,6-6,198,senior,16,1,3,3.3,.231,.300,0.6,1.000,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.5,0.7,4.2,.394,.346,.769,7.7,2.4,3.9,15.2,.007,-6.2,3,1,0,0,1,1.2103072956898178,0.24206145913796356,0.0,0.0,0.4330127018922193,undrafted
7,Gabriel Moton,2012,https://www.sports-reference.com//cbb/schools/boston-college/2012.html,G,6-1,177,sophomore,29,5,9,15.6,.408,.382,1.2,.500,0.6,0.2,1.4,1.0,0.4,0.1,1.0,1.6,2.9,6.7,.496,.493,.447,2.0,11.6,15.3,14.0,.011,-2.5,10,4,3,1,5,3.002575192788218,1.188530202732006,0.7200211385455553,0.3448275862068965,1.4482758620689655,undrafted
8,Dallas Elmore,2011,https://www.sports-reference.com//cbb/schools/boston-college/2011.html,G,6-5,210,junior,34,2,21,14.6,.364,.306,1.1,.800,0.7,0.4,0.9,0.6,0.4,0.2,0.8,1.0,2.3,6.9,.507,.447,.545,3.4,7.1,7.0,11.4,.021,-0.6,10,3,2,2,3,2.4340789807294803,0.7714633558002354,0.6941425718356439,0.4518321028158005,1.0929943632977674,undrafted
9,John Cahill,2012,https://www.sports-reference.com//cbb/schools/boston-college/2012.html,G,6-1,170,sophomore,27,2,9,14.3,.413,.410,1.4,.857,0.3,0.2,1.1,0.4,0.5,0.1,0.3,0.7,2.2,9.6,.608,.587,.848,1.6,10.2,6.3,8.2,.064,1.4,13,3,2,1,4,3.046957600178242,0.7332959212304937,0.6307180135528296,0.3552467795046459,1.1160384572829158,undrafted
10,Cortney Dunn,2011,https://www.sports-reference.com//cbb/schools/boston-college/2011.html,F,6-8,238,senior,22,8,12,7.7,.611,,0.0,.429,0.6,0.5,0.8,0.4,0.1,0.3,0.4,0.9,1.3,9.9,.568,.611,.000,7.7,11.8,8.4,10.5,.054,0.9,6,3,1,2,4,1.6564424689353272,0.7713892158398699,0.2874797872880344,0.6165754530113879,1.3460993540873494,undrafted
11,Peter Rehnquist,2012,https://www.sports-reference.com//cbb/schools/boston-college/2012.html,G,6-4,220,junior,8,1,2,1.3,.000,,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,.000,.000,.000,12.7,13.1,0.0,5.6,-.031,-10.2,0,0,0,0,1,0.0,0.0,0.0,0.0,0.4330127018922193,undrafted
12,Chris Kowalski,2011,https://www.sports-reference.com//cbb/schools/boston-college/2011.html,F,6-6,240,freshman,15,0,11,2.7,.111,.000,0.3,.000,0.3,0.1,0.3,0.0,0.2,0.1,0.1,0.3,0.1,-1.4,.092,.111,.444,6.3,14.4,0.0,15.8,-.110,-10.1,2,0,1,1,2,0.4988876515698589,0.0,0.4000000000000001,0.24944382578492946,0.6182412330330469,undrafted
